Date	Author	NumAffectedFiles	Contains .sql
2019-04-04 11:58:56 -0400	David	4	0
2019-04-03 18:45:31 -0400	David	1	0
2019-04-03 18:44:27 -0400	David	336	4
2019-04-03 18:40:09 -0400	David	7	0
2019-04-03 18:17:27 -0400	David	3	0
2019-04-02 16:26:36 -0400	David	2	0
2019-04-02 16:01:40 -0400	David	1	0
2019-04-01 21:41:32 -0400	David	1	0
2019-04-01 21:33:01 -0400	David	2	0
2019-04-01 11:10:54 -0400	David	3	0
2019-03-29 15:20:13 -0400	David	4	0
2019-03-26 16:10:42 -0400	David	2	0
2019-03-26 11:48:39 -0400	David	1	0
2019-03-26 11:34:35 -0400	David	4	0
2019-03-25 18:38:08 -0400	David	3	0
2019-03-25 15:24:37 -0400	David	1	0
2019-03-25 15:09:51 -0400	David	2	0
2019-03-25 14:20:54 -0400	David	1	0
2019-03-25 14:18:34 -0400	David	2	0
2019-03-25 13:35:13 -0400	David	1	0
2019-03-12 11:27:42 -0400	David	3	0
2019-03-11 16:48:28 +0200	Serban	1	0
2019-03-08 16:06:35 -0500	David	5	0
2019-03-08 15:23:05 -0500	David	3	0
2019-03-08 14:40:27 -0500	David	4	0
2019-03-06 15:03:38 -0500	David	2	0
2019-03-04 11:58:35 -0500	David	1	0
2019-03-04 11:56:55 -0500	David	4	0
2019-02-27 16:00:06 -0500	David	5	0
2019-02-06 15:54:45 -0500	David	4	0
2019-01-31 11:22:43 -0500	David	2	0
2019-01-31 11:05:33 -0500	David	4	0
2018-12-03 10:46:37 -0500	David	1	0
2018-12-03 10:42:59 -0500	David	4	0
2018-11-20 11:50:54 -0500	David	1	0
2018-11-20 11:24:37 -0500	David	1	0
2018-11-20 11:18:28 -0500	David	1	0
2018-11-20 11:12:08 -0500	David	1	0
2018-11-20 11:03:30 -0500	David	4	0
2018-11-16 07:12:30 -0500	David	1	0
2018-11-16 07:09:21 -0500	David	1	0
2018-08-29 15:23:51 -0400	David	2	0
2018-08-29 15:11:53 -0400	David	4	0
2018-08-28 15:37:43 -0400	David	3	0
2018-07-30 16:14:32 -0400	David	2	0
2018-07-30 15:49:56 -0400	David	4	0
2018-07-24 16:01:42 -0400	David	1	0
2018-07-24 16:00:12 -0400	David	2	0
2018-07-10 14:27:24 -0400	David	5	0
2018-07-05 14:54:29 -0400	David	2	0
2018-07-05 14:53:01 -0400	David	2	0
2018-06-29 10:14:20 -0400	David	3	0
2018-06-27 18:40:43 -0400	David	7	0
2018-06-26 16:25:13 -0400	David	1	0
2018-06-26 16:04:53 -0400	David	3	0
2018-06-22 22:40:39 -0400	David	1	0
2018-06-22 20:08:01 -0400	David	1	0
2018-06-20 16:41:17 -0400	David	3	0
2018-06-14 13:59:54 -0400	David	5	0
2018-06-08 15:30:12 -0400	David	2	0
2018-06-07 16:15:00 -0400	David	1	0
2018-06-07 15:49:28 -0400	David	4	0
2018-06-12 18:24:58 -0400	David	1	0
2018-06-08 16:26:43 -0400	David	2	0
2018-06-08 16:19:09 -0400	David	7	0
2018-06-08 15:30:12 -0400	David	2	0
2018-06-07 16:15:00 -0400	David	1	0
2018-06-07 15:49:28 -0400	David	4	0
2018-06-05 19:44:59 -0400	David	1	0
2018-06-05 19:38:25 -0400	David	3	0
2018-05-31 11:31:43 -0400	David	1	0
2018-05-31 11:31:22 -0400	David	1	0
2018-05-31 11:30:41 -0400	David	1	0
2018-05-31 11:28:27 -0400	David	2	0
2018-05-31 11:11:07 -0400	David	4	0
2018-05-31 17:48:57 +0300	Serban	1	0
2018-05-31 08:52:07 -0400	David	4	0
2018-05-30 14:06:52 -0400	David	1	0
2018-05-29 13:52:07 +0300	Serban	1	0
2018-05-28 19:29:14 -0400	David	2	0
2018-05-28 18:34:33 -0400	David	2	0
2018-05-28 16:00:13 -0400	David	2	0
2018-05-28 14:42:25 -0400	David	1	0
2018-05-28 14:41:52 -0400	David	1	0
2018-05-28 14:36:29 -0400	David	1	0
2018-05-28 14:29:44 -0400	David	1	0
2018-05-28 14:17:44 -0400	David	6	0
2018-05-28 11:16:33 -0400	David	1	0
2018-05-24 11:14:23 -0400	David	3	0
2018-05-24 10:36:48 -0400	David	1	0
2018-05-22 17:16:35 -0400	David	3	0
2018-05-18 16:44:18 -0400	David	2	0
2018-05-18 16:29:24 -0400	David	3	0
2018-05-11 10:42:02 -0400	David	1	0
2018-05-11 10:39:58 -0400	David	3	0
2018-05-08 11:13:14 -0400	David	2	0
2018-05-07 13:05:09 -0400	David	1	0
2018-05-07 17:58:19 +0300	Serban	1	0
2018-05-07 17:57:45 +0300	Serban	1	0
2018-05-04 12:09:57 -0400	David	2	0
2018-05-02 12:04:42 -0400	David	1	0
2018-04-30 13:38:03 -0400	David	2	0
2018-04-30 13:12:54 -0400	David	2	0
2018-04-30 12:20:21 -0400	David	2	0
2018-04-26 14:24:29 -0400	David	2	0
2018-04-26 13:07:52 -0400	David	1	0
2018-04-26 12:51:33 -0400	David	1	0
2018-04-26 12:43:55 -0400	David	2	0
2018-04-24 23:37:46 -0400	David	2	0
2018-04-24 23:02:39 -0400	David	1	0
2018-04-24 22:45:57 -0400	David	3	0
2018-04-24 17:26:43 -0400	David	3	0
2018-04-24 16:54:13 +0200	Dan	1	0
2018-04-23 16:33:01 -0400	David	2	0
2018-04-23 11:06:06 -0400	David	1	0
2018-04-20 18:28:26 -0400	David	1	0
2018-04-20 18:22:46 -0400	David	3	0
2018-04-20 18:08:25 -0400	David	1	0
2018-04-20 08:09:23 -0400	David	1	0
2018-04-19 17:48:35 -0400	David	1	0
2018-04-19 17:47:15 -0400	David	1	0
2018-04-19 17:42:34 -0400	David	3	0
2018-04-19 14:58:11 -0400	David	1	0
2018-04-18 16:12:57 -0400	David	1	0
2018-04-18 16:01:23 -0400	David	1	0
2018-04-17 19:08:14 -0400	David	1	0
2018-04-17 18:57:51 -0400	David	1	0
2018-04-17 18:42:32 -0400	David	1	0
2018-04-17 16:23:24 -0400	David	1	0
2018-04-16 11:31:44 -0400	David	2	0
2018-04-16 10:27:11 -0400	David	1	1
2018-04-12 14:49:47 -0400	David	2	0
2018-04-12 14:47:53 -0400	David	1	1
2018-04-12 14:47:34 -0400	David	1	0
2018-04-09 19:02:26 -0400	David	1	0
2018-04-09 11:39:44 -0400	David	2	0
2018-04-09 11:14:45 -0400	David	2	0
2018-04-07 14:37:47 -0400	David	1	0
2018-04-07 11:45:01 -0400	David	2	0
2018-03-29 15:52:53 -0400	David	3	0
2018-03-27 18:36:18 -0400	David	1	0
2018-03-27 16:36:19 -0400	David	2	0
2018-03-27 16:32:34 -0400	David	7	0
2018-03-27 14:38:25 -0400	David	1	0
2018-03-27 14:37:58 -0400	David	1	0
2018-03-14 11:52:04 -0400	David	1	0
2018-03-13 18:57:33 -0400	David	1	0
2018-03-13 16:39:29 -0400	David	3	0
2018-03-13 15:47:22 -0400	David	1	0
2018-03-13 15:37:32 -0400	David	1	0
2018-03-13 14:41:12 -0400	David	5	0
2018-03-13 13:22:51 -0400	David	2	0
2018-03-13 10:57:34 -0400	David	5	2
2018-03-09 16:43:56 -0500	David	1	0
2018-03-09 16:41:48 -0500	David	2	0
2018-03-08 15:27:12 -0500	David	3	0
2018-02-05 10:42:53 -0500	David	3	0
2018-01-30 13:39:27 -0500	David	2	0
2018-01-24 16:08:28 -0500	David	1	0
2018-01-24 15:31:12 -0500	David	1	0
2018-01-23 08:34:15 -0500	David	2	0
2018-01-23 08:04:51 -0500	David	1	0
2018-01-19 20:53:57 -0500	David	1	0
2018-01-19 16:33:05 -0500	David	1	0
2018-01-19 16:29:43 -0500	David	1	0
2018-01-04 15:15:59 -0500	David	3	0
2017-12-21 18:26:31 +0200	Serban	2	0
2017-11-30 07:17:04 -0500	David	1	0
2017-11-30 02:26:38 +0200	Serban	1	0
2017-11-30 02:24:08 +0200	Serban	5	0
2017-11-22 10:53:55 -0500	David	2	0
2017-11-10 14:13:24 -0500	David	1	0
2017-11-10 13:20:35 -0500	David	1	0
2017-11-10 13:01:22 -0500	David	17	0
2017-11-10 10:45:19 -0500	David	3	0
2017-11-10 09:53:53 -0500	David	1	0
2017-11-10 09:34:00 -0500	David	3	0
2017-11-10 09:12:31 -0500	David	7	0
2017-11-10 06:48:46 -0500	David	2	0
2017-11-09 18:58:52 -0500	David	2	0
2017-10-18 18:24:53 -0400	David	2	0
2017-10-18 16:30:08 -0400	David	1	0
2017-06-13 18:32:19 -0400	David	1	0
2017-06-13 18:27:35 -0400	David	3	0
2017-06-12 10:16:23 -0400	David	1	0
2017-06-06 14:19:28 -0400	David	1	0
2017-06-06 14:17:04 -0400	David	6	0
2017-06-06 12:30:25 -0400	David	1	0
2017-06-06 11:50:29 -0400	David	2	0
2017-06-06 11:49:16 -0400	David	1	0
2017-05-29 16:05:54 -0400	David	1	0
2017-05-29 15:48:00 -0400	David	4	0
2017-05-29 15:23:26 -0400	David	2	0
2017-05-29 11:26:42 -0400	David	5	0
2017-05-12 16:54:28 -0400	David	1	0
2017-05-12 16:37:02 -0400	David	1	0
2017-05-12 16:30:46 -0400	David	2	0
2017-02-13 16:28:12 -0500	David	1	0
2017-02-13 14:25:13 -0500	David	1	0
2017-01-26 17:27:40 -0500	David	6	0
2016-12-02 16:06:34 -0500	David	1	0
2016-12-02 16:05:53 -0500	David	2	0
2016-12-01 15:29:24 -0500	David	2	0
2016-12-01 15:16:18 -0500	David	1	0
2016-11-25 11:41:51 -0500	David	1	0
2016-11-17 21:56:49 -0500	David	4	0
2016-11-14 09:56:07 -0500	David	1	0
2016-11-14 09:45:01 -0500	David	2	0
2016-11-13 22:47:06 -0500	David	2	0
2016-11-12 21:51:57 -0500	David	12	0
2016-11-12 21:34:39 -0500	David	17	0
2016-11-12 20:48:52 -0500	David	5	0
2016-11-12 18:27:29 -0500	David	1	0
2016-11-12 18:25:03 -0500	David	5	0
2016-11-12 17:57:44 -0500	David	2	0
2016-11-12 17:30:02 -0500	David	2	0
2016-11-12 16:24:30 -0500	David	14	0
2016-11-12 15:36:56 -0500	David	2	0
2016-11-12 14:24:25 -0500	David	2	0
2016-11-11 18:27:13 -0500	David	1	0
2016-11-11 18:22:30 -0500	David	1	0
2016-11-11 18:14:19 -0500	David	2	0
2016-11-11 17:14:02 -0500	David	1	0
2016-11-11 12:09:43 -0500	David	5	0
2016-11-10 22:33:07 -0500	David	3	0
2016-11-10 10:37:59 -0500	David	4	0
2016-11-02 17:40:06 -0400	David	2	0
2016-11-02 17:24:57 -0400	David	2	0
2016-11-01 17:05:09 -0400	David	13	0
2016-10-29 15:41:06 -0400	David	1	0
2016-10-27 16:06:29 -0400	David	1	0
2016-10-27 15:56:27 -0400	David	2	0
2016-10-27 12:06:14 -0400	David	3	0
2016-10-26 08:57:55 -0400	David	3	0
2016-10-25 22:29:27 -0400	David	1	0
2016-10-25 22:17:35 -0400	David	1	0
2016-10-25 11:37:32 -0400	David	5	0
2016-10-23 20:57:53 -0400	David	1	0
2016-10-23 20:56:12 -0400	David	3	0
2016-10-22 18:07:03 -0400	David	8	0
2016-10-20 12:47:39 -0400	David	5	0
2016-10-20 11:34:39 -0400	David	1	0
2016-10-19 18:49:48 -0400	David	2	0
2016-10-19 17:10:38 -0400	David	1	0
2016-10-18 17:52:41 -0400	David	2	0
2016-10-18 08:58:20 -0400	David	1	0
2016-10-17 17:57:35 -0400	David	3	0
2016-10-17 17:36:44 -0400	David	1	0
2016-10-17 17:35:18 -0400	David	1	0
2016-10-17 17:27:46 -0400	David	1	0
