Date	Author	NumAffectedFiles	Contains .sql
2017-07-28 22:14:50 +0100	Matthew	1	0
2017-07-28 20:58:52 +0100	Matthew	2	0
2017-05-01 18:25:49 +0100	Matthew	12	0
2017-04-19 21:08:52 +0100	Matthew	1	0
2017-04-19 21:07:02 +0100	Matthew	1	0
2017-04-19 21:06:51 +0100	Matthew	3	0
2017-04-19 21:05:59 +0100	Matthew	1	0
2017-04-17 21:21:40 +0100	Matthew	1	0
2017-04-17 21:20:39 +0100	Matthew	1	0
2017-04-17 21:17:55 +0100	Matthew	1	0
2017-04-17 21:16:19 +0100	Matthew	1	0
2017-04-17 21:04:31 +0100	Matthew	1	0
2017-04-17 20:50:46 +0100	Matthew	1	0
2017-04-17 20:46:06 +0100	Matthew	7	4
2017-04-17 20:43:33 +0100	Matthew	2	0
2017-04-17 20:30:47 +0100	Matthew	1	0
2017-04-17 20:27:02 +0100	Matthew	1	0
2017-04-17 19:44:38 +0100	Matthew	1	0
2017-04-17 19:37:40 +0100	Matthew	2	1
2017-04-17 19:36:32 +0100	Matthew	8	0
2017-04-17 19:16:19 +0100	Matthew	2	0
2017-04-17 16:28:27 +0100	Matthew	6	0
2017-04-17 16:10:31 +0100	Matthew	1	0
2017-04-17 16:09:51 +0100	Matthew	1	0
2017-04-17 13:42:02 +0100	Matthew	11	0
2017-04-17 13:15:45 +0100	Matthew	5	0
2017-04-17 13:14:52 +0100	Matthew	1	0
2017-04-16 21:10:32 +0100	Matthew	1	0
2017-04-16 20:56:54 +0100	Matthew	1	0
2017-04-16 09:45:21 +0100	Matthew	1	0
2017-04-16 09:43:52 +0100	Matthew	1	0
2017-04-16 02:01:21 +0100	Matthew	1	0
2017-04-16 01:56:06 +0100	Matthew	1	0
2017-04-16 01:46:02 +0100	Matthew	1	0
2017-04-16 01:40:38 +0100	Matthew	1	0
2017-04-16 01:27:09 +0100	Matthew	1	0
2017-04-16 01:25:59 +0100	Matthew	1	0
2017-04-16 01:21:40 +0100	Matthew	1	0
2017-04-16 01:14:11 +0100	Matthew	1	0
2017-04-16 01:09:43 +0100	Matthew	1	0
2017-04-16 00:58:10 +0100	Matthew	1	0
2017-04-16 00:53:32 +0100	Matthew	2	0
2017-04-16 00:49:41 +0100	Matthew	4	0
2017-04-16 00:26:11 +0100	Matthew	1	0
2017-04-16 00:20:42 +0100	Matthew	1	0
2017-04-16 00:16:26 +0100	Matthew	1	0
2017-04-16 00:10:52 +0100	Matthew	1	0
2017-04-16 00:04:41 +0100	Matthew	1	0
2017-04-16 00:04:30 +0100	Matthew	1	0
2017-04-15 16:31:38 +0100	Matthew	1	0
2017-04-15 16:27:56 +0100	Matthew	7	0
2017-04-14 12:21:12 +0100	Matthew	1	0
2017-04-14 12:20:39 +0100	Matthew	4	0
2017-04-14 12:20:22 +0100	Matthew	2	0
2017-04-14 12:12:59 +0100	Matthew	2	0
2017-04-14 12:00:44 +0100	Matthew	2	0
2017-04-14 11:53:12 +0100	Matthew	2	0
2017-04-14 11:52:33 +0100	Matthew	1	0
2017-04-14 11:51:21 +0100	Matthew	1	0
2017-04-14 11:23:25 +0100	Matthew	1	0
2017-04-14 11:20:27 +0100	Matthew	1	0
2017-04-14 11:19:58 +0100	Matthew	2	0
2017-04-14 11:05:53 +0100	Matthew	1	0
2017-04-14 11:00:57 +0100	Matthew	1	0
2017-04-14 10:54:23 +0100	Matthew	2	0
2017-04-13 00:06:05 +0100	Matthew	2	0
2017-04-13 00:00:55 +0100	Matthew	2	0
2017-04-12 23:54:49 +0100	Matthew	1	0
2017-04-12 23:50:25 +0100	Matthew	1	0
2017-04-12 23:46:46 +0100	Matthew	1	0
2017-04-12 23:40:54 +0100	Matthew	1	0
