Date	Author	NumAffectedFiles	Contains .sql
2018-08-30 12:44:25 -0400	Victor	1	0
2018-08-29 11:25:40 -0400	Victor	1	0
2018-05-09 10:16:32 -0400	Victor	1	0
2018-02-28 13:44:29 -0500	Victor	1	0
2017-12-01 16:46:21 -0500	Victor	1	0
2017-08-23 16:04:29 +0200	Hanno	3	0
2017-08-23 16:03:32 +0200	Hanno	1	0
2017-08-23 15:59:50 +0200	Hanno	3	0
2017-08-23 15:01:50 +0200	Hanno	21	0
2017-08-18 14:21:35 +0200	Hanno	3	0
2017-08-15 10:38:08 +0200	Hanno	4	0
2017-08-14 23:48:12 +0200	Hanno	3	0
2017-08-14 23:40:44 +0200	Hanno	3	0
2017-08-14 22:59:20 +0200	Hanno	3	0
2017-08-14 19:50:06 +0200	Hanno	5	0
2017-08-14 18:10:34 +0200	Hanno	1	0
2017-08-10 19:28:11 +0200	Hanno	5	0
2017-08-09 14:09:31 +0200	Hanno	2	0
2017-08-09 13:31:42 +0200	Hanno	1	0
2017-08-09 13:19:30 +0200	Hanno	2	0
2017-08-08 17:46:33 +0200	Hanno	2	0
2017-08-08 16:59:57 +0200	Hanno	1	0
2017-08-08 16:51:13 +0200	Hanno	12	0
2017-08-08 13:37:22 +0200	Hanno	4	0
2017-08-08 13:19:27 +0200	Hanno	2	0
2017-08-08 13:06:47 +0200	Hanno	3	0
2017-08-07 17:45:27 +0200	Hanno	2	0
2017-08-07 17:27:51 +0200	Hanno	4	0
2017-08-07 17:18:57 +0200	Hanno	3	0
2017-07-06 17:46:35 +0200	Hanno	4	0
2017-07-06 17:30:26 +0200	Hanno	5	0
2017-07-06 17:08:46 +0200	Hanno	7	0
2017-07-06 17:02:53 +0200	Hanno	8	0
2017-07-06 16:12:59 +0200	Hanno	5	0
2017-07-05 18:00:01 +0200	Hanno	5	0
2017-07-05 17:43:57 +0200	Hanno	5	0
2017-07-04 15:57:50 +0200	Hanno	3	0
2017-06-29 09:16:22 -0700	Hanno	5	0
2017-06-28 11:41:05 -0700	Hanno	1	0
2017-06-28 10:28:07 -0700	Hanno	2	0
2017-06-27 08:35:07 -0700	Hanno	2	0
2017-06-27 08:34:09 -0700	Hanno	1	0
2017-06-23 18:49:44 +0200	Hanno	3	0
2017-06-23 18:47:24 +0200	Hanno	3	0
2017-06-23 14:54:20 +0200	Hanno	8	0
2017-06-23 14:01:32 +0200	Hanno	6	0
2017-06-21 17:13:16 +0200	Hanno	1	0
2017-06-19 17:33:44 +0200	Hanno	7	0
2017-06-19 16:17:43 +0200	Hanno	1	0
2017-06-19 15:47:22 +0530	Jarnu	1	0
2017-06-18 16:01:44 +0200	Hanno	8	0
2017-06-18 01:50:48 +0200	Hanno	15	0
2017-06-17 23:45:04 +0200	Hanno	10	0
2017-06-17 22:53:34 +0200	Hanno	47	0
2017-06-17 21:30:55 +0200	Hanno	6	0
2017-06-17 15:54:53 +0200	Hanno	12	0
2017-06-17 14:17:14 +0200	Hanno	34	0
2017-06-17 01:40:40 +0200	Hanno	16	0
2017-06-17 00:30:40 +0200	Hanno	1	0
2017-06-16 22:48:10 +0200	Hanno	2	0
2017-06-16 22:47:47 +0200	Hanno	2	0
2017-06-07 14:33:02 +0200	Hanno	3	0
2017-06-07 14:28:38 +0200	Hanno	25	0
2017-06-06 18:06:33 +0200	Hanno	5	0
2017-06-05 21:44:45 +0200	Hanno	3	0
2017-03-23 23:18:52 +0100	Hanno	116	0
2017-03-23 22:50:51 +0100	Hanno	2	0
2017-03-23 14:19:11 +0100	Hanno	3	0
2017-03-22 20:15:11 +0100	Hanno	6	0
2017-03-22 17:59:01 +0100	Hanno	1	0
2017-03-22 17:46:31 +0100	Hanno	2	0
2017-03-22 17:44:36 +0100	Hanno	1	0
2017-03-22 17:14:45 +0100	Hanno	3	0
2017-03-22 17:02:30 +0100	Hanno	4	0
2017-03-22 16:19:12 +0100	Hanno	3	0
2017-03-22 16:06:38 +0100	Hanno	2	0
2017-03-22 16:05:54 +0100	Hanno	5	0
2017-03-22 15:41:06 +0100	Hanno	7	0
2017-03-22 15:32:15 +0100	Hanno	15	0
2017-03-22 13:15:45 +0100	Hanno	4	0
2017-03-21 20:30:43 +0100	Hanno	3	0
2017-03-21 20:25:00 +0100	Hanno	3	0
2017-03-21 19:53:49 +0100	Hanno	5	0
2017-03-21 16:29:04 +0100	Hanno	1	0
2017-03-21 15:42:43 +0100	Hanno	1	0
2017-03-21 15:03:41 +0100	Hanno	3	0
2017-03-20 22:01:40 +0100	Hanno	10	0
2017-03-20 17:38:24 +0100	Hanno	11	0
2017-03-20 17:03:45 +0100	Hanno	6	0
2017-03-20 15:31:57 +0100	Hanno	12	0
2017-03-19 17:20:53 +0100	Hanno	2	0
2017-03-19 17:02:53 +0100	Hanno	2	0
2017-03-19 14:59:20 +0100	Hanno	6	0
2017-03-19 13:48:50 +0100	Hanno	16	1
2017-03-19 12:45:53 +0100	Hanno	1	0
2017-03-19 12:01:36 +0100	atilasoft	1	0
2017-03-14 17:06:46 +0100	Hanno	11	0
2017-03-14 16:17:39 +0100	Hanno	1	0
2017-03-14 16:14:32 +0100	Hanno	1	0
2017-03-14 15:28:02 +0100	Hanno	28	0
2017-03-02 20:31:31 +0100	Hanno	6	1
2017-03-02 13:14:48 +0100	Hanno	2	0
2017-03-02 12:45:10 +0100	Hanno	1	0
2017-03-02 12:07:30 +0100	Hanno	1	0
2017-02-28 13:37:52 +0100	Hanno	4	0
2017-02-28 01:14:39 +0100	Hanno	3	0
2017-02-27 19:53:24 +0100	Hanno	4	0
2017-02-24 12:16:17 +0100	Hanno	2	0
2017-02-23 17:31:19 +0100	Hanno	5	0
2017-02-23 17:28:12 +0100	Hanno	2	0
2017-02-22 19:22:49 +0100	Hanno	6	0
2017-02-22 18:38:18 +0100	Hanno	2	0
2017-02-22 14:25:53 +0100	Hanno	11	0
2017-02-21 12:57:06 +0100	Hanno	1	0
2017-01-31 16:15:11 +0100	Hanno	3	0
2017-01-31 15:18:29 +0100	Hanno	10	0
2017-01-31 00:03:49 +0100	Hanno	13	1
2017-01-30 23:30:52 +0100	Hanno	23	0
2017-01-30 21:43:33 +0100	Hanno	18	0
2017-01-30 17:51:22 +0100	Hanno	8	0
2017-01-30 17:36:54 +0100	Hanno	2	0
2017-01-30 17:35:32 +0100	Hanno	3	0
2017-01-30 14:28:53 +0100	Hanno	2	0
2017-01-30 12:35:21 +0100	Hanno	5	0
2017-01-30 12:23:51 +0100	Hanno	4	0
2017-01-30 12:10:14 +0100	Hanno	2	0
2017-01-23 17:14:53 +0100	Hanno	2	0
2017-01-23 14:51:09 +0100	Hanno	17	0
2017-01-20 12:44:10 +0100	Hanno	2	0
2017-01-17 17:14:00 +0100	Hanno	2	0
2017-01-17 13:31:07 +0100	Hanno	4	0
2017-01-16 21:39:59 +0100	Hanno	8	0
2017-01-16 16:53:11 +0100	Hanno	4	0
2017-01-16 15:17:26 +0100	Hanno	1	0
2017-01-13 12:22:53 +0100	Hanno	3	0
2017-01-12 15:29:09 +0100	Hanno	2	0
2017-01-12 14:27:14 +0100	Hanno	11	0
2017-01-12 14:21:33 +0100	Hanno	3	0
2017-01-12 13:44:18 +0100	Hanno	4	0
2016-11-23 19:27:46 +0100	Hanno	2	0
2016-11-03 13:27:36 +0100	Hanno	17	0
2016-09-01 21:17:50 +0200	Hanno	5	0
2016-09-01 21:02:21 +0200	Hanno	1	0
2016-09-01 18:51:19 +0200	Hanno	21	1
2016-09-01 18:46:17 +0200	Hanno	1	0
2016-09-01 16:58:45 +0200	Hanno	7	0
2016-09-01 15:54:29 +0200	Hanno	5	0
2016-08-29 16:56:10 +0200	Hanno	3	0
2016-08-29 16:38:51 +0200	Hanno	2	0
2016-08-29 16:38:34 +0200	Hanno	3	0
2016-08-29 16:28:10 +0200	Hanno	10	0
2016-08-29 16:15:21 +0200	Hanno	10	0
2016-08-29 16:12:48 +0200	Hanno	9	0
2016-08-29 15:21:25 +0200	Hanno	9	0
2016-08-29 14:58:19 +0200	Hanno	20	0
2016-08-29 12:44:52 +0200	Hanno	8	0
2016-08-29 12:35:26 +0200	Hanno	1	0
2016-08-29 12:31:57 +0200	Hanno	1	0
2016-08-21 15:24:28 +0200	Hanno	1	0
2016-08-16 18:26:26 +0200	Hanno	1	0
2016-08-16 18:23:03 +0200	Hanno	1	0
2016-08-16 18:19:47 +0200	Hanno	3	0
2016-08-12 15:15:35 +0200	Hanno	1	0
2016-08-12 15:00:04 +0200	Hanno	1	0
2016-08-12 14:53:24 +0200	Hanno	1	0
2016-08-12 14:17:36 +0200	Hanno	9	0
2016-08-12 12:03:11 +0200	Hanno	16	0
2016-08-12 00:30:26 +0200	Hanno	1	0
2016-08-12 00:23:46 +0200	Hanno	2	0
2016-08-12 00:19:58 +0200	Hanno	2	0
2016-08-11 23:34:31 +0200	Hanno	1	0
2016-08-11 23:29:11 +0200	Hanno	5	0
2016-08-11 23:13:57 +0200	Hanno	1	0
2016-08-11 22:38:22 +0200	Hanno	4	0
2016-08-11 22:21:43 +0200	Hanno	5	0
2016-08-11 22:07:31 +0200	Hanno	6	0
2016-08-11 19:53:44 +0200	Hanno	19	0
2016-08-11 18:22:41 +0200	Hanno	4	0
2016-08-11 17:35:45 +0200	Hanno	17	0
2016-08-10 21:30:42 +0200	Hanno	1	0
2016-08-10 21:21:57 +0200	Hanno	2	0
2016-08-10 20:52:54 +0200	Hanno	1	0
2016-08-10 20:44:59 +0200	Hanno	3	0
2016-08-10 20:40:40 +0200	Hanno	4	0
2016-08-10 19:57:25 +0200	Hanno	16	0
2016-08-10 17:49:50 +0200	Hanno	13	0
2016-08-10 13:09:14 +0200	Hanno	1	0
2016-08-10 13:07:50 +0200	Hanno	2	0
2016-08-10 13:07:01 +0200	Hanno	2	0
2016-08-10 12:41:04 +0200	Hanno	1	0
2016-08-10 12:36:59 +0200	Hanno	10	0
2016-08-09 20:35:00 +0200	Hanno	2	0
2016-08-09 17:26:39 +0200	Hanno	2	0
2016-08-09 17:25:57 +0200	Hanno	2	0
2016-08-09 17:05:16 +0200	Hanno	9	0
2016-08-08 11:58:35 +0200	Hanno	3	0
2016-08-08 11:47:05 +0200	Hanno	3	0
2016-08-06 01:31:39 +0200	Hanno	4	0
2016-08-06 01:21:00 +0200	Hanno	8	0
2016-08-05 16:43:01 +0200	Hanno	8	0
2016-07-14 17:40:05 +0200	Hanno	5	0
2016-07-12 00:37:35 +0200	Hanno	1	0
2016-07-12 00:04:13 +0200	Hanno	2	0
2016-07-11 23:55:43 +0200	Hanno	5	0
2016-07-11 17:46:22 +0200	Hanno	8	0
2016-07-11 17:37:45 +0200	Hanno	8	0
2016-07-11 17:10:04 +0200	Hanno	7	0
2016-07-07 12:27:51 +0200	Hanno	1	0
2016-07-07 12:23:43 +0200	Hanno	2	0
2016-07-07 11:16:09 +0200	Hanno	2	0
2016-07-06 08:57:15 +0200	Hanno	25	0
2016-07-05 13:22:28 +0200	Hanno	2	0
2016-07-03 14:11:37 +0200	Hanno	1	0
2016-07-01 18:27:35 +0200	Hanno	3	0
2016-07-01 13:09:52 +0200	Hanno	9	0
2016-07-01 12:34:08 +0200	Hanno	3	0
2016-07-01 12:31:27 +0200	Hanno	5	0
2016-07-01 12:00:50 +0200	Hanno	3	0
2016-06-30 14:42:42 +0200	Hanno	4	0
2016-06-28 18:30:10 +0200	Hanno	4	0
2016-06-28 14:30:20 +0200	Hanno	10	0
2016-06-28 12:55:45 +0200	Hanno	2	0
2016-06-28 12:36:53 +0200	Hanno	8	0
2016-06-03 16:15:22 +0200	Hanno	4	0
2016-06-03 13:04:00 +0200	Hanno	24	0
2016-06-02 12:23:05 +0200	Hanno	5	0
2016-05-25 15:02:12 +0200	Hanno	3	0
2016-05-25 15:01:21 +0200	Hanno	2	0
2016-05-25 12:41:04 +0200	Hanno	95	0
2016-05-22 16:53:02 +0200	Hanno	2	0
2016-05-22 15:27:54 +0200	Hanno	3	0
2016-05-22 15:08:46 +0200	Hanno	1	0
2016-05-22 14:59:18 +0200	Hanno	5	0
2016-05-18 15:50:19 +0200	Hanno	4	0
2016-05-17 22:15:48 +0200	Hanno	20	0
2016-05-16 22:11:45 +0200	Hanno	33	0
2016-05-16 22:00:00 +0200	Hanno	4	0
2016-05-16 14:49:36 +0200	Hanno	48	0
2016-05-13 13:41:27 +0200	Hanno	11	0
2016-05-13 12:40:36 +0200	Hanno	17	0
2016-05-13 12:13:32 +0200	Hanno	3	0
2016-05-11 15:27:19 +0200	Hanno	58	0
