Date	Author	NumAffectedFiles	Contains .sql
2017-04-26 13:30:09 +0200	aWuttig	5	0
2017-04-18 11:29:54 +0200	aWuttig	1	0
2017-03-27 14:57:54 +0200	aWuttig	2	0
2017-03-24 11:08:52 +0100	aWuttig	1	0
2017-03-24 10:56:48 +0100	aWuttig	1	0
2017-03-24 10:51:21 +0100	aWuttig	1	0
2017-03-23 15:57:12 +0100	aWuttig	3	0
2017-02-24 14:20:07 +0100	Axel	1	0
2017-02-24 12:06:02 +0100	Axel	7	0
2016-12-16 08:36:24 +0100	aWuttig	4	0
2016-11-04 11:20:56 +0100	aWuttig	12	0
2016-09-12 13:06:17 +0200	André	3	0
2016-09-12 09:12:16 +0200	André	6	0
2016-09-12 09:01:06 +0200	André	1	0
2016-09-12 08:56:08 +0200	André	1	0
2016-09-12 08:43:24 +0200	André	1	0
2016-09-12 08:34:34 +0200	André	1	0
2016-09-12 08:10:17 +0200	André	1	0
2016-09-12 07:40:56 +0200	André	19	1
2016-09-09 17:13:44 +0200	André	55	0
2016-09-09 11:52:55 +0200	aWuttig	1	0
2016-09-09 11:42:23 +0200	aWuttig	109	0
2016-09-09 08:34:09 +0200	aWuttig	1	0
2016-09-09 08:21:23 +0200	aWuttig	1	0
2016-01-04 15:16:14 +0100	André	5	0
2015-11-17 08:03:56 +0100	riw	1	0
2015-11-16 14:05:43 +0100	riw	1	0
2015-11-16 07:28:30 +0100	Georg	1	0
2015-11-16 07:27:18 +0100	Georg	1	0
2015-10-27 10:55:14 +0100	André	1	0
2015-10-27 10:37:37 +0100	André	6	0
2015-10-26 17:01:02 +0100	André	18	0
2015-10-26 14:59:51 +0100	André	9	0
2015-10-25 16:34:31 +0100	Axel	1	0
2015-10-25 16:09:51 +0100	André	101	0
2015-10-25 15:49:39 +0100	André	1	0
2015-10-23 17:54:18 +0200	André	8	0
2015-10-23 12:46:38 +0200	André	9	0
2015-10-22 13:45:25 +0200	André	1	0
2015-09-29 05:53:57 +0200	Georg	1	0
2015-09-22 10:00:21 +0200	Georg	1	0
2015-09-17 14:14:31 +0200	Georg	2	0
2015-09-17 11:37:07 +0200	Georg	1	0
2015-09-10 16:24:57 +0200	Georg	1	0
2015-09-10 16:10:46 +0200	Georg	2	0
2015-08-24 13:51:18 +0200	Georg	1	0
2015-08-21 11:40:02 +0200	Georg	1	0
2015-08-21 11:36:44 +0200	Georg	1	0
2015-08-20 13:45:15 +0200	Georg	1	0
2015-08-20 13:42:36 +0200	Georg	1	0
2015-08-20 13:13:52 +0200	Georg	2	0
2015-08-20 12:48:55 +0200	Georg	42	0
2015-08-20 11:20:43 +0200	Georg	10	0
2015-08-20 10:21:41 +0200	Georg	2	0
2015-07-24 11:34:32 +0200	Andreas	1	0
2015-06-19 11:26:59 +0200	André	4	0
2015-05-18 10:18:12 +0200	André	4	0
2015-05-06 16:35:47 +0200	Axel	4	0
2015-04-30 11:21:53 +0200	André	11	0
2015-04-24 08:53:50 +0200	André	4	0
2015-04-24 08:39:04 +0200	André	1	0
2015-04-20 11:42:44 +0200	ahaubold	12	0
2015-04-20 11:19:17 +0200	ahaubold	2	0
2015-04-13 10:12:38 +0200	ahaubold	151	1
2015-04-10 16:44:36 +0200	André	2	0
2015-04-10 16:26:35 +0200	André	1	0
2015-04-10 16:06:24 +0200	André	3	0
2015-04-09 17:07:18 +0200	André	4	0
2015-04-09 16:23:46 +0200	ThomasElze	3	0
2015-04-09 16:08:53 +0200	portrino-dev	3	0
2015-04-09 15:29:54 +0200	André	7	0
2015-04-09 14:41:06 +0200	ahaubold	1	0
2015-04-09 14:28:26 +0200	ahaubold	3	0
2015-04-09 13:09:55 +0200	ahaubold	8	0
2015-04-09 10:57:36 +0200	André	9	0
2015-04-09 10:17:58 +0200	André	3	0
2015-04-09 09:42:00 +0200	André	141	1
2015-04-09 08:51:44 +0200	André	1	0
2015-04-09 07:33:37 +0200	André	3	0
