Date	Author	NumAffectedFiles	Contains .sql
2014-02-04 19:19:33 +0100	manuel-munoz-aguirre	3	0
2014-01-27 03:26:53 +0100	saltzm	8	0
2014-01-27 02:50:06 +0100	saltzm	4	0
2014-01-27 01:51:23 +0100	saltzm	4	0
2014-01-27 00:46:29 +0100	saltzm	12	0
2014-01-26 17:11:27 -0200	Caio	5	0
2014-01-26 13:48:57 -0200	Caio	4	0
2014-01-26 14:01:37 +0100	saltzm	1	0
2014-01-26 01:47:02 -0200	Caio	5	0
2014-01-24 19:44:24 +0100	saltzm	2	0
2014-01-24 19:15:40 +0100	saltzm	2	0
2014-01-24 19:13:03 +0100	saltzm	11	0
2014-01-24 16:16:03 +0100	saltzm	2	0
2014-01-24 16:13:07 +0100	saltzm	5	0
2014-01-24 15:56:07 +0100	saltzm	10	0
2014-01-23 20:02:15 +0100	saltzm	19	0
2014-01-23 19:56:00 +0100	saltzm	5	0
2014-01-23 18:56:12 +0100	saltzm	9	0
2014-01-23 18:51:53 +0100	manuel-munoz-aguirre	2	0
2014-01-23 18:35:52 +0100	saltzm	4	0
2014-01-23 18:28:30 +0100	saltzm	8	0
2014-01-23 15:58:58 +0100	saltzm	7	0
2014-01-23 15:51:39 +0100	saltzm	10	0
2014-01-23 15:40:55 +0100	saltzm	1	0
2014-01-23 15:36:40 +0100	saltzm	1	0
2014-01-23 15:36:21 +0100	saltzm	1	0
2014-01-23 15:26:42 +0100	saltzm	6	0
2014-01-23 15:07:17 +0100	saltzm	10	0
2014-01-23 14:48:44 +0100	saltzm	6	0
2014-01-23 14:38:48 +0100	saltzm	26	0
2014-01-23 14:33:51 +0100	saltzm	7	0
2014-01-23 14:30:52 +0100	saltzm	7	0
2014-01-23 14:19:02 +0100	saltzm	31	0
2014-01-23 14:01:30 +0100	saltzm	4	0
2014-01-23 13:57:41 +0100	saltzm	25	0
2014-01-23 13:56:08 +0100	saltzm	31	0
2014-01-23 13:20:20 +0100	manuel-munoz-aguirre	4	0
2014-01-22 17:37:31 +0100	manuel-munoz-aguirre	4	0
2014-01-22 16:01:48 +0100	manuel-munoz-aguirre	2	0
2014-01-22 15:21:47 +0100	manuel-munoz-aguirre	4	0
2014-01-22 01:16:58 +0100	manuel-munoz-aguirre	3	0
2014-01-21 19:41:28 +0100	Francisco	1	0
2014-01-21 19:40:58 +0100	Francisco	1	0
2014-01-21 18:05:26 +0100	Francisco	1	0
2014-01-21 17:50:45 +0100	Francisco	6	0
2013-12-10 19:51:53 +0100	saltzm	1	0
2013-12-10 14:58:31 +0100	saltzm	1	0
2013-11-18 18:43:58 +0100	manuel-munoz-aguirre	2	0
2013-11-18 13:43:32 +0100	saltzm	1	0
2013-11-18 02:57:37 +0100	saltzm	5	0
2013-11-18 01:53:14 +0100	Francisco	1	1
2013-11-18 01:30:29 +0100	saltzm	2	0
2013-11-18 01:23:20 +0100	Francisco	1	0
2013-11-18 01:08:58 +0100	Jorge	2	0
2013-11-18 00:29:17 +0100	saltzm	1	0
2013-11-18 00:27:35 +0100	saltzm	3	0
2013-11-18 00:21:25 +0100	saltzm	2	0
2013-11-17 23:28:53 +0100	saltzm	3	1
2013-11-17 23:17:41 +0100	Francisco	1	0
2013-11-17 23:16:56 +0100	Jorge	4	0
2013-11-17 23:00:33 +0100	saltzm	1	0
2013-11-17 21:45:27 +0100	saltzm	6	3
2013-11-17 21:26:27 +0100	saltzm	10	0
2013-11-17 20:48:38 +0100	nishara	1	0
2013-11-17 20:44:00 +0100	nishara	1	0
2013-11-17 19:48:31 +0100	Francisco	1	0
2013-11-17 19:17:48 +0100	manuel-munoz-aguirre	1	0
2013-11-17 19:00:36 +0100	nishara	1	0
2013-11-17 18:54:56 +0100	manuel-munoz-aguirre	1	0
2013-11-17 18:43:30 +0100	nishara	1	0
2013-11-17 18:22:10 -0200	Caio	3	0
2013-11-17 18:29:23 +0100	Francisco	4	0
2013-11-17 18:20:05 +0100	nishara	13	0
2013-11-17 18:18:41 +0100	nishara	1	1
2013-11-17 18:17:03 -0200	Caio	7	0
2013-11-17 18:16:22 +0100	nishara	1	1
2013-11-17 17:56:03 +0100	manuel-munoz-aguirre	2	0
2013-11-17 14:43:07 -0200	Caio	4	0
2013-11-17 14:27:52 +0100	nishara	1	0
2013-11-17 14:01:54 -0200	Caio	3	0
2013-11-17 14:07:32 +0100	nishara	1	1
2013-11-17 13:38:29 +0100	nishara	2	0
2013-11-17 13:34:03 +0100	nishara	1	0
2013-11-17 13:30:38 +0100	nishara	1	0
2013-11-17 13:24:52 +0100	manuel-munoz-aguirre	1	0
2013-11-17 13:22:39 -0200	Caio	9	0
2013-11-17 13:20:08 +0100	Francisco	1	0
2013-11-17 13:01:45 +0100	manuel-munoz-aguirre	2	0
2013-11-17 12:38:47 +0100	saltzm	1	0
2013-11-17 12:34:00 +0100	Francisco	1	0
2013-11-17 12:14:20 +0100	saltzm	2	0
2013-11-17 11:58:09 +0100	saltzm	1	0
2013-11-17 01:12:36 +0100	Matthew	1	0
2013-11-17 00:36:12 +0100	manuel-munoz-aguirre	3	0
2013-11-16 23:12:55 +0100	Francisco	3	0
2013-11-16 21:36:48 -0200	Caio	1	0
2013-11-16 20:49:02 -0200	Caio	3	0
2013-11-16 19:53:37 -0200	Caio	4	0
2013-11-16 22:13:55 +0100	manuel-munoz-aguirre	3	0
2013-11-16 19:40:05 +0100	Francisco	9	0
2013-11-16 15:55:20 -0200	Caio	3	0
2013-11-16 15:48:26 +0100	Francisco	2	0
2013-11-16 12:11:47 +0100	manuel-munoz-aguirre	1	0
2013-11-15 23:05:36 +0100	Francisco	11	0
2013-11-15 22:28:42 +0100	manuel-munoz-aguirre	2	0
2013-11-15 11:52:19 +0100	saltzm	15	0
2013-11-15 00:48:00 -0200	Caio	10	0
2013-11-15 00:52:57 +0100	Francisco	10	0
2013-11-14 21:29:44 +0100	manuel-munoz-aguirre	2	0
2013-11-14 00:32:58 +0100	manuel-munoz-aguirre	2	0
2013-11-12 23:04:40 +0100	Francisco	2	0
2013-11-12 21:35:23 +0100	Francisco	2	0
2013-11-12 19:19:37 +0100	Francisco	2	0
2013-11-12 17:52:17 +0100	manuel-munoz-aguirre	2	0
2013-11-12 01:03:09 +0100	nishara	1	0
2013-11-11 23:24:01 +0100	Francisco	3	0
2013-11-11 20:11:25 +0100	Francisco	2	0
2013-11-11 19:57:15 +0100	Francisco	2	0
2013-11-11 17:02:15 +0100	Francisco	2	0
2013-11-11 10:46:17 +0100	Francisco	2	0
2013-11-11 10:44:59 +0100	Francisco	4	0
2013-11-11 00:06:30 +0100	Francisco	4	0
2013-11-10 18:50:39 +0100	Francisco	2	0
2013-11-10 17:07:41 +0100	Francisco	1	0
2013-10-01 00:42:32 +0200	saltzm	1	0
2013-09-30 16:47:46 +0200	saltzm	1	0
2013-09-30 16:35:05 +0200	saltzm	26	0
2013-09-30 16:04:58 +0200	saltzm	1	0
