Date	Author	NumAffectedFiles	Contains .sql
2016-10-12 13:17:05 +0700	Thien	1	0
2016-10-12 05:53:10 +0000	Thien	1	0
2016-05-29 17:05:33 +0300	Serghei	5	0
2015-11-30 22:21:53 +0700	Thien	1	0
2015-11-30 22:18:47 +0700	Thien	1	0
2015-08-05 18:35:02 +0300	Serghei	1	0
2015-08-05 14:50:12 +0300	Serghei	1	0
2015-08-05 13:32:11 +0300	Serghei	1	0
2015-08-05 13:31:45 +0300	Serghei	2	0
2015-08-05 13:31:18 +0300	Serghei	1	0
2015-08-05 13:30:56 +0300	Serghei	1	0
2015-08-05 09:44:51 +0300	Serghei	2	0
2015-08-05 09:27:11 +0300	Serghei	1	0
2015-08-05 09:26:50 +0300	Serghei	1	0
2015-08-05 09:26:14 +0300	Serghei	1	0
2015-08-05 09:25:46 +0300	Serghei	1	0
2015-08-05 09:25:06 +0300	Serghei	6	0
2015-08-05 09:24:31 +0300	Serghei	3	0
2015-08-05 09:22:51 +0300	Serghei	3	0
2015-08-05 09:22:17 +0300	Serghei	21	0
2015-08-04 22:42:31 +0300	Serghei	4	0
2015-08-04 22:34:06 +0300	Serghei	1	0
2015-08-04 22:33:40 +0300	Serghei	3	0
2015-08-04 22:17:59 +0300	Serghei	6	0
2015-08-04 22:17:35 +0300	Serghei	2	0
2015-08-04 22:17:09 +0300	Serghei	1	0
2015-08-04 22:16:43 +0300	Serghei	1	0
2015-08-05 00:41:53 +0800	Christian	1	0
2015-05-12 09:44:27 +0700	Thien	3	0
2015-05-12 09:35:14 +0700	Thien	6	0
2015-05-08 16:50:15 +0100	Sid	1	0
2015-04-16 14:09:55 +0700	Thien	2	0
2015-04-16 13:54:19 +0700	Thien	10	0
2015-04-15 15:06:33 +0700	Thien	44	0
2015-04-15 15:06:00 +0700	Thien	9	0
2015-04-15 10:51:06 +0700	Thien	7	0
2015-04-15 09:59:57 +0700	Thien	44	0
2015-04-15 09:45:57 +0700	Thien	1	0
2015-04-15 09:42:38 +0700	Thien	1	0
2015-04-15 09:39:53 +0700	Thien	26	1
2015-04-15 09:37:06 +0700	Thien	19	1
2014-12-30 10:22:25 +0900	kenjis	1	0
2014-12-30 09:51:41 +0900	kenjis	1	0
2014-12-30 10:29:34 +0900	kenjis	1	0
2014-12-25 20:05:08 +0900	kenjis	1	0
2014-12-25 20:09:37 +0900	kenjis	5	0
2014-12-20 14:59:01 +0900	kenjis	2	0
2014-12-23 11:56:11 +0700	Thien	2	0
2014-12-10 15:30:24 +0700	Thien	10	0
2014-12-10 15:08:14 +0700	Thien	4	0
2014-12-08 17:39:56 +0900	kenjis	2	0
2014-12-08 16:17:46 +0900	kenjis	1	0
2014-12-07 05:19:57 +0700	Thien	1	1
2014-11-23 16:31:18 +0700	duythien	2	2
2014-11-22 10:47:07 +0700	duythien	1	0
2014-11-22 10:41:23 +0700	duythien	1	0
2014-11-21 16:52:27 +0700	Thien	1	0
2014-11-19 11:36:55 +0700	Thien	1	0
2014-11-19 11:36:34 +0700	Thien	1	0
2014-11-17 00:59:55 -0500	root	1	0
2014-11-17 12:58:29 +0700	Thien	2	0
2014-11-17 12:57:51 +0700	Thien	1	0
2014-11-15 13:24:50 +0700	duythien	1	0
2014-11-15 12:41:41 +0700	duythien	3	0
2014-11-14 13:21:13 +0700	Thien	4	0
2014-11-14 09:03:19 +0700	Thien	2	0
2014-11-14 08:56:48 +0700	Thien	2	0
2014-11-13 12:04:01 -0500	root	1	0
2014-11-13 22:28:25 +0700	duythien	1	0
2014-11-13 22:24:33 +0700	duythien	2	0
2014-11-13 21:33:00 +0700	Thiện	1	0
2014-11-13 17:24:13 +0700	Thien	6	0
2014-11-13 17:23:31 +0700	Thien	1	0
2014-11-13 14:46:44 +0700	Thien	9	0
2014-11-12 17:31:11 +0700	Thien	4	1
2014-11-09 23:59:59 +0700	duythien	34	3
2014-11-09 10:15:27 +0700	duythien	1	0
2014-11-09 10:14:47 +0700	duythien	124	0
2014-11-09 10:12:39 +0700	duythien	1	0
2014-11-09 10:09:28 +0700	Thiện	1	0
2014-11-09 10:09:17 +0700	Thiện	2	0
