Date	Author	NumAffectedFiles	Contains .sql
2019-05-22 09:28:44 -0400	Christian	1	0
2019-05-16 12:26:38 -0400	A.	1	0
2019-05-16 11:07:35 -0400	A.	1	0
2019-05-06 15:06:16 -0400	A.	3	0
2019-05-06 13:02:58 -0400	A.	1	0
2019-05-06 12:54:51 -0400	A.	17	0
2019-05-06 12:26:35 -0400	Christian	1	0
2019-05-06 12:26:15 -0400	Christian	3	0
2019-05-06 12:26:10 -0400	Christian	3498	0
2019-05-06 12:26:05 -0400	Christian	513	0
2019-05-06 12:25:44 -0400	Christian	1	0
2019-05-06 12:25:41 -0400	Christian	1	0
2019-05-06 12:03:54 -0400	Christian	1	0
2019-05-06 11:52:23 -0400	Christian	1	0
2019-05-06 11:41:48 -0400	Christian	513	0
2019-05-06 11:20:40 -0400	Christian	3498	0
2019-05-06 11:16:18 -0400	Christian	3	0
2019-05-06 10:31:01 -0400	Christian	1	0
2019-05-06 09:27:30 -0400	A.	1	0
2019-05-03 10:40:32 -0400	Christian	1	0
2019-04-18 15:53:01 -0400	A.	1	0
2019-04-18 14:43:36 -0400	A.	1	0
2019-04-11 14:38:37 -0400	A.	2	0
2019-03-14 13:45:59 -0400	A.	4	0
2019-03-14 12:49:49 -0400	A.	4	0
2019-03-14 12:40:17 -0400	A.	1	0
2019-03-14 12:23:20 -0400	A.	2	0
2019-03-14 12:22:12 -0400	A.	2	0
2019-02-18 14:50:18 -0500	A.	6	0
2019-02-18 11:10:22 -0500	A.	2	0
2019-02-18 11:09:55 -0500	A.	1	0
2019-02-07 15:20:05 -0500	A.	1	0
2019-02-07 15:05:55 -0500	A.	1	0
2019-02-06 16:53:21 -0500	A.	2	0
2019-02-05 16:43:54 -0500	A.	1	0
2019-02-05 14:59:35 -0500	A.	1	0
2019-02-05 14:32:08 -0500	A.	2	0
2019-01-29 14:47:54 -0500	A.	2	0
2019-01-29 14:24:29 -0500	A.	1	0
2019-01-26 14:37:28 -0500	A.	1	0
2019-01-25 15:44:46 -0500	A.	1	0
2019-01-25 12:17:29 -0500	A.	2	0
2019-01-25 09:56:02 -0500	A.	1	0
