Date	Author	NumAffectedFiles	Contains .sql
2018-07-28 08:43:49 +0100	Clive	1	0
2018-05-16 22:09:00 +0300	sezinkarli	1	0
2018-01-15 16:58:41 +0000	Clive	1	0
2018-01-12 09:57:57 +0000	Gurminder	1	0
2017-10-31 16:38:45 +0000	Gurminder	7	0
2017-10-30 17:15:46 +0000	Gurminder	1	0
2017-10-30 16:50:38 +0000	Gurminder	1	0
2017-10-24 10:14:59 +0100	Clive	7	0
2017-10-24 10:11:59 +0100	Clive	1	0
2017-10-19 17:58:02 +0100	Clive	5	0
2017-10-19 15:00:53 +0100	Clive	7	0
2017-10-16 15:47:15 +0100	Clive	1	0
2017-10-16 10:33:31 +0100	Clive	1	0
2017-10-13 14:09:34 +0100	Clive	7	0
2017-09-13 12:26:28 +0100	Ilya	1	0
2017-06-30 16:45:07 +0100	Clive	7	0
2017-06-30 16:42:24 +0100	Clive	1	0
2017-06-27 07:35:15 +0100	Clive	1	0
2017-06-27 07:27:54 +0100	Clive	6	0
2017-06-27 07:26:57 +0100	Clive	1	0
2017-06-21 15:33:16 +0100	Clive	4	0
2017-06-19 16:59:07 +0100	Clive	1	0
2017-06-16 12:57:09 +0000	Seldon	1	0
2017-06-16 08:52:07 +0100	Clive	2	0
2017-06-16 08:42:27 +0100	Clive	1	0
2017-06-15 16:56:04 +0100	Clive	2	0
2017-06-15 16:47:59 +0100	Clive	2	0
2017-06-15 16:39:59 +0100	Clive	2	0
2017-06-15 15:59:55 +0100	Clive	2	0
2017-06-13 10:45:21 +0100	Clive	1	0
2017-06-13 10:36:18 +0100	Clive	1	0
2017-06-13 10:35:16 +0100	Clive	6	0
2017-06-09 18:51:51 +0000	Seldon	1	0
2017-06-09 10:29:26 +0100	Clive	1	0
2017-06-08 10:19:29 +0100	Clive	6	0
2017-06-08 10:15:24 +0100	Clive	12	0
2017-06-05 15:07:19 +0000	Seldon	6	0
2017-05-24 11:32:40 +0100	Gurminder	1	0
2017-05-19 18:14:13 +0100	Clive	1	0
2017-05-19 17:01:03 +0000	seldon	1	0
2017-05-19 15:55:21 +0100	Clive	2	0
2017-05-19 15:41:38 +0100	Clive	1	0
2017-05-19 15:34:43 +0100	Clive	4	0
2017-05-19 14:25:10 +0100	Clive	1	0
2017-05-19 14:09:57 +0100	Clive	1	0
2017-05-19 14:08:45 +0100	Clive	1	0
2017-05-19 14:08:21 +0100	Clive	1	0
2017-05-19 10:10:47 +0100	Clive	1	0
2017-05-19 09:25:14 +0100	Clive	5	0
2017-05-17 14:47:03 +0100	Clive	2	0
2017-05-17 11:08:33 +0100	Clive	7	0
2017-05-17 10:47:47 +0100	Clive	2	0
2017-05-16 16:41:33 +0100	Clive	8	0
2017-05-05 08:37:47 +0100	Clive	1	0
2017-05-04 15:27:31 +0100	Alex	1	0
2017-05-04 14:53:33 +0100	Alex	1	0
2017-05-03 15:58:40 +0100	Clive	1	0
2017-05-03 11:31:14 +0100	Clive	2	0
2017-05-02 17:53:23 +0100	Clive	7	0
2017-05-02 17:15:35 +0100	Clive	3	0
2017-05-02 16:19:18 +0100	Clive	1	0
2017-05-02 16:10:23 +0100	Clive	1	0
2017-05-02 16:09:09 +0100	Clive	1	0
2017-05-02 15:56:02 +0100	Clive	7	0
2017-04-28 20:47:25 +0100	Clive	4	0
2017-04-28 16:32:36 +0100	Clive	1	0
2017-04-28 16:10:41 +0100	Clive	5	0
2017-04-28 10:07:26 +0100	Clive	3	0
2017-04-26 18:16:46 +0100	Clive	30	0
2017-04-25 18:33:32 +0100	Clive	13	0
2017-04-23 18:50:34 +0100	Clive	4	0
2017-04-23 17:34:24 +0100	Clive	3	0
2017-04-22 19:40:36 +0100	Clive	9	0
2017-04-19 15:27:53 +0100	Clive	1	0
2017-04-19 13:32:40 +0100	Clive	1	1
2017-04-19 12:08:41 +0100	Clive	1	0
2017-04-19 10:40:46 +0100	Clive	12	2
2017-04-06 16:31:22 +0100	giovannivacanti	1	0
2017-04-05 19:47:18 +0100	Clive	1	0
2017-04-05 15:19:04 +0100	Clive	7	0
2017-04-05 14:25:47 +0100	giovannivacanti	1	0
2017-04-05 14:22:56 +0100	giovannivacanti	1	0
2017-04-05 14:06:20 +0100	giovannivacanti	1	0
2017-03-28 15:12:46 +0100	giovannivacanti	1	0
2017-03-28 15:12:10 +0100	giovannivacanti	1	0
2017-03-28 15:11:46 +0100	giovannivacanti	1	0
2017-03-28 14:36:57 +0100	Clive	4	0
2017-03-28 12:41:48 +0100	giovannivacanti	1	0
2017-03-28 12:40:56 +0100	giovannivacanti	1	0
2017-03-28 12:40:25 +0100	giovannivacanti	1	0
2017-03-28 12:39:33 +0100	giovannivacanti	1	0
2017-03-27 16:46:16 +0100	Clive	7	0
2017-03-27 16:41:05 +0100	giovannivacanti	1	0
2017-03-27 16:19:59 +0100	giovannivacanti	1	0
2017-03-27 16:18:47 +0100	giovannivacanti	1	0
2017-03-27 14:51:01 +0100	giovannivacanti	1	0
2017-03-27 14:49:54 +0100	giovannivacanti	1	0
2017-03-27 14:49:19 +0100	giovannivacanti	1	0
2017-03-26 21:03:55 +0100	Clive	1	0
2017-03-26 20:45:16 +0100	Clive	1	0
2017-03-26 20:39:35 +0100	Clive	5	0
2017-03-26 19:04:10 +0100	Clive	1	0
2017-03-26 18:38:38 +0100	Clive	7	0
2017-03-26 18:28:25 +0100	Clive	2	0
2017-03-07 13:43:45 +0000	giovannivacanti	1	0
2017-03-07 13:42:57 +0000	giovannivacanti	1	0
2017-03-07 13:38:26 +0000	giovannivacanti	1	0
2017-03-07 13:37:03 +0000	giovannivacanti	1	0
2017-03-06 14:03:00 +0000	giovannivacanti	1	0
2017-03-06 14:02:25 +0000	giovannivacanti	1	0
2017-02-27 13:53:17 +0000	giovannivacanti	1	0
2017-02-27 13:53:03 +0000	giovannivacanti	1	0
2017-02-27 13:52:53 +0000	giovannivacanti	1	0
2017-02-27 13:52:36 +0000	giovannivacanti	1	0
2017-02-27 13:52:17 +0000	giovannivacanti	1	0
2017-02-27 13:51:54 +0000	giovannivacanti	1	0
2017-02-27 13:51:44 +0000	giovannivacanti	1	0
2017-02-27 13:51:32 +0000	giovannivacanti	1	0
2017-02-27 13:45:21 +0000	giovannivacanti	1	0
2017-02-27 13:38:14 +0000	giovannivacanti	1	0
2017-02-27 13:36:29 +0000	giovannivacanti	1	0
2017-01-17 16:39:45 +0000	Gurminder	1	0
2017-01-16 17:32:27 +0000	Gurminder	1	0
2017-01-10 16:20:05 +0000	Clive	3	0
2016-12-19 10:55:14 +0000	Clive	1	0
2016-12-16 16:54:40 +0000	Clive	1	0
2016-12-16 14:54:39 +0000	Clive	1	0
2016-12-15 17:50:18 +0000	Clive	1	0
2016-12-14 19:07:34 +0000	Clive	13	0
2016-12-12 16:25:14 +0000	Clive	2	0
2016-12-08 16:16:39 +0000	Clive	1	0
2016-12-05 18:24:17 +0000	Clive	2	0
2016-12-05 16:03:22 +0000	Clive	5	0
2016-11-30 20:15:14 +0000	Clive	8	0
2016-11-23 20:14:01 +0000	Clive	1	0
2016-11-23 15:23:17 +0000	Clive	6	0
2016-11-23 09:28:21 +0000	Clive	1	0
2016-11-21 19:15:18 +0000	Clive	9	0
2016-11-17 09:30:05 +0000	Clive	12	0
2016-11-13 17:05:05 +0000	Clive	1	0
2016-11-13 16:46:50 +0000	Clive	1	0
2016-11-12 17:15:36 +0000	Clive	8	0
2016-11-11 18:51:47 +0000	Clive	5	0
2016-11-10 13:37:53 +0000	Clive	1	0
2016-11-09 15:52:27 +0000	Clive	2	0
2016-11-08 20:08:25 +0000	Clive	7	0
2016-11-08 20:04:54 +0000	Clive	3	0
