Date	Author	NumAffectedFiles	Contains .sql
2018-11-20 15:56:34 +0200	Gabi	0	0
2018-10-15 17:58:37 +0300	Gabi	0	0
2018-10-15 17:57:52 +0300	Gabi	3	0
2018-06-28 19:26:24 +0300	Gabi	1	0
2018-06-04 17:49:41 +0300	Gabi	7	0
2018-05-16 17:27:08 +0300	Gabi	5	0
2017-11-27 13:46:43 +0100	JapSeyz	1	0
2017-09-26 19:18:18 +0300	arhimede	1	1
2017-05-26 20:21:16 +0300	n3vrax	2	0
2017-05-25 23:14:31 +0300	n3vrax	7	0
2017-05-03 01:55:30 +0300	n3vrax	1	0
2017-05-03 01:42:15 +0300	n3vrax	1	1
2017-05-03 01:35:32 +0300	n3vrax	2	1
2017-05-02 23:22:56 +0300	n3vrax	1	0
2017-05-02 23:21:42 +0300	n3vrax	2	0
2017-05-02 17:43:04 +0300	n3vrax	3	0
2017-04-30 03:37:18 +0300	n3vrax	5	0
2017-04-29 05:08:27 +0300	n3vrax	2	0
2017-04-25 01:49:46 +0300	n3vrax	2	0
2017-04-24 20:05:50 +0300	n3vrax	1	0
2017-04-23 15:09:47 +0300	n3vrax	9	0
2017-04-22 00:08:47 +0300	n3vrax	3	0
2017-04-21 22:13:53 +0300	arhimede	1	0
2017-04-19 19:22:55 +0300	n3vrax	2	0
2017-04-19 04:55:35 +0300	n3vrax	6	0
2017-04-18 17:12:46 +0300	n3vrax	5	0
2017-04-14 23:43:32 +0300	n3vrax	4	0
2017-04-10 16:21:20 +0300	Iulian	1	0
2017-04-07 21:11:00 +0300	n3vrax	50	0
2017-04-07 19:35:01 +0300	Iulian	1	0
2017-04-07 19:10:30 +0300	n3vrax	1	0
2017-04-07 19:09:26 +0300	n3vrax	17	0
2017-04-07 18:16:11 +0300	arhimede	1	0
2017-04-07 17:24:32 +0300	n3vrax	2	0
2017-04-07 17:15:33 +0300	n3vrax	5	1
2017-03-31 19:17:04 +0300	Popa	1	0
2017-03-31 18:56:10 +0300	Popa	1	0
2017-03-31 18:41:33 +0300	Popa	1	0
2017-03-31 18:41:12 +0300	Popa	1	0
2017-03-24 15:12:06 +0200	Iulian	5	0
2017-03-23 20:45:40 +0200	n3vrax	3	0
2017-03-22 22:38:56 +0200	n3vrax	2	0
2017-03-22 22:02:48 +0200	n3vrax	1	0
2017-03-22 21:59:56 +0200	n3vrax	70	0
2017-03-16 19:35:14 +0200	dotcostin	2	0
2017-03-16 19:18:39 +0200	n3vrax	1	0
2017-03-16 18:52:42 +0200	Iulian	2	0
2017-03-16 18:26:01 +0200	Iulian	8	0
2017-03-15 19:23:39 +0200	Iulian	17	0
2017-03-15 13:08:54 +0200	Iulian	9	0
2017-03-14 20:54:42 +0200	Iulian	15	0
2017-03-13 22:23:38 +0200	n3vrax	5	0
2017-03-12 14:47:47 +0200	n3vrax	1	0
2017-03-12 14:02:36 +0200	n3vrax	2	0
2017-03-12 13:59:40 +0200	n3vrax	1	0
2017-03-12 13:41:31 +0200	n3vrax	10	0
2017-03-12 03:36:12 +0200	n3vrax	1	0
2017-03-11 16:18:50 +0200	Popa	86	1
2017-01-26 20:24:52 +0200	Popa	0	0
2017-01-26 19:15:17 +0200	arhimede	1	0
2017-01-25 19:04:39 +0200	arhimede	1	0
2017-01-24 17:09:52 +0200	arhimede	1	0
2017-01-24 17:09:22 +0200	arhimede	1	0
2017-01-20 04:20:38 +0200	n3vrax	2	0
2017-01-20 04:10:39 +0200	Popa	9	0
2017-01-19 23:33:26 +0200	n3vrax	2	0
2017-01-19 23:25:38 +0200	n3vrax	1	0
2017-01-19 20:21:42 +0200	n3vrax	6	0
2017-01-09 20:31:31 +0200	n3vrax	2	0
2017-01-09 19:09:35 +0200	n3vrax	2	1
2017-01-09 19:08:56 +0200	n3vrax	3	1
2017-01-06 23:56:08 +0200	n3vrax	40	0
2016-12-11 05:33:58 +0200	n3vrax	10	0
2016-12-10 00:36:57 +0200	n3vrax	8	0
2016-12-08 20:40:46 +0200	n3vrax	4	0
2016-12-07 23:26:32 +0200	n3vrax	22	0
2016-12-01 03:31:36 +0200	n3vrax	5	0
2016-11-28 23:17:53 +0200	n3vrax	4	0
2016-11-26 00:53:59 +0200	n3vrax	15	0
2016-11-25 00:56:58 +0200	n3vrax	21	0
2016-11-14 23:04:20 +0200	n3vrax	2	0
2016-11-04 20:59:08 +0200	n3vrax	1	0
2016-11-02 21:06:38 +0200	n3vrax	1	0
2016-10-31 17:07:42 +0200	n3vrax	5	0
2016-10-28 20:08:27 +0300	n3vrax	3	0
2016-10-27 22:04:40 +0300	n3vrax	4	0
2016-10-27 03:43:48 +0300	n3vrax	2	0
2016-10-25 21:27:06 +0300	n3vrax	13	0
2016-10-25 19:19:32 +0300	n3vrax	7	0
2016-10-24 23:11:47 +0300	n3vrax	9	0
2016-10-19 23:49:36 +0300	n3vrax	5	0
2016-10-18 23:06:28 +0300	n3vrax	47	1
2016-10-17 23:44:18 +0300	n3vrax	27	0
2016-10-14 22:59:26 +0300	n3vrax	13	0
2016-10-13 23:39:55 +0300	n3vrax	1	0
2016-10-13 02:03:09 +0300	Popa	1	0
2016-10-13 02:02:56 +0300	Popa	1	0
2016-10-13 02:02:37 +0300	n3vrax	5	0
2016-10-13 02:00:46 +0300	n3vrax	31	0
2016-10-12 19:18:26 +0300	n3vrax	24	0
