mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2013-08	1	227	1665	227	0	1665	0	0	0	0	0	0	0	1665	0	0	1665	0	1665
1	2013-09	2	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2013-10	1	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2013-11	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2013-12	1	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2014-01	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2014-02	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2014-03	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2014-04	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2014-05	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2014-06	1	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2014-07	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2014-08	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2014-09	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2014-10	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2014-11	1	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2014-12	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2015-01	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2015-02	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2015-03	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2015-04	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2015-05	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2015-06	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2015-07	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2015-08	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2015-09	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2015-10	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2015-11	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2015-12	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2016-01	0	227	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
