Date	Author	NumAffectedFiles	Contains .sql
2019-03-18 13:19:19 -0400	Jared	2	0
2019-03-18 12:49:12 -0400	Jared	9	0
2019-03-15 19:36:35 -0700	Ethan	1	0
2019-03-18 12:27:57 -0400	Jared	2	0
2018-12-17 13:29:54 -0500	Jared	2	0
2018-12-15 16:51:22 -0800	Ethan	4	0
2018-05-09 00:19:49 -0400	Jared	17	0
2018-02-22 12:47:57 -0500	Jared	3	0
2018-02-22 12:42:48 -0500	Jared	3	0
2018-02-22 12:33:46 -0500	Jared	4	0
2018-02-22 12:23:01 -0500	Jared	6	0
2018-02-23 00:53:40 +0800	devvit	6	1
2018-02-21 19:39:48 -0500	Jared	1	0
2018-02-21 19:34:51 -0500	Jared	1	0
2018-02-21 19:32:01 -0500	Jared	1	0
2018-02-21 19:28:47 -0500	Jared	2	1
2017-12-10 00:28:55 -0500	Jared	4	0
2017-12-08 18:40:27 -0800	Ethan	1	0
2017-12-08 18:40:21 -0800	Ethan	1	0
2017-05-26 19:34:55 -0400	Jordan	1	0
2017-05-25 14:41:29 -0400	Jared	1	0
2017-05-25 14:38:26 -0400	Jared	2	0
2017-05-25 13:37:49 -0400	Jordan	4	0
2017-03-20 01:11:14 -0400	Jared	1	0
2017-03-20 00:52:10 -0400	Jared	2	0
2017-03-20 00:39:53 -0400	Jared	11	1
2016-12-21 16:39:41 -0500	Jared	8	0
2017-03-20 00:43:34 -0400	Jared	1	0
