Date	Author	NumAffectedFiles	Contains .sql
2016-06-08 16:40:41 -0600	Jesse	1	0
2016-05-13 10:16:23 -0600	Jesse	1	0
2016-05-11 15:58:19 -0600	Jesse	1	0
2016-05-11 15:53:24 -0600	Jesse	1	0
2016-05-11 15:40:08 -0600	Jesse	1	0
2016-05-11 15:28:26 -0600	Jesse	5	0
2016-05-06 08:16:16 -0600	Jesse	4	0
2016-01-05 10:35:56 -0700	Jesse	1	0
2015-12-10 07:42:22 -0700	Jesse	1	0
2015-12-04 16:41:17 -0700	Jesse	1	0
2015-12-04 16:35:31 -0700	Jesse	1	0
2015-12-04 08:47:37 -0700	Brayden	1	0
2015-12-04 08:41:32 -0700	Brayden	1	0
2015-12-04 08:39:11 -0700	Brayden	1	0
2015-12-03 23:43:08 -0700	Brayden	2	0
2015-12-03 15:41:15 -0700	Jesse	2	0
2015-12-02 16:21:46 -0700	Brayden	1	0
2015-12-02 16:19:20 -0700	Jesse	1	0
2015-12-02 16:14:43 -0700	Jesse	3	0
2015-12-02 15:41:24 -0700	Jesse	1	0
2015-12-02 15:40:55 -0700	Jesse	1	0
2015-12-02 15:10:39 -0700	Jesse	1	0
2015-12-02 15:08:51 -0700	Jesse	6	0
2015-11-25 15:03:57 -0700	Jesse	4	0
2015-11-25 14:13:23 -0700	Jesse	1	0
2015-11-25 13:09:04 -0700	Jesse	2	0
2015-11-25 12:55:23 -0700	Jesse	1	0
2015-11-25 12:48:51 -0700	Jesse	1	0
2015-11-25 11:41:55 -0700	Jesse	1	0
2015-11-25 11:39:31 -0700	Jesse	1	0
2015-11-25 09:45:55 -0700	Jesse	1	0
2015-11-19 13:51:56 -0700	Jesse	1	0
2015-11-19 11:00:17 -0700	Jesse	5	0
2015-11-19 10:55:40 -0700	Brayden	1	0
2015-11-19 10:55:21 -0700	Brayden	2	0
2015-11-19 09:36:11 -0700	Brayden	1	0
2015-11-19 09:23:24 -0700	Brayden	16	0
2015-11-19 09:02:00 -0700	Jesse	1	0
2015-11-19 08:52:45 -0700	Jesse	1	0
2015-11-19 08:49:03 -0700	Jesse	4	0
2015-11-19 08:46:38 -0700	Brayden	4	0
2015-11-19 00:18:24 -0700	Brayden	11	0
2015-11-18 17:35:06 -0700	Jesse	2	0
2015-11-18 17:17:44 -0700	Jesse	2	0
2015-11-18 16:52:52 -0700	Jesse	10	0
2015-11-18 15:03:26 -0700	Jesse	6	0
2015-11-18 11:43:57 -0700	Jesse	2	0
2015-11-18 11:39:06 -0700	Jesse	3	0
2015-11-18 11:23:19 -0700	Jesse	3	0
2015-11-17 11:19:11 -0700	Jesse	7	0
2015-11-17 10:22:00 -0700	Jesse	12	0
2015-11-17 09:44:39 -0700	Jesse	7	0
2015-11-17 09:16:42 -0700	Jesse	1	0
2015-11-17 09:14:44 -0700	Jesse	2	0
2015-11-17 08:58:04 -0700	Jesse	5	0
2015-11-16 14:13:08 -0700	Jesse	1	0
2015-11-16 11:32:25 -0700	Jesse	2	0
2015-11-16 11:31:12 -0700	Jesse	1	0
2015-11-16 11:28:06 -0700	Jesse	2	0
2015-11-15 14:29:45 -0700	Jesse	1	0
2015-11-15 14:27:16 -0700	Jesse	4	1
2015-11-15 13:29:27 -0700	Jesse	3	0
2015-11-14 09:05:07 -0700	Jesse	1	0
2015-11-14 09:01:33 -0700	Jesse	2	0
2015-11-13 16:13:23 -0700	Jesse	1	0
2015-11-13 16:08:57 -0700	Jesse	7	0
2015-11-13 15:49:56 -0700	Jesse	6	0
2015-11-13 11:28:22 -0700	Jesse	1	0
2015-11-13 11:12:38 -0700	Jesse	2	1
2015-11-13 11:11:38 -0700	Jesse	1	0
2015-11-13 10:42:52 -0700	Brayden	1	0
2015-11-13 10:42:29 -0700	Brayden	2	0
2015-11-12 20:31:09 -0700	Jesse	1	0
2015-11-12 18:23:46 -0700	Jesse	1	0
2015-11-12 18:07:25 -0700	Jesse	2	1
2015-11-12 16:21:19 -0700	Brayden	2	0
2015-11-12 16:10:57 -0700	Jesse	1	1
2015-11-12 15:54:14 -0700	Jesse	1	0
2015-11-12 15:53:00 -0700	Jesse	1	0
2015-11-12 15:50:56 -0700	Jesse	1	1
2015-11-12 15:19:34 -0700	Brayden	1	1
2015-11-12 14:25:53 -0700	Jesse	1	0
2015-11-12 14:03:35 -0700	Jesse	1	0
2015-11-12 13:46:08 -0700	Brayden	1	0
2015-11-12 11:54:54 -0700	Brayden	2	0
2015-11-12 11:41:23 -0700	Jesse	1	0
2015-11-12 11:35:14 -0700	Jesse	1	0
2015-11-12 11:32:33 -0700	Jesse	1	0
2015-11-12 10:57:14 -0700	Jesse	1	0
2015-11-12 10:48:05 -0700	Jesse	1	0
2015-11-12 10:34:17 -0700	Jesse	2	0
2015-11-12 10:25:13 -0700	Jesse	1	0
2015-11-12 10:24:56 -0700	Jesse	1	0
2015-11-12 10:24:02 -0700	Jesse	1	0
2015-11-12 09:32:52 -0700	Jesse	1	0
2015-11-12 08:57:32 -0700	Jesse	1	0
2015-11-12 08:55:29 -0700	Jesse	42	0
2015-11-06 17:06:56 -0700	Jesse	6	0
2015-11-06 16:49:44 -0700	Jesse	1	0
2015-11-06 16:49:00 -0700	Jesse	41	0
