Date	Author	NumAffectedFiles	Contains .sql
2019-05-10 10:41:27 +0800	jingsam	1	0
2019-05-10 10:33:06 +0800	jingsam	2	0
2019-05-10 10:22:49 +0800	jingsam	2	0
2019-05-10 10:17:16 +0800	jingsam	2	0
2019-05-10 09:49:23 +0800	jingsam	2	0
2019-05-09 17:55:22 +0800	jingsam	2	0
2016-09-28 14:32:48 +0300	Hannes	1	0
2016-09-28 10:53:09 +0300	Hannes	1	0
2016-09-28 10:47:18 +0300	Hannes	1	0
2019-03-01 11:59:20 +0800	jingsam	1	0
2018-08-06 11:36:42 -0700	mapsam	1	0
2018-08-07 02:16:09 +0800	jingsam	1	0
2018-06-26 08:05:29 -0700	Dane	2	0
2018-06-26 07:49:29 -0700	Dane	4	0
2018-03-27 11:26:21 -0400	Sam	1	0
2018-03-27 23:23:48 +0800	jingsam	3	0
2018-01-09 10:44:07 -0800	Sam	1	0
2018-01-09 09:23:09 -0800	mapsam	1	0
2018-01-08 12:20:55 -0800	mapsam	1	0
2018-01-08 12:14:25 -0800	mapsam	1	0
2018-01-08 12:04:24 -0800	mapsam	1	0
2018-01-08 12:04:15 -0800	mapsam	1	0
2017-08-22 17:48:05 -0700	Dane	2	0
2017-07-12 14:32:48 -0700	mapsam	2	0
2017-04-20 09:22:13 -0500	Blake	1	0
2017-04-20 09:10:58 -0500	Blake	1	0
2017-04-13 17:12:43 -0700	Dane	1	0
2017-02-02 13:43:28 -0800	Kai	2	0
2016-04-15 13:26:06 -0400	Andrew	2	0
2016-04-14 18:49:34 -0400	Andrew	3	0
2016-04-14 13:32:38 -0400	Andrew	2	0
2016-04-14 13:24:27 -0400	Andrew	1	0
2016-04-04 13:16:52 -0400	Andrew	1	0
2016-04-04 10:49:34 -0400	Andrew	1	0
2016-04-01 01:16:01 -0400	Andrew	1	0
2016-03-30 01:10:20 -0400	Andrew	1	0
2016-03-22 13:47:47 -0700	Dane	0	0
2016-03-17 17:55:34 -0400	Andrew	1	0
2016-03-05 17:12:17 -0500	Andrew	1	0
2016-02-09 15:44:32 -0500	Tom	2	0
2015-10-29 16:11:24 -0400	Young	2	0
2015-10-29 15:43:16 -0400	Young	1	0
2015-10-29 15:39:04 -0400	Young	1	0
2015-10-29 15:37:05 -0400	Young	1	0
2015-10-14 08:42:29 -0700	Dane	2	0
2015-10-14 08:37:10 -0700	Dane	1	0
2015-10-14 08:19:51 -0700	Dane	1	0
2015-08-06 10:17:55 -0700	Dane	0	0
2015-05-04 14:46:34 -0700	Dane	0	0
2015-04-23 16:51:57 -0700	Ryan	2	0
2015-04-23 15:44:07 -0700	Ryan	4	0
2015-03-09 22:39:47 -0400	Ryan	1	0
2015-03-09 22:22:16 -0400	Ryan	1	0
2015-03-09 22:15:11 -0400	Ryan	1	0
2015-01-16 17:08:33 -0500	Young	1	0
2015-01-16 13:22:41 -0500	Young	2	0
2015-01-16 12:54:59 -0500	Young	2	0
2015-01-05 11:33:22 -0500	Ryan	1	0
2015-01-05 10:32:10 -0500	Ryan	1	0
2014-12-13 11:26:33 -0500	Will	1	0
2014-12-13 11:13:13 -0500	Will	1	0
2014-12-10 16:32:52 -0500	Young	1	0
2014-12-10 03:10:19 -0500	Young	1	0
2014-12-10 03:07:32 -0500	Young	3	0
2014-11-18 12:59:52 -0500	Will	1	0
2014-11-18 12:40:44 -0500	Will	3	0
2014-11-13 10:53:58 -0500	Young	1	0
2014-11-13 09:13:39 -0500	Young	2	0
2014-11-12 18:58:27 -0500	Tom	1	0
2014-11-10 20:51:15 -0500	Will	1	0
2014-11-10 20:38:57 -0500	Will	2	0
2014-10-29 18:14:26 -0400	Young	1	0
2014-10-29 18:10:27 -0400	Young	1	0
2014-10-29 18:09:29 -0400	Young	1	0
2014-10-29 17:38:28 -0400	Young	1	0
2014-10-29 17:31:12 -0400	Young	1	0
2014-10-29 17:29:53 -0400	Young	1	0
2014-10-29 17:11:59 -0400	Young	3	0
2014-09-30 12:25:23 -0400	Young	1	0
2014-09-30 12:24:47 -0400	Young	6	0
2014-09-30 12:17:14 -0400	Young	1	0
2014-09-30 12:11:56 -0400	Young	1	0
2014-09-30 12:08:12 -0400	Young	1	0
2014-09-30 12:05:49 -0400	Young	8	0
2014-09-30 11:54:18 -0400	Young	1	0
2014-09-30 11:52:04 -0400	Young	2	0
2014-09-29 15:18:22 -0400	Young	2	0
2014-09-29 15:17:36 -0400	Young	1	0
2014-09-29 15:12:37 -0400	Young	1	0
2014-09-29 15:08:18 -0400	Young	1	0
2014-09-29 15:04:04 -0400	Young	1	0
2014-09-29 14:55:07 -0400	Young	1	0
2014-09-21 15:49:22 -0700	Dane	3	0
2014-08-20 11:20:44 -0700	John	2	0
2014-08-20 07:45:15 -0400	Young	2	0
2014-07-25 11:27:31 -0700	Dane	2	0
2014-05-19 14:51:59 -0400	Young	1	0
2014-05-18 11:50:18 -0400	Young	3	0
2014-02-20 15:07:24 -0800	Dane	1	0
2014-01-21 23:58:16 -0500	Young	1	0
2014-01-21 23:55:30 -0500	Young	2	0
2014-01-13 23:19:54 -0800	Dane	1	0
2014-01-13 23:19:04 -0800	Dane	1	0
2014-01-07 16:00:59 -0800	Dane	1	0
2013-12-13 05:50:26 -0500	Young	1	0
2013-12-13 04:16:44 -0500	Young	1	0
2013-12-13 03:31:50 -0500	Young	3	0
2013-12-05 16:11:10 -0500	Young	2	0
2013-12-05 15:00:17 -0500	Young	4	1
2013-12-05 14:57:53 -0500	Young	2	1
2013-11-18 15:57:55 -0800	Dane	2	0
2013-07-18 11:07:50 -0400	Young	1	0
2013-07-18 09:09:14 -0400	Young	1	0
2013-07-12 13:53:31 -0400	Young	1	0
2013-07-12 13:39:14 -0400	Young	1	0
2013-07-12 13:22:45 -0400	Young	1	0
2013-07-12 13:22:33 -0400	Young	1	0
2013-07-12 13:21:15 -0400	Young	1	0
2013-07-12 07:43:49 -0400	Young	1	0
2013-07-12 07:41:03 -0400	Young	1	0
2013-07-12 06:00:05 -0400	Young	2	0
2013-07-12 05:54:50 -0400	Young	5	0
2013-07-12 05:41:31 -0400	Young	3	0
2013-07-12 05:29:03 -0400	Young	1	0
2013-07-12 05:25:03 -0400	Young	7	0
2013-07-12 04:23:07 -0400	Young	1	0
2013-07-12 04:22:00 -0400	Young	8	0
2013-05-22 19:17:58 -0700	Dane	1	0
2012-11-07 12:56:40 -0500	Young	1	0
2012-11-07 12:56:21 -0500	Young	1	0
2012-08-16 11:17:13 -0400	Will	2	0
2012-08-16 09:29:32 -0400	Will	1	0
2012-04-30 18:44:36 -0400	Young	1	0
