Date	Author	NumAffectedFiles	Contains .sql
2016-01-15 15:08:05 -0500	Matt	1	0
2016-01-15 12:03:37 -0800	Ryan	1	0
2015-10-15 12:57:38 -0400	Matt	1	0
2015-08-05 16:23:26 -0400	Matt	2	0
2015-06-15 11:27:14 -0700	Matt	4	0
2015-06-10 17:27:42 -0700	Matt	7	0
2015-05-21 02:19:11 -0400	Matt	2	0
2015-05-21 01:20:28 -0400	Matt	8	0
2015-05-20 13:30:24 -0400	Matt	4	0
2015-05-18 21:58:33 -0400	Matt	1	0
2015-05-18 21:58:14 -0400	Matt	9	0
2015-05-05 16:57:47 -0700	Matt	3	1
2015-04-22 03:14:02 -0700	Matt	1	1
2015-04-20 14:09:38 -0700	Matt	3	1
2015-04-20 02:52:51 -0700	Matt	6	1
2015-04-14 01:36:59 -0700	Matt	3	0
2015-04-10 00:11:00 -0700	Matt	5	0
2015-04-09 23:31:59 -0700	Matt	3	0
2015-04-09 13:41:51 -0700	Matt	2	0
2015-04-09 02:26:09 -0700	Matt	5	0
2015-04-08 18:21:06 -0700	Matt	2	0
2015-04-08 18:16:14 -0700	Matt	3	0
2015-04-08 18:01:25 -0700	Matt	2	0
2015-04-08 17:52:01 -0700	Matt	2	0
2015-04-08 17:10:18 -0700	Matt	14	0
2015-04-06 17:09:24 -0700	Matt	2	0
2015-04-06 01:42:45 -0700	Matt	2	0
2015-04-04 14:07:08 -0700	Matt	3	0
2015-04-03 17:56:10 -0700	Matt	2	0
2015-04-03 17:53:23 -0700	Matt	2	0
2015-04-03 13:47:10 -0700	Matt	11	0
2015-04-02 20:05:51 -0700	Matt	1	0
2015-04-02 20:02:56 -0700	Matt	3	0
2015-04-02 17:42:12 -0700	Matt	2	0
2015-04-01 18:59:20 -0700	Matt	1	0
2015-04-01 18:53:23 -0700	Matt	10	0
2015-03-31 02:22:05 -0700	Matt	4	0
2015-03-30 15:01:42 -0700	Matt	43	0
2015-03-30 14:57:48 -0700	Matt	6	0
2015-03-27 19:18:23 -0700	Matt	3	0
2015-03-27 04:29:23 -0700	Matt	11	0
2015-03-26 18:20:41 -0700	Matt	11	0
2015-03-26 13:07:29 -0700	Matt	26	0
2015-03-20 04:26:25 -0700	Matt	4	0
2015-03-19 03:53:46 -0700	Matt	2	0
2015-03-18 20:39:21 -0700	Matt	3	0
2015-03-18 03:40:21 -0700	Matt	2	0
2015-03-18 02:18:11 -0700	Matt	5	0
2015-03-17 21:48:21 -0700	Matt	4	0
2015-03-17 19:04:45 -0700	Matt	3	0
2015-03-13 04:48:31 -0700	Matt	2	0
2015-03-13 04:46:21 -0700	Matt	1	0
2015-03-13 02:25:23 -0700	Matt	1	0
2015-03-13 02:25:09 -0700	Matt	2	0
2015-03-13 00:40:24 -0700	Matt	2	0
2015-03-13 00:12:29 -0700	Matt	1	0
2015-03-12 23:48:23 -0700	Matt	3	0
2015-03-12 22:13:47 -0700	Matt	1	0
2015-03-12 22:01:15 -0700	Matt	4	0
2015-03-11 12:33:42 -0700	Matt	12	0
2015-03-07 15:03:27 -0800	Matt	3	0
2015-03-07 14:57:46 -0800	Matt	6	0
2015-03-07 13:26:06 -0800	Matt	18	0
