Date	Author	NumAffectedFiles	Contains .sql
2016-02-06 22:13:13 -0600	Marcelo	13	1
2014-02-02 16:34:34 -0600	Marcelo	1	0
2014-02-02 16:32:02 -0600	Marcelo	1	0
2014-02-02 16:30:44 -0600	Marcelo	1	0
2014-02-01 21:27:10 -0600	Marcelo	1	0
2014-01-31 19:55:20 -0600	Marcelo	2	0
2014-01-30 07:37:32 -0600	Marcelo	1	0
2014-01-30 07:07:31 -0600	Marcelo	1	0
2014-01-28 05:50:57 -0600	Marcelo	1	0
2014-01-28 05:33:26 -0600	Marcelo	1	0
2014-01-27 22:03:22 -0600	Marcelo	2	0
2014-01-27 18:27:32 -0600	Marcelo	1	0
2014-01-27 18:26:04 -0600	Marcelo	1	0
2014-01-27 13:29:20 -0600	leojimenezcr	1	0
2014-01-26 21:30:35 -0600	Marcelo	11	1
2014-01-26 15:48:59 -0600	Marcelo	1	0
2014-01-26 13:37:20 -0800	mem	3	0
