Date	Author	NumAffectedFiles	Contains .sql
2015-11-24 09:15:19 +0700	Muhammad	1	0
2015-10-05 20:57:34 +0700	Muhammad	1	0
2015-08-30 20:11:34 +0700	Muhammad	2	0
2015-08-30 20:08:20 +0700	Muhammad	1	0
2015-08-30 12:09:36 +0700	Muhammad	1	0
2015-08-30 11:23:14 +0700	Muhammad	5	1
2015-08-27 07:16:05 +0700	Muhammad	7	0
2015-08-27 06:57:48 +0700	Muhammad	1	0
2015-08-27 06:36:37 +0700	Muhammad	1	0
2015-08-26 22:02:57 +0700	Muhammad	13	0
2015-08-26 16:02:47 +0700	Muhammad	7	0
2015-08-25 08:20:14 +0700	Muhammad	5	0
2015-08-25 07:30:40 +0700	Muhammad	1	0
2015-08-25 07:28:53 +0700	Muhammad	12	1
2015-08-24 14:09:30 +0700	Muhammad	27	0
2015-08-23 15:16:55 +0700	Muhammad	4	0
2015-08-22 18:18:33 +0700	Muhammad	1	0
2015-08-22 14:49:11 +0700	Muhammad	2	0
2015-08-22 14:41:26 +0700	Muhammad	1	0
2015-08-22 14:35:56 +0700	Muhammad	3	0
2015-08-22 04:31:41 +0700	Muhammad	1	0
2015-08-22 04:15:54 +0700	Muhammad	1	0
2015-08-22 04:12:51 +0700	Muhammad	1	0
2015-08-22 03:56:06 +0700	Muhammad	2	0
2015-08-21 14:19:45 +0700	Muhammad	1	0
2015-08-21 14:15:08 +0700	Muhammad	4	0
2015-08-21 13:28:03 +0700	Muhammad	15	0
2015-08-21 06:54:48 +0700	Muhammad	1	0
2015-08-21 01:26:25 +0700	Muhammad	13	1
2015-08-20 21:52:11 +0700	Muhammad	1	0
2015-08-20 21:45:24 +0700	Muhammad	3	0
2015-08-20 15:06:12 +0700	Muhammad	11	0
2015-08-20 08:02:41 +0700	Muhammad	7	1
2015-08-19 21:56:52 +0700	Muhammad	14	0
2015-08-19 17:38:29 +0700	Muhammad	18	0
2015-08-19 12:28:50 +0700	Muhammad	3	1
2015-08-19 12:22:24 +0700	Muhammad	9	0
2015-08-19 01:53:01 +0700	Muhammad	10	0
2015-08-18 21:46:39 +0700	Muhammad	15	0
2015-08-17 18:42:08 +0700	Muhammad	1	0
2015-08-17 18:41:36 +0700	Muhammad	17	0
2015-08-16 21:18:43 +0700	Muhammad	4	0
2015-08-16 21:06:23 +0700	Muhammad	1	0
2015-08-16 21:03:57 +0700	Muhammad	14	0
2015-08-16 17:34:46 +0700	Muhammad	24	0
2015-08-14 08:49:42 +0700	Muhammad	24	0
