Date	Author	NumAffectedFiles	Contains .sql
2016-03-10 20:59:14 +1100	Oswyn	5	0
2016-03-10 20:25:12 +1100	Andrae	3	0
2016-03-10 18:39:03 +1100	Oswyn	2	0
2016-03-10 17:33:19 +1100	Andrae	1	0
2016-03-10 15:50:25 +1100	Antoine	4	0
2016-03-10 15:47:15 +1100	Oswyn	6	0
2016-06-02 09:23:08 +1000	Tim	1	0
2015-07-26 20:27:02 -0700	Richard	1	0
2015-07-26 20:25:55 -0700	Richard	4	0
2015-06-09 15:29:30 -0700	Richard	2	0
2015-06-09 15:15:10 -0700	Richard	11	0
2015-05-16 23:53:41 -0700	Richard	2	0
2015-05-16 23:51:00 -0700	Richard	1	0
2015-05-16 23:35:51 -0700	Richard	2	0
2015-05-16 22:57:39 -0700	Richard	2	0
2015-05-16 22:54:27 -0700	Richard	3	0
2015-05-16 14:47:38 -0700	Richard	8	0
2015-05-10 13:32:12 -0700	Richard	1	0
2015-05-10 13:30:06 -0700	Richard	1	0
2015-05-10 13:27:32 -0700	Richard	2	0
2015-04-26 15:56:09 -0700	Richard	2	0
2015-04-26 15:06:32 -0700	Richard	5	0
2015-04-24 10:00:31 -0700	Richard	1	1
2015-04-23 15:37:29 -0700	Richard	2	0
2015-04-23 15:35:31 -0700	Richard	1	0
2015-04-23 15:24:07 -0700	Richard	1	0
2015-04-23 15:12:24 -0700	Richard	1	0
2015-04-23 15:04:13 -0700	Richard	1	0
2015-04-23 15:02:56 -0700	Richard	8	1
2015-04-20 12:37:17 -0700	Richard	1	0
2015-04-20 12:36:22 -0700	Richard	2	0
2015-04-20 12:10:20 -0700	Richard	1	0
2015-04-20 12:06:39 -0700	Richard	1	0
2015-04-20 12:06:04 -0700	Richard	2	0
2015-04-20 11:16:37 -0700	Richard	10	0
2015-04-20 11:10:41 -0700	Richard	2	0
