Date	Author	NumAffectedFiles	Contains .sql
2017-01-30 22:16:48 +0100	Michael	1	0
2017-01-30 22:14:39 +0100	Michael	1	0
2017-01-30 22:13:41 +0100	Michael	9	0
2017-01-30 13:16:00 +0000	Geneller	1	0
2017-01-30 12:56:31 +0000	Geneller	1	0
2017-01-30 12:24:14 +0000	Geneller	4	0
2016-11-17 15:03:20 +0100	Felix	1	0
2016-10-26 17:49:37 +0200	Felix	1	0
2016-10-26 17:46:22 +0200	Felix	1	0
2016-10-26 17:42:31 +0200	Felix	11	0
2016-10-20 10:09:51 +0200	Wolfgang	1	0
2016-10-19 16:16:37 +0200	Wolfgang	1	0
2016-06-22 16:49:50 +0200	Michael	11	1
2016-06-06 13:06:10 +0200	Robert	8	0
2016-04-05 16:41:58 +0200	Dirk	4	0
2016-03-22 14:41:16 +0100	Michael	1	0
2016-03-21 15:05:54 +0100	Michael	1	0
2016-03-21 13:16:53 +0100	Dirk	1	0
2016-03-18 16:18:30 +0100	Robert	2	0
2016-03-18 15:22:48 +0100	Robert	2	0
2016-03-18 14:51:37 +0100	Robert	3	0
2016-03-18 14:44:48 +0100	Robert	5	0
2016-03-18 14:32:58 +0100	Robert	6	0
2016-03-18 14:32:23 +0100	Robert	1	0
2016-03-18 13:57:35 +0100	Robert	5	0
2016-03-02 14:23:40 +0100	Robert	6	1
2016-03-02 13:58:27 +0100	Robert	13	0
2016-03-02 13:26:34 +0100	Robert	1	0
2016-03-02 13:25:38 +0100	Robert	1	0
2016-03-02 13:22:06 +0100	Robert	1	0
