Date	Author	NumAffectedFiles	Contains .sql
2015-12-01 10:56:28 -0800	Colin	1	0
2015-10-22 10:53:26 -0700	Colin	1	0
2015-10-22 10:47:32 -0700	Colin	1	0
2015-10-22 17:05:43 +0000	Peter	1	0
2015-10-21 01:16:16 +0000	Peter	1	0
2015-10-05 17:50:28 -0400	Colin	1	0
2015-10-05 17:49:57 -0400	Colin	4	0
2015-10-05 17:49:07 -0400	Colin	1	0
2015-10-02 21:07:31 -0400	Colin	1	0
2015-10-02 17:42:48 -0700	Colin	1	0
2015-10-02 17:28:00 -0700	Colin	1	0
2015-09-30 22:38:18 -0700	Colin	1	0
2015-09-30 22:37:54 -0700	Colin	1	0
2015-09-22 23:12:08 -0700	Colin	1	0
2015-09-20 18:40:53 -0700	Colin	2	0
2015-09-20 18:40:08 -0700	Colin	3	0
2015-09-20 18:35:22 -0700	Colin	1	0
2015-09-20 14:48:57 -0700	Colin	3	0
2015-09-13 16:54:03 -0700	Colin	4	0
2015-09-12 18:59:50 -0700	Colin	7	1
2015-09-12 17:18:47 -0700	Nate	2	0
2015-09-06 21:44:44 -0700	Nate	1	0
2015-09-04 08:07:41 -0700	Nate	1	0
2015-09-04 09:50:56 -0700	Colin	1	0
2015-09-04 16:06:40 +0000	Nate	3	0
2015-09-04 00:34:30 +0000	Nate	3	0
2015-09-04 00:30:19 +0000	Nate	1	0
2015-09-03 23:59:07 +0000	Nate	2	1
2015-09-03 20:53:54 +0000	Nate	5	0
2015-09-03 20:36:55 +0000	Nate	4	0
2015-08-15 13:45:00 -0700	Colin	1	0
2015-08-15 13:35:38 -0700	Colin	1	1
2015-08-15 13:16:04 -0700	Colin	2	0
2015-08-15 13:15:46 -0700	Colin	2	0
2015-08-15 12:08:25 -0700	Colin	1	0
2015-08-15 12:06:23 -0700	Colin	6	1
2015-08-15 12:01:00 -0700	Colin	1	0
2015-08-15 11:51:03 -0700	Colin	3	0
2015-08-15 11:49:46 -0700	Colin	3	0
2015-08-15 10:25:47 -0700	Colin	2	0
2015-08-15 09:49:51 -0700	Colin	1	0
2015-08-15 09:48:34 -0700	Colin	2	0
2015-08-13 17:35:57 -0700	Colin	1	0
2015-08-13 17:35:16 -0700	Colin	6	1
2015-08-13 17:34:46 -0700	Colin	3	0
2015-08-13 17:33:29 -0700	Colin	3	0
2015-08-05 22:09:53 -0700	Colin	1	0
2015-08-05 21:30:07 -0700	Colin	1	0
2015-08-05 21:22:51 -0700	Colin	1	0
2015-08-05 21:17:10 -0700	Colin	3	0
2015-08-05 21:08:48 -0700	Colin	1	0
2015-08-05 21:08:09 -0700	Colin	2	0
2015-08-05 21:03:58 -0700	Colin	3	0
2015-08-05 20:51:34 -0700	Colin	5	0
2015-08-05 20:49:39 -0700	Colin	7	1
2015-08-01 15:40:45 -0700	Colin	15	1
2015-07-30 19:42:55 -0700	Colin	1	0
