Date	Author	NumAffectedFiles	Contains .sql
2015-05-09 17:50:06 -0300	Fabrício	7	0
2015-05-08 17:40:52 -0300	Fabrício	1	0
2015-05-03 17:05:24 -0300	Fabrício	1	0
2015-04-29 01:26:38 -0300	Fabrício	3	0
2015-04-23 04:33:18 -0300	Fabrício	3	0
2015-04-21 18:24:00 -0300	Fabrício	1	0
2015-04-15 18:50:06 -0300	Fabrício	2	0
2015-04-12 23:08:53 -0300	Fabrício	6	0
2015-03-29 00:17:28 -0300	Fabrício	3	0
2015-03-28 21:13:59 -0300	Fabrício	5	0
2015-03-28 21:01:21 -0300	Fabrício	5	0
2015-03-28 18:37:51 -0300	Fabrício	7	0
2015-03-06 00:56:00 -0300	Fabrício	3	0
2015-03-05 01:58:29 -0300	Fabrício	5	0
2015-03-02 23:15:50 -0300	Fabrício	8	0
2015-03-02 02:01:15 -0300	Fabrício	3	0
2015-03-02 01:45:28 -0300	Fabrício	8	0
2015-02-24 03:28:49 -0300	Fabrício	8	0
2015-02-18 01:40:15 -0200	Fabrício	18	0
2015-01-31 02:34:37 -0200	Fabrício	9	0
2015-01-30 23:19:04 -0200	Fabrício	4	0
2015-01-26 23:56:00 -0200	Fabrício	6	0
2015-01-30 18:31:03 -0200	Fabrício	7	0
2015-01-30 11:46:09 -0200	Fabrício	6	0
2015-01-29 19:01:04 -0200	Fabrício	1	0
2015-01-29 18:46:54 -0200	Fabrício	14	0
2015-01-26 18:00:02 -0200	Fabrício	7	1
2015-01-26 14:31:39 -0200	Fabrício	4	1
2015-01-26 14:15:45 -0200	Fabrício	8	1
2015-01-26 14:04:21 -0200	Fabrício	3	0
2015-01-26 03:01:21 -0200	Fabrício	3	0
2015-01-26 02:55:55 -0200	Fabrício	49	0
2015-01-25 23:25:58 -0200	Fabrício	4	0
2015-01-24 16:47:04 -0200	Fabrício	65	0
2014-07-10 18:48:24 -0300	Fabrício	1	0
2014-05-27 19:46:40 -0300	Fabrício	4	0
2014-05-27 11:12:08 -0300	Rafael	1	0
2014-05-26 18:25:02 -0300	Rafael	27	0
2014-05-26 18:02:02 -0300	Fabrício	4	0
2014-05-26 17:22:25 -0300	Fabrício	19	0
2014-05-26 11:04:36 -0300	Fabrício	2	0
2014-05-24 19:55:46 -0300	Fabrício	3	0
2014-05-23 19:20:02 -0300	Fabrício	3	0
2014-05-23 18:31:09 -0300	Fabrício	24	0
2014-05-23 10:29:01 -0300	Fabrício	16	0
2014-05-22 11:39:49 -0300	Fabrício	3	1
2014-05-22 01:53:28 -0300	Fabrício	1	0
2014-05-22 01:38:58 -0300	Fabrício	1	0
2014-05-22 00:42:07 -0300	Fabrício	3	0
2014-05-21 18:59:00 -0300	Fabrício	1	0
2014-05-21 16:55:45 -0300	Fabrício	5	1
2014-05-21 16:34:48 -0300	Fabrício	4	0
2014-05-21 12:11:58 -0300	Fabrício	2	0
2014-05-21 12:11:24 -0300	Fabrício	9	0
2014-05-21 00:43:02 -0300	Fabrício	26	0
2014-05-20 19:11:42 -0300	Fabrício	4	0
2014-05-20 17:44:59 -0300	Fabrício	2	0
2014-05-20 17:43:23 -0300	Fabrício	1	0
2014-05-20 16:38:37 -0300	Fabrício	3	1
2014-05-20 16:15:11 -0300	Fabrício	4	2
2014-05-20 13:31:38 -0300	Fabrício	2	0
2014-05-20 12:38:11 -0300	Fabrício	19	0
2014-05-20 11:59:18 -0300	Fabrício	35	0
2014-05-19 18:26:35 -0300	Fabrício	6	0
2014-05-19 18:25:09 -0300	Fabrício	3	1
2014-05-19 14:54:20 -0300	Fabrício	7	0
2014-05-19 11:10:33 -0300	Fabrício	3	1
2014-05-16 18:38:14 -0300	Fabrício	19	0
2014-05-15 16:53:22 -0300	Fabrício	4	0
2014-04-30 19:35:01 -0300	Fabrício	2	0
2014-04-30 18:20:47 -0300	Fabrício	2	1
2014-04-30 18:15:42 -0300	Fabrício	4	2
2014-04-30 17:01:49 -0300	Fabrício	4	2
2014-04-30 11:44:08 -0300	Fabrício	3	1
2014-04-29 18:36:14 -0300	Fabrício	3	1
2014-04-29 13:50:11 -0700	Fabrício	2	0
