Date	Author	NumAffectedFiles	Contains .sql
2019-05-25 22:37:44 -0700	Rob	1	0
2019-05-25 22:18:47 -0700	Rob	1	0
2019-05-25 22:01:59 -0700	Rob	1	0
2019-05-25 22:01:22 -0700	Rob	1	0
2019-05-22 23:34:16 -0700	Rob	1	0
2019-05-22 23:32:32 -0700	Rob	5	0
2019-05-22 18:18:03 -0700	Rob	1	0
2019-05-22 17:15:21 -0700	Rob	27	0
2019-05-08 16:49:03 -0400	Rob	1	0
2019-05-07 18:36:36 -0400	Rob	1	0
2019-05-07 13:18:17 -0400	Rob	1	0
2019-05-07 10:54:37 -0400	Rob	1	0
2019-05-07 10:28:01 -0400	Rob	1	0
2019-05-07 10:27:51 -0400	Rob	1	0
2019-05-06 21:31:27 -0700	Christopher	1	0
2019-05-06 21:14:20 -0700	Christopher	1	0
2019-05-06 21:03:17 -0700	Christopher	1	0
2019-05-06 21:00:58 -0700	Christopher	1	0
2019-05-06 20:53:24 -0700	Christopher	1	0
2019-05-06 20:43:15 -0700	Christopher	1	0
2019-05-06 20:40:42 -0700	Christopher	1	0
2019-05-06 20:34:50 -0700	Christopher	2	0
2019-05-06 19:43:34 -0400	Rob	1	0
2019-05-06 18:55:02 -0400	Rob	1	0
2019-04-19 22:33:09 -0700	Rob	8	0
2019-04-19 22:28:17 -0700	Rob	5	0
2019-04-19 22:07:24 -0700	Rob	1	0
2019-04-19 22:04:58 -0700	Rob	1	0
2019-04-18 14:04:41 -0700	Rob	2	0
2019-04-08 16:41:35 -0700	Rob	2	0
2019-04-04 09:38:26 -0400	Rob	1	0
2019-04-04 09:14:29 -0400	Rob	1	0
2019-04-03 22:31:28 -0400	Rob	1	0
2019-04-03 22:30:35 -0400	Rob	1	0
2019-04-03 22:29:23 -0400	Rob	3	0
2019-04-03 22:22:02 -0400	Rob	5	0
2019-05-06 01:16:28 -0400	Rob	2	0
2019-05-04 17:44:39 +0100	Ben	1	0
2019-04-29 05:52:14 +0300	Vladimir	2	0
2019-04-28 13:26:21 +0200	Scala	1	0
2019-04-27 21:21:29 +0200	Scala	1	0
2019-04-27 21:21:23 +0200	Scala	1	0
2019-04-26 14:39:18 +0700	LMnet	1	0
2019-04-25 14:37:21 -0700	Rob	1	0
2019-04-20 08:56:46 -0700	Rob	1	0
2019-04-20 08:45:29 -0700	Rob	1	0
