Date	Author	NumAffectedFiles	Contains .sql
2015-02	Philip,Clive,firemanphil	1425	0
2015-03	Clive,Gurminder,Philip,ahousley	267	4
2015-04	Clive,Philip,Gurminder,The	900	2
2015-05	Gurminder,Clive,Philip	283	0
2015-06	Philip,Clive,Gurminder,Alex	200	0
2015-07	Clive,Gurminder	92	0
2015-08	Clive,Gurminder	144	0
2015-09	Clive,Gurminder,Ubuntu	124	0
2015-10	Clive,Gurminder	146	0
2015-11	Clive,Gurminder	304	0
2015-12	Clive,Gurminder	150	2
2016-01	Clive,Gurminder	113	0
2016-02	Gurminder,Clive	106	1
2016-03	Clive,Gurminder	152	2
2016-04	Gurminder,Clive,Ubuntu	366	0
2016-05	Gurminder,Clive	348	0
2016-06	Gurminder,Clive	132	0
2016-07	Clive,Gurminder	91	1
2016-08	Maxime,Gurminder,Clive	110	0
2016-09	Clive,giovannivacanti,Gurminder,Ubuntu,Maxime	107	1
2016-10	Clive,Gurminder,giovannivacanti	167	0
2016-11	Clive,Gurminder	104	0
2016-12	Clive	27	0
2017-01	Gurminder,Clive	5	0
2017-02	giovannivacanti	11	0
2017-03	giovannivacanti,Clive	47	0
2017-04	Clive,giovannivacanti	96	3
2017-05	Gurminder,Clive,seldon,Alex	65	0
2017-06	Clive,Seldon	67	0
2017-09	Ilya	1	0
2017-10	Gurminder,Clive	38	0
2018-01	Clive,Gurminder	2	0
2018-05	sezinkarli	1	0
2018-07	Clive	1	0
