Date	Author	NumAffectedFiles	Contains .sql
2012-11	Marian,marianr	8	0
2013-04	Marian	5	1
2013-05	Marian	3	0
2013-07	Peter	4	0
2014-03	Nicolas	10	0
2014-04	Nicolas,Matteo	11	0
2014-05	Nicolas	12	0
2014-07	david-cahill,Nicolas	9	0
2014-08	Nicolas,cristik	3	0
2014-12	Max,Nicolas,cristik	5	0
2015-01	Nicolas	6	0
2015-03	Nicolas	2	0
2015-04	cristian,Nicolas	8	0
2015-07	iantocristian	8	1
2015-09	Damian,Michele	7	0
2015-12	malex,Mircea,Christian	65	4
2016-01	AdrieanKhisbe	12	0
2016-02	Mihai	25	0
2016-03	Mihai	28	2
2016-04	Mihai,Shane,malex,Hiro	32	1
2016-05	Shane,Mihai	12	0
2016-06	Mihai,greenkeeperio-bot	4	0
2016-07	Mihai,greenkeeperio-bot	8	0
2016-08	Emer,Mihai,Shane	15	0
2016-09	Emer	1	0
