Date	Author	NumAffectedFiles	Contains .sql
2006-03	Geoffrey,Ryan	38	0
2006-04	Ryan,Geoffrey	68	0
2006-05	Geoffrey,Ryan	77	0
2006-06	Ryan,Geoffrey	19	0
2006-07	Geoffrey,Ryan	45	0
2006-08	Ryan,Geoffrey	70	0
2006-09	Geoffrey,Ryan	136	0
2006-10	Geoffrey,Ryan	180	0
2006-11	Geoffrey,Ryan	84	0
2006-12	Geoffrey,Ryan	82	0
2007-01	Geoffrey,Ryan	744	0
2007-02	Geoffrey	30	0
2007-03	Ryan,Geoffrey	1956	0
2007-04	Geoffrey,Ryan	968	0
2007-05	Geoffrey,Ryan	654	0
2007-06	Geoffrey,Ryan	105	0
2007-07	Ryan,Geoffrey	38	0
2007-08	Geoffrey	200	0
2007-09	Geoffrey,Ryan	12	0
2007-10	Ryan	1	0
2007-11	Geoffrey	5	0
2007-12	Geoffrey,Ryan	18	0
2008-01	Steve,Geoffrey,Ryan	27	1
2008-02	Geoffrey	7	0
2008-03	Ryan,Geoffrey	10	0
2008-04	Geoffrey,Ryan	3	0
2008-05	Ryan,Geoffrey	9	0
2008-06	Geoffrey	3	0
2008-08	Michael,Geoffrey	2	0
2008-09	Ryan,Michael	6	0
2008-10	Geoffrey,Ryan	5	0
2008-11	Ryan,Geoffrey,SimplePie	10	0
2008-12	Geoffrey,Ryan	4	0
2009-01	Geoffrey	1	0
2009-02	Geoffrey	3	0
2009-04	Ryan,Geoffrey	3	0
2009-05	Geoffrey	1	0
2009-06	Geoffrey,Ryan	24	0
2009-07	Geoffrey	2	0
2009-09	Ryan	3	0
2009-10	Ryan	1	0
2009-11	Ryan,Alex	4	0
2009-12	Ryan	16	0
2010-01	Geoffrey,Ryan	17	0
2010-02	Geoffrey,Ryan	13	0
2010-04	rmccue,Ryan	4	0
2010-05	Ryan	1	0
2010-06	Ryan	1	0
2010-07	Drak,Ryan	81	0
2010-08	Geoffrey	849	0
2010-09	Ryan	1	0
2010-10	Ryan,Drak	12	0
2010-12	Ryan	18	0
2011-01	Ryan	14	0
2011-02	Ryan	1	0
2011-03	Ryan,Vasken	10	0
2011-04	Ryan	18	0
2011-06	Ryan	2	0
2011-07	Matt,Ryan	5	0
2011-08	holdensmagicalunicorn	1	0
2011-09	root,Matt,Ryan	26	0
2011-11	Ryan	10	0
2012-01	Ryan,webchickenator,David	181	0
2012-03	Phill	1	0
2012-06	Ryan,hakre	46	0
2012-07	Diego,Ryan	216	0
2012-08	Diego,Mal	2	0
2012-10	Ryan	27	0
2012-11	Ryan	3	0
2012-12	Ryan,Kailey	6	0
2013-01	Remi	1	0
2013-03	Jan,gosa,devlinjunker	9	0
2013-04	Jager,Rasmus,Robin,Kevin	6	0
2013-06	Diego	1	1
2013-08	Jan	1	0
2013-09	Mike	2	0
2013-10	Josh	1	0
2013-11	Diego	1	0
2014-01	Bernhard,empiricompany	2	0
2014-02	blat,Alexandre,Diego,Malcolm,Bernhard	12	0
2014-03	Malcolm	6	0
2014-04	Mike	1	0
2014-07	Tobias	1	0
2014-08	GoWordPress	1	0
2014-09	blat,Hubbitus	3	0
2014-10	Barbuslex	1	0
2014-12	Malcolm	1	0
2015-01	Paul,Lex	12	0
2015-03	Barry	1	0
2015-04	André,Alexandre	14	0
2015-05	Graham,Alayn,Gary	4	0
2015-07	Malcolm	6	0
2015-09	blat	1	0
2015-10	Malcolm	3	0
2015-12	Brad	1	0
2016-01	Jan,Malcolm	5	0
2016-02	Malcolm,John	9	0
2016-03	Diego,Malcolm,BassemN,Alexandre	10	1
2016-04	Malcolm,Jan-Petter	51	0
2016-05	Nino	1	0
2016-06	Malcolm	12	0
2016-07	Presskopp,Remi	4	0
2016-08	Alexandre,Jan-Petter,JanPetterMG	11	0
2016-10	Malcolm	2	0
2016-11	Malcolm,JanPetterMG,Jan-Petter,Molayli,Walt	23	0
2017-02	Kevin	1	0
2017-04	Johan,Malcolm,Jan-Petter,Klaus	6	0
2017-06	Abhishek	1	0
2017-07	Malcolm,Jan-Petter	4	0
2017-08	Hardeep,Malcolm	4	0
2017-09	Presskopp	1	0
2017-11	Sean,Malcolm,Dennis	6	0
2017-12	Gabriel,Derek	37	0
2018-01	Gabriel,Jan-Petter	4	0
2018-03	Malcolm	1	0
2018-04	peter279k	10	0
2018-05	abhijitrakas	2	0
2018-07	Jan-Petter,pierrocknroll	2	0
2018-08	Malcolm	1	0
2019-02	Max,Caleb	2	0
