Date	Author	NumAffectedFiles	Contains .sql
2019-02-15 08:33:57 +0100	Zdeněk	1	0
2019-02-15 08:32:50 +0100	Zdeněk	1	0
2018-12-06 08:51:05 +0100	Zdeněk	1	0
2018-12-06 08:31:28 +0100	Zdeněk	1	0
2018-12-06 08:24:16 +0100	Zdeněk	1	0
2018-12-06 08:23:36 +0100	Zdeněk	1	0
2018-12-06 08:17:05 +0100	Zdeněk	1	0
2018-12-06 08:16:38 +0100	Zdeněk	1	0
2018-12-06 08:15:11 +0100	Zdeněk	1	0
2018-12-06 08:05:31 +0100	Zdeněk	1	0
2018-12-06 08:04:58 +0100	Zdeněk	1	0
2018-09-19 08:52:19 +0200	Zdeněk	1	0
2018-08-02 10:49:15 +0200	accgit	1	0
2018-08-02 09:23:23 +0200	accgit	4	0
2018-07-27 14:50:20 +0200	Zdeněk	1	1
2018-07-27 14:16:25 +0200	Zdeněk	1	0
2018-07-27 14:09:15 +0200	Zdeněk	1	0
2018-07-27 14:07:56 +0200	Zdeněk	1	0
2018-07-27 14:06:43 +0200	Zdeněk	1	0
2018-07-27 14:04:13 +0200	Zdeněk	1	0
2018-07-27 12:50:28 +0200	Zdeněk	1	0
2018-07-27 12:49:20 +0200	Zdeněk	1	0
2018-07-27 12:07:35 +0200	accgit	10	0
2018-07-20 12:11:01 +0200	accgit	3	0
2018-07-20 11:50:11 +0200	accgit	4	0
2018-07-20 10:42:41 +0200	accgit	3	0
2018-07-20 10:08:54 +0200	accgit	4	0
2018-07-20 08:06:17 +0200	accgit	2	0
2018-07-20 08:04:13 +0200	accgit	6	0
2018-07-19 13:04:38 +0200	accgit	12	0
2018-07-19 11:00:40 +0200	accgit	2	0
2018-07-18 12:33:17 +0200	accgit	5	0
2018-07-18 08:26:49 +0200	accgit	3	0
2018-07-16 13:38:53 +0200	accgit	1	0
2018-07-16 12:55:38 +0200	accgit	1	0
2018-07-16 12:31:29 +0200	accgit	9	0
2018-06-26 09:22:02 +0200	accgit	7	0
2018-06-25 13:55:06 +0200	accgit	5	0
2018-06-25 10:46:59 +0200	accgit	1	0
2018-06-25 09:06:41 +0200	accgit	1	0
2018-06-25 09:06:00 +0200	accgit	2	0
2018-05-31 08:52:41 +0200	Zdeněk	1	0
2018-05-31 08:49:51 +0200	Zdeněk	1	0
2018-05-31 08:20:25 +0200	accgit	12	0
2018-05-29 11:58:06 +0200	Zdeněk	1	0
