Date	Author	NumAffectedFiles	Contains .sql
2013-05-09 16:53:19 -0700	David	1	0
2013-05-09 16:32:08 -0700	David	1	0
2013-05-09 16:26:23 -0700	David	2	0
2013-05-09 15:48:27 -0700	David	1	0
2013-04-17 14:03:22 -0700	David	1	0
2013-04-17 13:58:49 -0700	David	2	0
2013-04-17 13:56:30 -0700	David	1	0
2013-04-17 13:53:46 -0700	David	1	0
2013-03-21 21:07:19 -0700	David	2	0
2013-03-21 21:05:06 -0700	David	2	0
2013-03-21 19:26:36 -0700	David	1	0
2013-03-19 04:56:35 -0700	David	2	0
2013-03-19 04:53:07 -0700	David	1	0
2013-03-16 22:16:00 -0700	David	2	0
2013-03-16 22:14:46 -0700	David	4	0
2013-03-09 16:52:27 -0800	David	2	0
2013-03-09 16:50:36 -0800	David	5	0
2013-03-01 17:57:54 -0800	David	2	0
2013-03-01 17:51:09 -0800	David	1	0
2013-02-25 05:35:40 -0800	David	12	1
2013-02-14 13:49:14 -0800	David	2	0
2013-02-14 13:46:41 -0800	David	12	1
2013-02-14 13:35:41 -0800	David	1	0
2013-02-11 13:51:03 -0800	David	1	0
2013-02-11 13:18:33 -0800	David	1	0
2012-11-22 10:59:47 -0800	David	1	0
2012-11-22 10:58:47 -0800	David	1	0
2012-11-22 08:10:35 -0800	David	1	0
2012-11-18 03:11:23 -0800	David	2	0
2012-11-17 16:24:31 -0800	David	1	0
2012-11-17 16:03:05 -0800	David	1	0
2012-11-17 15:57:37 -0800	David	1	0
2012-11-17 15:56:33 -0800	David	1	0
2012-11-15 13:09:55 -0800	David	2	0
2012-11-15 13:09:01 -0800	David	1	0
2012-11-07 17:15:13 -0800	David	1	0
2012-11-06 18:10:47 -0800	David	2	0
2012-11-06 18:07:47 -0800	David	1	0
2012-11-06 18:04:42 -0800	David	1	0
2012-10-04 19:42:40 -0700	David	4	0
2012-10-03 22:55:08 -0700	David	1	0
2012-10-03 22:53:27 -0700	David	1	0
2012-10-03 22:47:13 -0700	David	6	0
2012-10-03 13:39:19 -0700	David	3	0
2012-10-03 12:42:28 -0700	David	2	0
2012-08-31 12:55:11 -0700	David	1	0
2012-08-31 12:49:31 -0700	David	2	0
2012-08-31 12:48:22 -0700	David	1	0
2012-08-16 20:15:43 -0700	David	3	0
2012-08-16 19:02:25 -0700	David	2	0
2012-08-16 15:28:52 -0700	David	4	0
2012-08-08 18:48:30 -0700	David	1	0
2012-08-08 18:27:31 -0700	David	3	0
2012-08-08 18:13:11 -0700	David	1	0
2012-08-08 17:56:24 -0700	David	4	0
2012-08-08 17:11:45 -0700	David	2	0
2012-07-31 22:04:34 -0700	David	1	0
2012-07-31 15:55:48 -0700	David	2	0
2012-07-31 15:54:26 -0700	David	1	0
2012-07-29 22:35:38 -0700	David	10	1
2012-07-22 17:32:11 -0700	David	1	0
2012-07-22 15:38:28 -0700	David	4	0
2012-07-22 15:35:14 -0700	David	3	0
2012-07-22 15:28:42 -0700	David	1	0
2012-07-22 12:02:53 -0700	David	1	0
2012-07-22 11:56:22 -0700	David	4	0
2012-07-22 11:34:37 -0700	David	11	0
2012-07-22 02:42:15 -0700	David	9	0
2012-07-22 01:12:42 -0700	David	10	0
2012-07-20 15:12:23 -0700	Tyler	1	0
2012-07-16 09:57:56 -0600	dallas	1	0
2012-07-14 06:11:42 -0700	David	1	0
2012-07-14 04:52:03 -0700	David	1	0
2012-07-14 04:45:08 -0700	David	1	0
2012-07-14 00:28:39 -0700	David	35	1
2012-07-12 09:11:27 -0700	David	1	0
2012-05-24 22:01:23 -0700	David	6	0
2012-05-16 12:37:04 -0700	David	1	0
2012-05-16 10:22:10 -0700	David	1	0
2012-05-16 10:19:35 -0700	David	8	0
2012-05-16 10:17:47 -0700	David	10	0
2012-05-14 08:31:13 -0700	David	1	0
2012-05-14 00:26:06 -0700	David	4	0
2012-05-10 22:15:38 -0700	David	1	0
2012-05-10 21:32:55 -0700	David	1	0
2012-05-09 21:15:40 -0700	Tyler	1	0
2012-05-09 20:40:39 -0700	Tyler	2	0
2012-05-09 19:55:52 -0700	Tyler	1	0
2012-05-09 19:21:07 -0700	Tyler	1	0
2012-05-10 11:06:26 -0700	David	2	0
2012-05-10 11:06:26 -0700	David	2	0
2012-05-10 10:52:04 -0700	David	1	0
2012-05-10 10:48:10 -0700	David	1	0
2012-05-10 10:44:58 -0700	David	1	0
2012-05-09 19:22:52 -0700	David	1	0
2012-05-09 13:24:11 -0700	David	1	0
2012-05-09 11:55:05 -0700	David	1	0
2012-05-09 11:30:06 -0700	David	1	0
2012-05-09 11:24:00 -0700	David	1	0
2012-05-09 09:58:56 -0700	David	1	0
2012-05-09 09:46:21 -0700	David	1	0
2012-05-09 09:34:00 -0700	David	72	0
