Date	Author	NumAffectedFiles	Contains .sql
2017-05-12 14:39:55 +0300	Ilya	1	0
2016-02-01 13:39:19 +0300	Anton	5	0
2016-01-06 14:18:14 +0300	Anton	1	0
2015-12-28 17:59:14 +0300	nanson	1	0
2015-12-28 17:52:59 +0300	nanson	1	0
2015-12-28 12:04:50 +0300	Anton	1	0
2015-12-28 11:31:12 +0300	Anton	1	0
2015-12-11 11:56:34 +0300	Anton	1	0
2015-12-11 11:47:27 +0300	Anton	5	0
2015-11-29 22:59:42 +0300	nanson	1	0
2015-11-29 22:47:02 +0300	nanson	39	0
2015-11-28 15:09:49 +0300	nanson	1	0
2015-10-29 19:44:54 +0300	Anton	2	0
2015-10-21 11:31:51 +0300	Anton	3	0
2015-10-21 11:15:31 +0300	Anton	6	0
2015-10-21 10:53:36 +0300	Anton	2	0
2015-10-21 10:47:57 +0300	Anton	1	0
2015-10-20 23:31:17 +0300	Anton	2	0
2015-10-20 23:21:54 +0300	Anton	4	0
2015-10-02 16:30:41 +0300	Anton	2	0
2015-09-29 16:59:31 +0300	Anton	1	0
2015-09-28 15:35:53 +0300	nanson	2	0
2015-09-18 13:12:06 +0300	Anton	1	0
2015-09-18 11:43:12 +0300	Anton	2	0
2015-09-17 13:49:08 +0300	Anton	1	0
2015-09-09 14:48:29 +0300	nanson	1	0
2015-09-09 13:48:39 +0300	nanson	1	0
2015-09-07 17:12:42 +0300	Anton	2	0
2015-08-27 13:26:27 +0300	Andrey	1	0
2015-08-27 13:08:56 +0300	Andrey	1	0
2015-08-24 10:48:06 +0300	Anton	3	0
2015-08-19 13:54:25 +0300	Anton	5	0
2015-08-19 11:03:58 +0300	Andrey	1	0
2015-08-19 10:51:18 +0300	Andrey	1	0
2015-08-19 10:15:17 +0300	Andrey	1	0
2015-08-19 10:13:58 +0300	Andrey	1	0
2015-08-19 10:09:52 +0300	Andrey	1	0
2015-08-19 10:07:15 +0300	Andrey	1	0
2015-08-18 13:13:49 +0300	Anton	2	0
2015-08-18 13:11:25 +0300	Anton	2	0
2015-08-18 12:48:26 +0300	Anton	2	0
2015-08-17 18:02:08 +0300	Anton	1	0
2015-08-17 16:53:09 +0300	Anton	4	0
2015-08-11 10:26:31 +0300	nanson	2	0
2015-08-10 12:40:17 +0300	Anton	2	0
2015-08-06 17:57:23 +0300	nanson	1	0
2015-08-05 09:12:56 +0300	nanson	1	0
2015-08-04 12:08:29 +0300	nanson	1	0
2015-07-17 13:55:10 +0300	Anton	3	0
2015-07-14 12:42:49 +0300	nanson	1	0
2015-07-14 12:16:13 +0300	nanson	1	0
2015-07-14 12:15:26 +0300	nanson	1	0
2015-07-10 17:39:52 +0300	Anton	1	0
2015-07-10 15:40:12 +0300	Anton	3	0
2015-07-02 17:58:38 +0300	Anton	1	0
2015-07-01 13:48:16 +0300	Anton	1	0
2015-06-29 10:09:35 +0300	Anton	1	0
2015-06-26 16:16:13 +0300	nanson	3	0
2015-06-16 12:13:15 +0300	Anton	9	0
2015-06-16 09:24:53 +0300	Anton	1	0
2015-06-15 13:23:13 +0300	Anton	1	0
2015-06-15 12:58:47 +0300	Anton	1	0
2015-06-15 12:08:54 +0300	Anton	1	0
2015-06-15 11:46:49 +0300	Anton	1	0
2015-06-15 11:32:03 +0300	Anton	1	0
2015-06-15 10:57:08 +0300	Anton	1	0
2015-06-11 13:00:06 +0300	Anton	1	0
2015-05-25 12:15:13 +0300	Anton	2	0
2015-05-22 16:33:03 +0300	Anton	4	0
2015-05-22 11:04:13 +0300	Anton	4	0
2015-05-21 10:03:12 +0300	Anton	1	0
2015-05-20 19:37:06 +0300	Anton	2	0
2015-05-20 14:10:34 +0300	Anton	1	0
2015-05-20 12:35:11 +0300	Anton	1	0
2015-05-19 13:42:20 +0300	Anton	2	0
2015-05-18 16:02:33 +0300	Anton	1	1
