Date	Author	NumAffectedFiles	Contains .sql
2013-12	Terry.Mao,thinkboy	134	0
2014-01	Terry.Mao,thinkboy	388	0
2014-02	thinkboy,Terry.Mao	72	0
2014-03	Terry.Mao,thinkboy,steven	328	0
2014-04	Terry.Mao,thinkboy	234	2
2014-05	thinkboy,Terry.Mao	33	1
2014-06	thinkboy,guanguan241,Terry.Mao	47	0
2014-08	thinkboy,Terry.Mao	61	0
2014-09	thinkboy,Terry.Mao	196	0
2014-10	thinkboy	11	0
2014-12	thinkboy	5	0
2015-01	thinkboy	3	0
2015-09	luicfer	2	0
2016-01	Zhangjd	1	0
2016-06	Rebill	35	0
2016-08	roc	1	0
2016-12	罗晓�?	1	0
2017-04	robertzhouxh	6	0
