Date	Author	NumAffectedFiles	Contains .sql
2009-09	tstack	139	0
2009-10	Timothy	71	0
2009-11	Timothy,tstack	14	0
2009-12	tstack	14	0
2010-01	tstack,Timothy	44	0
2010-02	tstack,Timothy	44	0
2010-03	Timothy,tstack	4	0
2010-04	Timothy	20	0
2010-08	tstack,Timothy	15	0
2010-10	Timothy	1	0
2010-11	tstack,Tim	18	0
2010-12	Tim	7	0
2011-05	Tim,Timothy	24	0
2011-06	Timothy	105	0
2011-07	Timothy	39	0
2011-08	Tim	4	0
2011-10	Timothy	2	0
2011-11	Suresh	1	0
2012-04	Timothy	72	0
2012-05	Timothy	9	0
2012-06	Timothy	28	0
2012-07	Timothy	22	0
2012-08	Timothy	1	0
2012-09	Timothy	20	0
2012-10	Timothy	10	0
2012-11	Timothy	6	0
2013-01	Timothy	6	0
2013-04	Timothy	59	0
2013-05	Timothy,Matt	326	0
2013-06	Timothy,Vagrant	461	2
2013-07	Timothy,Vagrant	181	0
2013-08	Tim,Timothy	56	0
2013-09	Timothy	57	0
2013-10	Timothy	62	0
2013-11	Timothy	43	0
2014-01	Timothy	63	0
2014-02	Timothy,Suresh	153	0
2014-03	Timothy	381	0
2014-04	Timothy,Salvatore	62	0
2014-05	Timothy	47	0
2014-06	Timothy	31	0
2014-07	Timothy	5	0
2014-09	Tim,Timothy	28	0
2014-10	Timothy	106	0
2014-11	Timothy,Pablo,Suresh	110	0
2014-12	Timothy	7	0
2015-01	Timothy	2	0
2015-02	Timothy	13	0
2015-03	Timothy,Suresh	267	0
2015-04	Suresh,Timothy,androm3da	295	4
2015-05	Suresh,Timothy,Paul	39	0
2015-06	Suresh,Timothy	34	0
2015-07	Timothy	131	0
2015-08	Timothy	201	0
2015-09	Timothy,Suresh	88	0
2015-10	Timothy,Suresh	25	0
2015-11	Timothy	65	2
2015-12	Timothy	155	0
2016-01	Timothy	32	0
2016-02	Timothy,Geoff,Justin	15	0
2016-03	Timothy	272	0
2016-04	Timothy,Suresh	115	0
2016-05	saaguero,Timothy,Suresh	54	0
2016-06	Tim	1	0
2016-07	Suresh,Timothy,Eli	19	0
2016-08	Timothy	59	0
2016-10	Timothy,Jan	43	0
2016-11	Adam,Timothy,Victor	78	0
2016-12	Tim,Timothy,Adam	77	0
2017-01	Timothy	21	0
2017-02	Timothy	32	0
2017-03	Timothy,Benny	228	1
2017-04	Timothy,Adam	296	2
2017-05	Thomas,Timothy,michael-bouvy	3	0
2017-07	Timothy	2	0
2017-08	Timothy	10	0
2017-09	Kevin	4	0
2017-10	Suresh,Timothy	24	0
2017-11	Timothy	3	0
2017-12	Timothy,Medina	55	0
2018-01	Timothy	10	0
2018-02	Terror,Timothy	14	0
2018-03	Timothy,Phil	78	0
2018-04	Nicolas,Timothy,Emiliano	61	0
2018-05	Timothy	184	0
2018-06	Simos,Timothy	14	0
2018-07	Timothy	13	0
2018-08	Timothy,Tristan	71	0
2018-09	Timothy	35	0
2018-10	Timothy,Benny	155	0
2018-11	Timothy	128	0
2018-12	Timothy	52	0
2019-01	Timothy	72	0
2019-02	Timothy	80	0
2019-03	Matt,Timothy	73	0
2019-04	Timothy	12	0
2019-05	Timothy	264	0
