Date	Author	NumAffectedFiles	Contains .sql
2016-02-17 14:46:29 +0200	Shamray	1	1
2016-02-17 14:46:15 +0200	Shamray	1	0
2016-02-17 13:53:53 +0200	Shamray	1	1
2015-05-21 23:01:09 +0300	imsamurai	1	0
2015-05-21 23:00:49 +0300	imsamurai	1	0
2015-04-06 11:40:34 +0300	imsamurai	1	0
2015-04-06 11:40:08 +0300	imsamurai	1	0
2015-02-11 14:34:34 +0200	imsamurai	1	1
2015-02-05 12:43:47 +0200	spv	1	0
2015-02-05 12:23:10 +0200	spv	2	0
2015-02-05 11:22:52 +0200	spv	3	0
2015-02-03 16:52:43 +0200	imsamurai	1	0
2015-02-03 15:54:33 +0200	imsamurai	1	0
2015-02-03 15:44:19 +0200	imsamurai	2	0
2014-12-18 09:22:09 -0600	evgeny	1	0
2014-12-18 09:00:47 -0600	evgeny	1	0
2014-12-18 14:16:39 +0200	imsamurai	1	0
2014-12-18 13:58:32 +0200	imsamurai	1	0
2014-12-18 13:51:26 +0200	imsamurai	2	0
2014-12-16 13:52:53 +0200	imsamurai	1	0
2014-12-16 13:13:22 +0200	imsamurai	3	0
2014-12-03 16:12:44 +0200	imsamurai	1	0
2014-12-03 16:12:33 +0200	imsamurai	1	0
2014-12-03 13:58:54 +0200	imsamurai	1	0
2014-12-03 13:58:41 +0200	imsamurai	1	0
2014-12-02 14:09:45 +0200	imsamurai	1	0
2014-12-02 13:52:27 +0200	imsamurai	1	0
2014-12-02 13:19:37 +0200	imsamurai	2	0
2014-10-06 19:25:20 +0300	imsamurai	1	0
2014-10-06 18:58:38 +0300	imsamurai	1	0
2014-10-06 18:48:36 +0300	imsamurai	2	0
2014-10-06 18:39:20 +0300	imsamurai	4	0
2014-10-06 17:09:38 +0300	imsamurai	2	0
2014-09-19 14:23:25 +0300	imsamurai	1	0
2014-09-19 14:23:10 +0300	imsamurai	1	0
2014-09-19 14:05:10 +0300	imsamurai	1	0
2014-09-19 14:04:22 +0300	imsamurai	3	0
2014-09-17 19:32:35 +0300	imsamurai	1	0
2014-09-17 19:32:16 +0300	imsamurai	1	0
2014-09-17 18:17:00 +0300	imsamurai	1	0
2014-09-17 18:12:16 +0300	imsamurai	1	0
2014-09-17 17:59:10 +0300	imsamurai	3	0
2014-09-17 15:32:01 +0300	imsamurai	1	0
2014-09-16 17:55:03 +0300	imsamurai	1	0
2014-09-16 17:48:21 +0300	imsamurai	1	0
2014-09-16 17:23:22 +0300	imsamurai	2	0
2014-09-16 16:29:22 +0300	imsamurai	1	0
2014-09-16 16:10:48 +0300	imsamurai	1	0
2014-09-16 15:51:55 +0300	imsamurai	1	0
2014-09-16 15:01:36 +0300	imsamurai	3	0
2014-09-16 14:56:31 +0300	imsamurai	13	1
2014-09-16 13:12:34 +0300	imsamurai	1	0
2014-09-15 23:20:13 +0300	imsamurai	2	0
2014-09-15 18:00:40 +0300	imsamurai	1	0
2014-09-15 17:55:47 +0300	imsamurai	1	0
2014-09-15 17:30:48 +0300	imsamurai	7	0
2014-09-15 16:16:32 +0300	imsamurai	1	0
2014-09-15 16:10:12 +0300	imsamurai	1	0
2014-09-15 15:53:08 +0300	imsamurai	1	0
2014-09-15 15:52:23 +0300	imsamurai	3	0
2014-09-11 16:04:02 +0300	imsamurai	1	0
2014-09-11 16:03:55 +0300	imsamurai	1	0
2014-09-11 15:50:57 +0300	imsamurai	1	0
2014-09-11 14:24:19 +0300	imsamurai	1	0
2014-09-11 14:06:17 +0300	imsamurai	2	0
2014-09-11 13:42:44 +0300	imsamurai	2	0
2014-09-11 13:40:01 +0300	imsamurai	1	0
2014-09-11 13:38:10 +0300	imsamurai	1	0
2014-09-11 13:36:53 +0300	imsamurai	1	0
2014-09-11 13:34:30 +0300	imsamurai	1	0
2014-09-11 13:13:02 +0300	imsamurai	1	0
2014-09-11 13:11:37 +0300	imsamurai	1	0
2014-09-11 12:09:31 +0300	imsamurai	22	0
2014-09-08 16:00:14 +0300	imsamurai	1	0
2014-09-08 15:59:57 +0300	imsamurai	4	0
2014-09-05 16:26:59 +0300	imsamurai	17	0
2014-09-05 15:32:16 +0300	imsamurai	1	0
2014-08-08 16:01:15 +0300	imsamurai	1	0
2014-08-08 16:01:00 +0300	imsamurai	1	0
2014-08-08 15:41:17 +0300	imsamurai	1	0
2014-08-08 15:41:03 +0300	imsamurai	1	0
2014-07-23 13:23:31 +0300	imsamurai	1	0
2014-07-23 13:10:17 +0300	imsamurai	2	0
2014-07-23 12:45:54 +0300	imsamurai	2	0
2014-07-22 18:58:12 +0300	imsamurai	1	0
2014-07-22 18:47:26 +0300	imsamurai	7	0
2014-07-22 15:02:10 +0300	imsamurai	1	0
2014-07-22 15:00:01 +0300	imsamurai	3	0
2014-07-22 14:40:22 +0300	imsamurai	7	0
2014-07-16 14:18:38 +0300	imsamurai	1	0
2014-07-16 14:18:26 +0300	imsamurai	2	0
2014-07-16 14:04:56 +0300	imsamurai	1	0
2014-07-16 13:35:41 +0300	imsamurai	1	0
2014-07-16 13:31:23 +0300	imsamurai	2	0
2014-07-15 18:31:39 +0300	imsamurai	3	0
2014-07-15 18:24:52 +0300	imsamurai	2	0
2014-07-15 18:22:43 +0300	imsamurai	7	1
2014-07-15 17:13:08 +0300	imsamurai	1	0
