Date	Author	NumAffectedFiles	Contains .sql
2019-05-21 11:28:39 -0600	Ivan	4	0
2019-05-20 19:18:24 -0600	Ivan	3	0
2019-05-19 14:28:20 -0600	Ivan	2	0
2019-05-15 18:14:18 -0600	Ivan	5	0
2019-05-15 18:22:57 -0600	Ivan	3	0
2019-05-14 10:06:20 -0600	Ivan	3	0
2019-05-13 20:28:15 +0200	Johannes	1	0
2019-05-06 16:20:28 -0600	Ivan	3	0
2019-05-06 11:54:38 -0600	Ivan	4	0
2019-05-05 21:26:13 -0600	Ivan	3	0
2019-05-05 21:07:32 -0600	Ivan	1	0
2019-05-05 21:00:06 -0600	Ivan	3	0
2019-05-03 12:09:42 -0600	Ivan	2	0
2019-04-29 16:11:41 -0600	Ivan	3	0
2019-04-23 20:16:06 -0600	Ivan	1	0
2019-04-26 14:14:48 -0600	Ivan	2	0
2019-04-23 19:35:42 -0600	Ivan	6	0
2019-04-16 14:08:26 -0600	Ivan	3	0
2019-04-15 19:27:58 -0600	Ivan	3	0
2019-04-14 17:52:26 -0600	Ivan	7	0
2019-04-11 19:58:52 -0600	Ivan	4	0
2019-04-15 10:41:25 -0600	Ivan	2	0
2019-03-19 18:59:13 -0600	Ivan	3	0
2019-03-25 09:26:53 -0600	Ivan	2	0
2019-03-22 17:32:28 -0600	Ivan	1	0
2019-03-18 10:47:56 -0700	Waldemar	1	0
2019-03-15 15:53:45 -0600	Ivan	1	0
2019-03-15 10:29:39 -0600	Ivan	3	0
2019-03-04 17:24:23 -0800	danielsdeleo	1	0
2019-03-11 13:57:45 -0600	Ivan	1	0
2019-03-11 13:38:14 -0600	Ivan	1	0
2019-03-08 17:06:36 -0700	Ivan	2	0
2019-02-28 14:09:50 -0700	Ivan	3	0
2019-03-08 11:40:43 -0700	Ivan	3	0
2019-02-25 18:20:08 -0700	Ivan	2	0
2019-02-20 20:41:38 -0700	Ivan	6	0
2019-02-20 19:46:48 -0700	Ivan	2	0
2019-02-20 19:37:09 -0700	Ivan	1	0
2019-02-07 13:12:20 -0700	Ivan	2	0
2019-02-07 17:21:21 -0700	Ivan	37	0
2019-02-07 09:48:13 -0700	Ivan	32	0
2019-02-05 19:43:38 -0700	Ivan	2	0
2019-02-05 14:59:09 -0700	Ivan	26	0
2019-01-23 16:53:06 -0700	Ivan	3	0
2019-02-05 14:22:30 -0700	Ivan	6	0
2019-01-29 09:50:11 -0700	Ivan	1	0
2019-01-15 09:59:42 -0700	Ivan	2	0
2019-01-10 13:44:23 -0700	Ivan	6	0
2018-12-23 16:28:12 -0700	Ivan	1	0
2018-12-22 14:25:02 -0700	Ivan	3	0
2018-12-22 11:34:17 -0700	Ivan	6	0
2018-12-21 19:55:53 -0700	Ivan	13	0
2018-12-21 15:23:12 -0700	Ivan	42	0
2017-12-04 10:39:17 -0700	Ivan	20	0
2018-12-11 18:39:14 +0100	gedw99	1	0
2018-12-11 18:31:40 +0100	gedw99	1	0
2018-12-05 09:27:06 -0700	Colin	1	0
2018-12-03 16:56:59 -0600	ainsley	1	0
2018-11-11 20:23:00 -0200	Ivan	1	0
2018-11-11 11:22:14 -0700	Ivan	1	0
2018-11-10 16:16:31 -0700	Ivan	3	0
2018-11-10 07:54:18 -0200	Ivan	1	0
2018-11-09 22:03:16 -0200	Ivan	1	0
2018-11-08 21:06:23 +0800	thlu	3	0
2018-10-24 10:15:31 -0300	Carlos	2	0
2018-10-17 14:44:35 -0600	Ivan	5	0
2018-10-14 19:59:20 +0300	Sergey	1	0
2018-10-02 13:11:02 -0600	Ivan	5	0
2018-10-01 16:19:57 -0600	Ivan	2	0
