Date	Author	NumAffectedFiles	Contains .sql
2019-03-24 11:29:23 +0100	Thorben	1	0
2019-03-09 17:14:31 +0100	Thorben	2	0
2019-02-23 17:08:51 +0100	Thorben	2	0
2019-02-23 16:10:41 +0100	Thorben	1	0
2019-02-23 15:40:03 +0100	Thorben	13	0
2019-02-17 13:19:11 +0100	Thorben	1	0
2019-02-17 13:17:50 +0100	Thorben	8	0
2019-02-11 17:59:02 +0100	Thorben	2	0
2018-12-11 17:52:41 +0100	Thorben	1	0
2018-03-13 18:45:57 +0100	Thorben	1	0
2018-02-15 18:50:01 +0100	Thorben	1	0
2017-12-31 22:45:24 +0100	Thorben	2	0
2017-12-31 19:23:15 +0100	Thorben	1	0
2017-12-31 17:13:59 +0100	Thorben	1	0
2017-12-30 15:51:16 +0100	Thorben	2	0
2017-12-30 14:57:12 +0100	Thorben	3	0
2017-12-11 10:53:23 +0100	Thorben	1	0
2017-10-18 17:35:10 +0200	Thorben	3	0
2017-09-28 17:17:28 +0200	Thorben	1	0
2017-09-28 16:49:06 +0200	Thorben	1	0
2017-08-24 12:10:20 +0200	Thorben	7	0
2017-08-23 17:41:34 +0200	Thorben	2	0
2017-08-18 16:33:53 +0200	Thorben	3	0
2017-08-18 13:53:22 +0200	Thorben	2	0
2017-08-15 15:40:34 +0200	Thorben	2	0
2017-08-15 14:47:53 +0200	Thorben	4	0
2017-08-15 14:11:45 +0200	Thorben	5	0
2017-08-15 14:54:21 +0200	Thorben	2	0
2017-08-15 13:38:28 +0200	Thorben	1	0
2017-05-18 15:49:24 +0200	Tymoteusz	1	0
2017-05-18 15:13:27 +0200	Tymoteusz	1	0
2017-05-18 15:04:46 +0200	Tymoteusz	1	0
2017-04-10 16:51:49 +0200	Thorben	2	0
2017-04-10 16:50:03 +0200	Thorben	1	0
2017-04-10 16:11:25 +0200	Thorben	2	0
2017-04-10 16:10:18 +0200	Thorben	4	0
2017-04-02 16:28:19 +0200	Thorben	2	0
2017-04-02 16:25:12 +0200	Thorben	2	0
2017-03-28 12:16:37 +0200	Thorben	2	0
2017-03-28 12:12:08 +0200	Thorben	1	1
2017-03-23 09:54:40 +0100	Thorben	2	0
2017-03-23 09:51:15 +0100	Thorben	1	0
2017-03-05 16:37:41 +0100	Thorben	2	0
2017-03-05 16:36:16 +0100	Thorben	1	0
2017-02-23 16:14:08 +0100	Thorben	2	0
2017-02-23 15:31:14 +0100	Thorben	2	0
2017-02-23 15:12:01 +0100	Thorben	1	0
2017-02-23 15:00:43 +0100	Thorben	4	0
2017-02-17 12:54:08 +0100	Thorben	6	0
2017-02-13 14:57:59 +0100	SicorDev	5	0
2017-02-08 17:28:48 +0100	Thorben	8	0
2017-02-08 11:34:23 +0100	Thorben	1	0
2017-01-31 16:37:27 +0100	SicorDev	2	0
2017-01-31 16:21:30 +0100	SicorDev	4	0
2017-01-29 12:41:06 +0100	SicorDev	5	0
2017-01-16 17:23:53 +0100	Thorben	1	0
2017-01-13 16:16:59 +0100	Thorben	1	0
2017-01-13 16:12:39 +0100	Thorben	1	0
2017-01-13 16:05:37 +0100	Thorben	1	0
2016-12-26 12:11:56 +0100	Thorben	1	0
2016-12-26 11:09:07 +0100	Marcel	3	0
2016-12-23 09:07:48 +0100	SicorDev	1	1
2016-12-17 16:45:53 +0100	Thorben	2	0
2016-11-15 10:31:17 +0100	Thorben	1	0
2016-10-25 16:34:31 +0200	Thorben	2	0
2016-10-25 16:30:56 +0200	Thorben	2	0
2016-10-25 16:29:20 +0200	Thorben	9	1
2016-10-22 19:37:21 +0200	Thorben	8	0
2016-10-22 19:21:03 +0200	Thorben	1	0
2016-10-22 18:49:30 +0200	Thorben	1	0
2016-10-22 18:17:16 +0200	Thorben	1	0
2016-10-22 18:09:58 +0200	Thorben	16	1
2016-10-21 16:34:12 +0200	Thorben	1	0
2016-10-21 15:17:04 +0200	Thorben	3	0
2016-10-21 14:31:33 +0200	Markus	1	0
2016-10-21 11:18:02 +0200	Thorben	1	0
2016-10-21 11:16:03 +0200	Thorben	5	0
2016-10-20 15:42:01 +0200	Thorben	2	0
2016-10-19 14:33:28 +0200	Thorben	14	0
2016-10-18 17:35:05 +0200	Thorben	4	0
2016-10-17 16:20:57 +0200	Thorben	17	0
2016-10-14 11:02:08 +0200	Thorben	5	0
2016-10-12 17:44:07 +0200	Thorben	2	0
2016-10-12 17:38:35 +0200	Thorben	6	0
2016-10-12 15:52:03 +0200	Thorben	1	0
2016-10-12 14:45:43 +0200	Thorben	9	0
2016-10-11 18:54:20 +0200	Thorben	20	0
2016-10-07 15:22:23 +0200	Thorben	67	0
2016-10-07 12:10:42 +0200	Thorben	7	1
2016-10-07 09:26:27 +0200	Thorben	2	0
2016-10-06 16:39:29 +0200	Thorben	2	0
2016-10-06 16:32:54 +0200	Thorben	1	0
2016-07-19 14:37:46 +0200	Thorben	2	0
2016-07-19 14:35:35 +0200	Thorben	2	0
2016-07-19 12:25:05 +0200	Thorben	2	0
2016-07-19 12:23:27 +0200	Thorben	1	0
2016-07-19 11:44:24 +0200	Thorben	2	0
2016-07-19 11:42:04 +0200	Thorben	1	0
2016-07-19 11:40:33 +0200	Thorben	3	0
2016-07-15 11:34:42 +0200	Thorben	2	0
2016-07-15 11:30:08 +0200	Thorben	1	0
2016-07-07 06:09:48 +0200	Thorben	2	0
2016-07-06 18:45:11 +0200	Thorben	2	0
2016-07-01 12:07:03 +0200	Thorben	1	0
2016-06-24 14:34:29 +0200	Thorben	3	0
2016-06-24 14:31:23 +0200	Thorben	2	0
2016-06-08 16:27:33 +0200	Thorben	2	0
2016-04-01 17:44:45 +0200	Thorben	8	0
2016-04-01 17:02:16 +0200	Thorben	3	0
2016-04-01 15:56:26 +0200	Thorben	2	0
2016-03-29 10:41:16 +0200	Thorben	2	0
2016-03-29 10:38:09 +0200	Thorben	1	0
2016-03-04 17:02:50 +0100	Thorben	1	0
2016-03-04 16:59:30 +0100	Thorben	3	0
2016-02-25 15:11:04 +0100	Thorben	2	0
2016-02-25 15:07:15 +0100	Thorben	2	0
2016-02-15 11:34:51 +0100	Thorben	2	0
2016-02-15 11:34:18 +0100	Thorben	7	0
2016-02-12 17:22:34 +0100	Thorben	4	0
2015-12-11 14:19:03 +0100	Thorben	1	0
2015-12-11 14:08:07 +0100	Thorben	1	0
2015-12-11 10:13:50 +0100	Thorben	2	0
2015-11-20 11:07:49 +0100	Thorben	1	0
2015-11-19 10:33:50 +0100	Thorben	1	0
2015-11-17 15:15:03 +0100	Thorben	1	0
2015-11-09 14:01:18 +0100	Thorben	1	0
2015-10-21 12:18:07 +0200	Thorben	4	0
2015-10-21 12:18:07 +0200	Thorben	4	0
2015-10-09 14:22:03 +0200	Thorben	1	0
2015-10-09 14:12:41 +0200	Thorben	1	0
2015-10-08 15:38:52 +0200	Thorben	1	0
2015-10-08 15:01:17 +0200	Thorben	1	0
2015-09-10 13:56:55 +0200	Thorben	2	0
2015-07-27 14:00:38 +0200	Thorben	1	0
2015-07-27 12:58:05 +0200	Thorben	2	0
2015-07-06 09:41:49 +0200	Thorben	2	0
2015-06-16 11:04:46 +0200	Thorben	1	0
2015-06-15 16:00:49 +0200	Thorben	1	0
2015-05-12 17:03:03 +0200	Thorben	2	0
2015-05-12 16:58:21 +0200	Thorben	1	0
2015-05-12 16:57:30 +0200	Thorben	1	0
2015-04-24 09:07:32 +0200	Thorben	1	0
2015-04-17 11:09:41 +0200	Thorben	1	0
2015-04-16 16:23:23 +0200	Thorben	1	0
2015-04-16 16:22:58 +0200	Thorben	1	0
2015-04-16 14:18:31 +0200	Thorben	1	0
2015-04-16 14:13:25 +0200	Thorben	2	0
2015-04-14 11:36:16 +0200	Markus	1	0
2015-04-09 16:20:23 +0200	Thorben	1	0
2015-04-09 15:52:58 +0200	Thorben	1	0
2015-04-09 15:46:28 +0200	Thorben	1	0
2015-03-31 12:36:55 +0200	Patrick	1	0
2015-03-25 11:06:16 +0100	Thorben	1	0
2015-02-05 13:54:43 +0100	Thorben	1	0
2015-01-30 09:56:37 +0100	Thorben	1	0
2015-01-27 16:17:16 +0100	Thorben	4	0
2015-01-27 16:12:49 +0100	Thorben	3	0
2015-01-27 15:05:22 +0100	Thorben	3	0
2015-01-27 15:01:12 +0100	Thorben	1	0
2015-01-27 14:57:15 +0100	Thorben	1	0
2015-01-27 13:22:18 +0100	Thorben	1	0
2015-01-27 13:19:54 +0100	Thorben	1	0
2015-01-27 10:58:13 +0100	Thorben	4	0
2015-01-26 17:56:11 +0100	Thorben	11	0
2015-01-13 16:06:01 +0100	Thorben	1	0
2015-01-09 13:34:00 +0100	Thorben	1	0
2015-01-06 15:14:11 +0100	Thorben	11	0
2015-01-06 15:13:35 +0100	Thorben	1	0
2015-01-06 14:53:24 +0100	Thorben	5	1
2015-01-06 14:37:08 +0100	Thorben	1	0
2015-01-06 11:33:25 +0100	Thorben	2	0
2014-12-16 11:37:50 +0100	Thorben	1	0
2014-12-04 09:42:23 +0100	Thorben	2	0
