Date	Author	NumAffectedFiles	Contains .sql
2018-12-17 12:37:46 +1000	neocogent	1	0
2018-12-17 12:32:36 +1000	neocogent	1	0
2018-11-16 08:49:09 +1000	neocogent	2	0
2018-11-11 07:31:19 +1000	neocogent	2	0
2018-11-11 07:30:40 +1000	neocogent	1	0
2018-11-10 14:18:53 +1000	neocogent	2	0
2018-11-10 14:13:34 +1000	neocogent	1	0
2018-11-10 14:13:17 +1000	neocogent	1	0
2018-11-10 11:38:32 +1000	neocogent	1	0
2018-11-10 08:06:24 +1000	neocogent	2	0
2018-11-10 08:00:04 +1000	neocogent	1	0
2018-11-10 07:44:41 +1000	neocogent	1	0
2018-11-09 10:34:41 +1000	neocogent	1	0
2018-11-08 16:02:56 +1000	neocogent	4	0
2018-11-07 17:52:35 +1000	neocogent	1	0
2018-11-07 17:52:05 +1000	neocogent	2	0
2018-10-21 23:56:34 +1000	neocogent	1	0
2018-10-21 02:11:30 +1000	neocogent	1	0
2018-10-21 02:07:21 +1000	neocogent	1	0
2018-10-21 01:25:44 +1000	neocogent	2	0
2018-10-21 01:07:29 +1000	neocogent	1	0
2018-02-08 13:00:41 +1000	neocogent	1	0
2017-12-25 20:54:48 +0700	neocogent	2	0
2017-12-25 20:24:04 +0700	neocogent	1	0
2017-12-25 20:16:13 +0700	neocogent	1	0
2017-12-25 19:55:04 +0700	neocogent	1	0
2017-12-25 19:53:30 +0700	neocogent	1	0
2017-12-25 19:46:45 +0700	neocogent	1	0
2017-12-25 19:43:32 +0700	neocogent	1	0
2017-12-25 19:31:46 +0700	neocogent	1	0
2017-12-25 19:08:55 +0700	neocogent	1	0
2017-12-25 18:57:16 +0700	neocogent	1	0
2017-12-25 18:42:48 +0700	neocogent	1	0
2017-12-25 10:03:20 +0700	neocogent	1	0
2017-12-24 09:11:47 +0700	neocogent	1	0
2017-12-24 07:49:35 +0700	neocogent	1	0
2017-12-24 07:37:44 +0700	neocogent	2	0
2017-12-21 11:57:20 +0700	neocogent	1	0
2017-12-21 11:51:49 +0700	neocogent	1	0
2017-12-20 13:55:37 +0700	neocogent	1	0
2017-12-20 13:52:22 +0700	neocogent	1	0
2017-12-20 13:17:54 +0700	neocogent	1	0
2017-12-20 12:59:05 +0700	neocogent	1	0
2017-12-20 07:34:32 +0700	neocogent	1	0
2017-12-19 11:23:38 +0700	neocogent	1	0
2017-12-19 11:03:46 +0700	neocogent	1	0
2017-12-19 10:55:29 +0700	neocogent	16	4
2017-12-19 10:32:55 +0700	neocogent	3	3
2017-12-19 09:36:32 +0700	neocogent	1	0
2017-12-19 08:42:08 +0700	neocogent	1	0
2017-12-18 19:51:24 +0700	neocogent	2	0
2017-12-17 10:28:20 +0700	neocogent	5	0
2017-12-17 10:01:51 +0700	neocogent	2	0
2017-12-16 20:14:37 +0700	neocogent	2	0
2017-12-16 15:33:26 +0700	neocogent	2	0
2017-12-16 14:16:35 +0700	neocogent	3	0
2017-12-16 13:39:35 +0700	neocogent	1	0
2017-12-16 13:38:56 +0700	neocogent	1	0
2017-12-16 13:07:05 +0700	neocogent	1	0
2017-12-16 11:30:07 +0700	neocogent	1	0
2017-12-16 09:40:45 +0700	neocogent	1	0
2017-12-16 09:26:37 +0700	neocogent	3	0
2017-12-15 23:45:53 +0700	neocogent	1	0
2017-12-15 23:40:26 +0700	neocogent	1	0
2017-12-15 23:27:54 +0700	neocogent	1	0
2017-12-15 23:09:41 +0700	neocogent	2	0
2017-12-15 22:10:52 +0700	neocogent	4	3
2017-12-15 22:07:24 +0700	neocogent	1	0
2017-12-15 20:36:52 +0700	neocogent	4	0
2017-12-15 20:30:48 +0700	neocogent	3	0
2017-12-15 20:30:06 +0700	neocogent	1	0
2017-12-15 19:45:43 +0700	neocogent	2	0
2017-12-15 19:34:28 +0700	neocogent	1	0
2017-12-15 19:34:10 +0700	neocogent	1	0
2017-12-15 17:37:47 +0700	neocogent	3	0
2017-12-15 16:49:00 +0700	neocogent	1	0
2017-12-15 16:29:38 +0700	neocogent	2	0
2017-12-15 09:05:48 +0700	neocogent	2	0
2017-12-14 11:07:56 +0700	neocogent	1	0
2017-12-14 09:17:35 +0700	neocogent	2	1
2017-12-13 16:03:30 +0700	neocogent	1	0
2017-12-13 15:52:27 +0700	neocogent	1	1
2017-12-13 12:57:39 +0700	neocogent	1	0
2017-12-13 13:47:38 +0700	neocogent	3	0
2017-12-13 12:57:39 +0700	neocogent	1	0
2017-12-12 14:24:12 +0700	neocogent	2	0
2017-12-11 22:13:50 +0700	neocogent	2	1
2017-12-11 20:04:26 +0700	neocogent	1	0
2017-12-11 20:02:57 +0700	neocogent	4	0
2017-12-11 12:14:49 +0700	neocogent	1	0
2017-12-10 17:09:44 +0700	neocogent	2	0
2017-12-10 13:21:53 +0700	neocogent	2	0
2017-12-10 12:16:36 +0700	neocogent	2	0
2017-12-10 11:30:45 +0700	neocogent	3	0
2017-12-10 11:03:50 +0700	neocogent	2	0
2017-12-10 10:21:39 +0700	neocogent	1	0
2017-12-10 10:19:15 +0700	neocogent	1	0
2017-12-10 10:15:35 +0700	neocogent	1	0
2017-12-10 10:14:20 +0700	neocogent	2	0
2017-12-10 02:31:34 +0700	neocogent	3	0
2017-12-09 12:28:35 +0700	neocogent	1	0
2017-12-09 09:23:02 +0700	neocogent	1	0
2017-12-09 09:02:34 +0700	neocogent	1	0
2017-12-09 08:44:46 +0700	neocogent	1	0
2017-12-09 08:42:07 +0700	neocogent	5	0
2017-12-08 14:32:43 +0700	neocogent	2	0
2017-12-07 21:40:15 +0700	neocogent	1	0
2017-12-07 21:09:44 +0700	neocogent	4	0
2017-12-07 20:57:28 +0700	neocogent	8	1
2017-12-06 23:29:22 +0700	neocogent	1	0
2017-12-06 18:24:59 +0700	neocogent	1	0
2017-12-06 18:16:59 +0700	neocogent	2	0
2017-12-06 18:14:58 +0700	neocogent	1	0
2017-12-06 12:58:09 +0700	neocogent	1	0
2017-12-06 12:19:25 +0700	neocogent	1	0
2017-12-06 11:59:38 +0700	neocogent	1	0
2017-12-05 23:34:49 +0700	neocogent	4	0
2017-12-05 07:39:10 +0700	neocogent	1	0
2017-12-04 16:33:21 +0700	neocogent	1	1
2017-12-03 23:50:34 +0700	neocogent	1	0
2017-12-03 21:36:03 +0700	neocogent	1	0
2017-12-03 19:52:55 +0700	neocogent	6	0
2017-12-03 17:49:43 +0700	neocogent	3	0
2017-12-03 17:48:53 +0700	neocogent	1	0
2017-12-03 14:55:25 +0700	neocogent	1	0
2017-12-03 14:29:42 +0700	neocogent	1	0
2017-12-03 14:28:42 +0700	neocogent	1	0
2017-12-03 13:29:28 +0700	neocogent	2	0
2017-12-03 13:27:48 +0700	neocogent	2	0
2017-12-03 13:14:53 +0700	neocogent	1	0
2017-12-02 22:13:31 +0700	neocogent	1	0
2017-12-02 15:39:39 +0700	neocogent	1	0
2017-12-02 15:39:06 +0700	neocogent	1	0
2017-12-02 10:59:15 +0700	neocogent	3	0
