Date	Author	NumAffectedFiles	Contains .sql
2014-09	Aimeos	1	0
2014-10	Aimeos	173	1
2014-11	Aimeos	6	0
2014-12	Aimeos	562	0
2015-01	Aimeos	35	0
2015-02	Aimeos	28	1
2015-03	Aimeos	18	0
2015-04	Aimeos	72	0
2015-05	Aimeos	7	0
2015-06	Aimeos	128	0
2015-07	Aimeos	16	0
2015-08	Aimeos	10	0
2015-09	Aimeos	20	0
2015-10	Andreas,Aimeos	132	0
2015-11	Aimeos	8	0
2015-12	Aimeos	19	0
2016-01	Aimeos	63	0
2016-02	Aimeos	56	0
2016-03	Aimeos	58	0
2016-04	Aimeos	8	0
2016-05	Aimeos	227	0
2016-06	Aimeos	35	0
2016-07	Aimeos	61	0
2016-08	Andreas,Aimeos	18	0
2016-09	Aimeos	253	0
2016-10	Aimeos	21	0
2016-11	Aimeos,Jonathan	79	1
2016-12	Aimeos	15	0
2017-01	Aimeos	21	0
2017-02	Aimeos,gilbertsoft	72	0
2017-03	pdanzinger,Aimeos	32	0
2017-04	Aimeos,Jonas	42	0
2017-05	Aimeos	13	1
2017-06	Aimeos	39	0
2017-07	Aimeos	45	0
2017-08	Aimeos	9	0
2017-09	Aimeos	6	0
2017-10	Aimeos	97	0
2017-11	Aimeos	17	0
2017-12	Aimeos	27	0
2018-01	Aimeos	5	0
2018-02	Aimeos	4	0
2018-03	Aimeos	17	0
2018-04	Aimeos	7	0
2018-05	Aimeos	33	0
2018-06	Nicole,Aimeos	31	0
2018-07	Aimeos	4	0
2018-08	Aimeos	3	0
2018-09	Aimeos,mterwei	2	0
2018-10	Aimeos	47	1
2018-11	Aimeos,Jonas	12	0
2018-12	Aimeos	33	0
2019-01	Aimeos	36	0
2019-02	Aimeos,Tobias	13	0
2019-03	Aimeos	6	1
2019-04	Sebastian,Aimeos	12	0
