Date	Author	NumAffectedFiles	Contains .sql
2016-08	ran	342	1
2016-09	ran	203	0
2016-10	ran	107	3
2016-11	ran,jkleint,Ran	286	1
2016-12	ran,Randy	292	0
2017-02	ran,Miguel	22	0
2017-03	ran	14	0
2017-04	ran	36	0
2017-05	ran	22	0
2017-06	ran	2	0
2017-07	ran	29	0
2017-08	ran	1	0
2017-09	ran	12	0
2017-10	ran	2	0
2018-01	ran	7	0
2018-02	ran	43	0
2018-03	ran,swampyclark	6	0
2018-04	ran	1	0
2018-07	ran	22	0
2018-08	ran	3	0
2018-09	ran	140	0
2018-10	ran	4	0
2018-11	ran	5	0
2019-01	wolfe,Lionel,ran	28	0
2019-02	ran	5	0
2019-04	Ran	1	0
2019-05	Ran,hroff-1902	8	0
