Date	Author	NumAffectedFiles	Contains .sql
2015-05	paarandika,Milindu,tharindupr	39	0
2015-06	paarandika,Milindu	15	1
2015-07	paarandika	9	0
2015-08	paarandika,Ayantha	47	1
2016-03	scorpionhiccup,Ayantha	17	0
2016-05	Malith	37	1
2016-06	Malith	170	0
2016-07	Malith	47	1
2016-08	Malith	81	1
2016-12	Padam,Thuan2000,funkyDunks,Malith	70	0
2017-01	Madhawa,KSOFTLABS\Kavinda,Rumesh,Harsh	25	0
2017-02	rajikaimal,Saisankar,Umamah,harsh183,Jeffrey	41	0
2017-03	rajikaimal,Malith,Saisankar,M.M.Nuwini,Rajika,Rumesh	51	0
2017-04	Ayantha,paarandika,Saisankar	11	0
2017-05	Kaveesha,Rajika,Saisankar	9	0
2017-08	Kaveesha	3	0
2017-10	Malith	6	0
2017-11	Saisankar,Padam,Milindu,Malith	8	0
2017-12	Tanmay,kmehant,Malith,yruwanmalee,Milindu,Padam,padamchopra,azisnaufal,The,Pranay,tintinmovie	124	1
2018-01	Moses,padamchopra,Padam,Malith	32	0
2018-02	Asutosh,Asutosh989,Shlok,Padam,Malith,Moses	16	0
2018-03	Lakindu	2	0
2019-05	Charitha	2	0
