Date	Author	NumAffectedFiles	Contains .sql
2017-04-12 16:28:21 -0700	Justin	1	1
2015-08-25 18:26:19 -0700	Aaron	8	0
2015-08-19 07:12:48 -0700	Aaron	1	0
2015-08-17 14:15:22 -0700	Aaron	1	0
2015-08-17 14:12:45 -0700	Aaron	4	1
2015-08-14 11:31:59 -0700	Aaron	6	1
2015-08-14 07:51:23 -0700	Aaron	1	0
2015-07-30 07:52:28 -0700	Aaron	1	0
2015-07-30 07:51:35 -0700	Aaron	1	0
2015-07-23 15:21:32 -0700	Aaron	2	0
2015-07-22 11:12:29 -0700	Aaron	1	0
2015-07-22 11:11:15 -0700	Aaron	2	0
2015-07-21 08:22:11 -0700	Aaron	1	0
2015-07-21 08:14:29 -0700	Aaron	1	0
2015-07-21 07:54:55 -0700	Aaron	2	0
2015-07-21 07:44:37 -0700	Aaron	1	0
2015-07-21 07:43:14 -0700	Aaron	1	0
2015-07-21 07:36:33 -0700	Aaron	1	0
2015-06-09 11:33:53 -0700	Aaron	35	1
2015-06-09 11:33:53 -0700	Aaron	1	0
2015-06-01 12:06:46 -0700	Aaron	2	0
2015-06-01 12:05:48 -0700	Aaron	1	0
2015-06-01 10:55:08 -0700	Aaron	1	0
2015-06-01 10:44:08 -0700	Aaron	1	0
2015-06-01 10:37:07 -0700	Aaron	1	0
2015-05-20 13:10:59 -0700	Aaron	1	0
2015-05-20 12:00:07 -0700	Aaron	1	0
2015-05-20 10:16:01 -0700	Aaron	7	0
2015-05-18 10:13:08 -0700	Aaron	1	0
2015-05-18 09:03:44 -0700	Aaron	2	0
2015-05-18 08:43:16 -0700	Aaron	1	0
2015-05-15 17:46:02 -0700	Aaron	2	0
2015-05-15 16:55:38 -0700	Aaron	4	1
2015-05-15 09:43:21 -0700	Aaron	1	0
2015-05-14 16:38:34 -0700	Aaron	7	2
2015-04-30 15:28:39 -0700	Aaron	1	0
2015-04-28 15:31:08 -0700	Aaron	3	0
2015-04-21 14:56:32 -0700	Aaron	1	0
2015-04-13 10:37:05 -0700	Aaron	1	0
2015-04-13 09:59:12 -0700	Aaron	1	0
2015-04-13 09:57:39 -0700	Aaron	1	0
2015-03-25 13:42:04 -0700	Aaron	1	0
2015-03-24 14:26:42 -0700	Aaron	1	0
2015-03-24 14:21:57 -0700	Aaron	8	2
2015-03-20 08:15:30 -0700	Aaron	3	0
2015-03-19 10:41:50 -0700	Aaron	2	0
2015-03-19 10:29:47 -0700	Aaron	2	0
2015-03-19 10:08:16 -0700	Aaron	1	0
2015-03-19 10:05:14 -0700	Aaron	1	0
2015-03-19 09:53:25 -0700	Aaron	1	0
2015-03-19 07:31:37 -0700	Aaron	1	0
2015-03-18 18:40:23 -0700	Aaron	2	0
2015-03-18 18:23:07 -0700	Aaron	4	0
2015-03-18 18:13:30 -0700	Aaron	1	0
2015-03-18 13:58:59 -0700	Aaron	2	0
2015-03-18 10:03:13 -0700	Aaron	2	0
2015-03-18 09:55:06 -0700	Aaron	2	0
2015-03-18 09:33:51 -0700	Aaron	1	0
2015-03-18 09:30:55 -0700	Aaron	3	0
