Date	Author	NumAffectedFiles	Contains .sql
2018-01-30 10:38:11 -0800	Doug	1	0
2017-12-15 15:01:14 -0800	Jack	7	1
2017-11-21 10:45:49 -0800	Mike	1	0
2017-11-01 10:03:24 -0700	Doug	3	0
2017-10-06 18:03:27 -0700	Doug	2	0
2017-10-06 13:36:56 -0700	Mike	2	0
2017-10-05 11:03:20 -0700	Sean	3	0
2017-09-29 09:49:12 -0700	Doug	4	0
2017-09-28 16:01:34 -0700	Doug	4	0
2017-10-02 16:39:23 -0700	Sean	18	0
2017-09-21 11:21:19 -0700	Mike	9	0
2017-09-18 18:14:44 -0700	Jack	13	0
2017-09-18 17:22:38 -0700	Sean	2	0
2017-09-15 12:18:04 -0700	Sean	18	0
2017-09-18 10:34:59 -0700	Doug	1	0
2017-09-12 17:59:47 -0700	Mike	1	0
2017-09-06 10:41:43 -0700	Mike	1	0
2017-08-21 12:57:25 -0700	Sean	1	0
2017-07-18 17:02:13 -0700	Matt	1	0
2017-07-17 17:49:05 -0700	Jack	1	0
2017-06-19 19:26:01 -0700	Jack	1	0
2017-05-17 15:08:09 -0700	Michael	2	0
2017-05-25 11:48:20 -0700	Sean	5	0
2017-05-23 11:46:40 -0700	Sean	1	0
2017-05-18 12:29:42 -0700	Jack	8	0
2017-05-10 17:26:51 -0700	Jack	3	0
2017-05-09 14:39:07 -0700	Doug	10	0
2017-05-02 12:52:10 -0700	Doug	2	0
2017-05-08 15:16:20 -0700	Doug	1	0
2017-05-08 12:36:25 -0700	Doug	2	0
2017-05-02 12:52:10 -0700	Doug	2	0
2017-05-04 12:20:52 -0700	Doug	10	1
2017-05-01 12:33:49 -0700	Doug	62	0
2017-04-14 11:14:47 -0700	Matt	1	0
2017-04-12 18:01:40 -0700	Matt	2	0
2017-04-10 13:17:02 -0700	Michael	4	0
2017-03-16 12:42:02 -0700	Orlando	1	0
2017-03-14 16:51:41 -0700	Orlando	4	0
2017-03-14 16:20:27 -0700	Sean	99	0
2017-03-07 11:09:33 -0800	Doug	7	0
2017-02-28 16:03:47 -0800	Orlando	4	0
