Date	Author	NumAffectedFiles	Contains .sql
2015-01-06 00:45:52 -0800	Jason	1	0
2015-01-06 00:45:02 -0800	Jason	1	0
2015-01-06 00:33:41 -0800	Jason	2	0
2015-01-05 21:32:24 -0800	Jason	4	0
2015-01-05 21:10:02 -0800	Jason	2	0
2015-01-05 19:56:20 -0800	Jason	1	0
2015-01-05 19:31:11 -0800	Jason	2	0
2015-01-05 19:00:25 -0800	Jason	1	0
2015-01-05 18:50:55 -0800	Jason	1	0
2015-01-05 18:47:49 -0800	Jason	3	0
2015-01-05 14:24:57 -0800	Jason	1	1
2015-01-05 08:17:16 -0800	Jason	1	0
2015-01-05 08:06:14 -0800	Jason	2	0
2015-01-05 01:46:37 -0800	Jason	1	0
2015-01-05 01:43:51 -0800	Jason	1	0
2015-01-05 01:28:23 -0800	Jason	1	0
2015-01-05 01:28:06 -0800	Jason	1	0
2015-01-05 01:25:14 -0800	Jason	1	0
2015-01-05 01:22:46 -0800	Jason	1	0
2015-01-05 00:46:01 -0800	Jason	6	1
2015-01-04 23:20:08 -0800	Jason	1	0
2015-01-04 23:04:59 -0800	Jason	3	0
2015-01-04 21:59:24 -0800	Jason	8	0
2015-01-04 20:54:00 -0800	Jason	5	0
2015-01-04 20:14:33 -0800	Jason	11	1
2015-01-04 18:27:41 -0800	Jason	12	2
2015-01-04 13:20:12 -0800	Jason	13	1
2015-01-04 11:57:43 -0800	Jason	6	0
2015-01-04 11:39:31 -0800	Jason	19	0
2015-01-04 08:40:29 -0800	Jason	9	0
2015-01-03 22:04:22 -0800	Jason	13	0
2015-01-03 19:16:13 -0800	Jason	12	1
2015-01-03 16:18:06 -0800	Jason	6	0
2015-01-03 15:37:34 -0800	Jason	3	0
2015-01-03 15:15:47 -0800	Jason	8	1
2015-01-03 10:00:02 -0800	Jason	6	0
2015-01-02 23:12:01 -0800	Jason	22	1
2015-01-02 16:51:53 -0800	Jason	15	1
2015-01-01 23:40:26 -0800	Jason	10	1
2015-01-01 14:00:11 -0800	Jason	2	1
2015-01-01 13:50:37 -0800	Jason	8	1
2014-12-31 23:55:47 -0800	Jason	21	1
2015-01-03 23:01:31 -0800	Jason	1	0
