Date	Author	NumAffectedFiles	Contains .sql
2016-09-15 10:54:54 -0400	Maxwell	1	0
2016-09-15 10:52:26 -0400	Maxwell	1	0
2016-09-15 10:52:09 -0400	Maxwell	2	0
2016-07-22 11:20:03 -0400	Maxwell	1	0
2016-07-22 11:19:11 -0400	Maxwell	1	0
2016-07-21 21:32:18 -0400	Maxwell	1	0
2016-07-21 21:29:52 -0400	Maxwell	3	0
2015-11-30 14:06:03 -0500	Jack	1	0
2015-11-30 14:04:04 -0500	Jack	1	0
2015-11-29 22:41:33 -0500	Jack	4	0
2015-11-24 09:10:23 -0500	Maxwell	1	0
2015-11-24 08:58:41 -0500	Maxwell	47	0
2015-11-23 09:17:56 -0500	Maxwell	1	0
2015-11-23 09:15:56 -0500	Maxwell	2	0
2015-10-21 13:14:00 -0400	Jack	1	0
2015-10-20 17:48:22 -0400	Jack	4	0
2015-10-20 12:06:33 -0400	Jack	5	0
2015-10-05 12:24:31 -0400	Jack	2	0
2015-10-05 12:22:20 -0400	Jack	6	0
2015-10-02 12:25:14 -0400	Jack	2	0
2015-10-02 12:13:10 -0400	Jack	1	0
2015-10-02 12:09:07 -0400	Jack	12	0
2015-09-21 18:11:57 -0400	Jack	2	0
2015-09-21 17:08:56 -0400	Jack	6	0
2015-09-19 10:33:41 -0400	Maxwell	3	0
2015-09-18 11:18:38 -0400	Maxwell	2	0
2015-09-18 11:15:14 -0400	Maxwell	97	0
2015-09-18 11:13:34 -0400	Maxwell	1	0
2015-09-11 15:32:24 -0400	Sidney	9	0
2015-09-11 15:32:11 -0400	Sidney	1	0
2015-08-14 12:06:55 -0400	Jack	2	0
2015-08-14 11:52:58 -0400	Jack	8	0
2015-08-13 17:18:44 -0400	Jack	2	0
2015-08-13 16:40:38 -0400	Jack	36	0
2015-07-30 11:15:24 -0400	Jack	2	0
2015-07-30 11:13:20 -0400	Jack	1	0
2015-07-30 10:32:00 -0400	Jack	15	0
2015-07-29 18:12:55 -0400	Jack	2	0
2015-07-28 10:55:28 -0400	Jack	2	0
2015-07-28 10:54:58 -0400	Jack	1	0
