Date	Author	NumAffectedFiles	Contains .sql
2019-05-06 15:58:08 +0200	Andreas	1	0
2019-05-06 14:17:46 +0200	Andreas	1	0
2019-04-09 10:24:33 +0200	guenther-hnm	1	0
2019-04-08 17:53:46 +0200	Thomas	2	0
2019-04-08 17:48:57 +0200	Thomas	5	0
2019-04-04 18:53:43 +0200	Bert	1	0
2019-04-04 18:40:28 +0200	Andreas	1	0
2019-04-04 18:36:31 +0200	Andreas	1	0
2019-04-04 18:34:41 +0200	Andreas	1	0
2019-04-04 18:34:15 +0200	Andreas	1	0
2019-04-03 14:58:09 +0200	Andreas	1	0
2019-04-02 18:49:18 +0200	tomekk	3	0
2019-04-02 17:03:04 +0200	tomekk	5	0
2019-04-02 16:31:21 +0200	tomekk	3	0
2019-04-02 16:31:05 +0200	tomekk	1	0
2019-04-02 16:29:56 +0200	tomekk	1	0
2019-04-01 12:29:43 +0200	Thomas	1	0
2019-04-01 09:24:26 +0200	Thomas	1	0
2019-03-27 15:34:11 +0100	Andreas	1	0
2019-03-26 18:03:47 +0100	Thomas	1	0
2019-03-26 15:04:01 +0100	tomekk	5	0
2019-03-26 14:13:59 +0100	Andreas	1	0
2019-03-25 11:21:03 +0100	Thomas	4	0
2019-03-25 10:12:44 +0100	tomekk	1	0
2019-03-25 10:10:03 +0100	tomekk	4	0
2019-03-22 15:51:06 +0100	Andreas	1	0
2019-03-21 14:57:32 +0100	Andreas	1	0
2019-03-21 11:42:43 +0100	Tomekk	3	0
2019-03-21 11:01:07 +0100	Tomekk	4	0
2019-03-21 10:59:27 +0100	Tomekk	3	0
2019-03-20 16:53:24 +0100	tomekk	5	0
2019-03-20 15:29:16 +0100	tomekk	9	0
2019-03-20 15:17:51 +0100	Andreas	1	0
2019-03-20 12:46:10 +0100	tomekk	3	0
2019-03-20 11:30:18 +0100	tomekk	4	0
2019-03-20 10:59:15 +0100	tomekk	2	0
2019-03-20 10:58:12 +0100	tomekk	5	0
2019-03-19 17:45:46 +0100	tomekk	14	0
2019-03-18 17:42:11 +0100	Andreas	1	0
2019-03-18 15:20:16 +0100	Andreas	1	0
2019-03-18 14:54:00 +0100	tomekk	1	0
2019-03-18 14:53:32 +0100	tomekk	1	0
2019-03-18 13:55:45 +0100	Thomas	1	0
2019-03-14 18:14:51 +0100	Tomekk	2	0
2019-03-14 18:13:55 +0100	Tomekk	2	0
2019-03-13 16:00:07 +0100	tomekk	3	0
2019-03-13 15:40:19 +0100	tomekk	4	0
2019-03-13 12:18:25 +0100	tomekk	10	0
2019-03-12 15:52:15 +0100	tomekk	6	0
2019-03-09 23:59:25 +0100	Andreas	1	0
2019-03-07 17:16:57 +0100	Andreas	1	0
2019-03-07 17:01:15 +0100	Andreas	1	0
2019-03-07 16:58:15 +0100	Tomekk	4	0
2019-03-06 21:27:49 +0100	Andreas	1	0
2019-03-06 21:26:13 +0100	Andreas	1	0
2019-03-06 21:16:03 +0100	Andreas	3	0
2019-03-06 19:59:29 +0100	Andreas	1	0
2019-03-06 18:46:31 +0100	Andreas	1	0
2019-03-06 18:05:58 +0100	Andreas	2	0
2019-03-06 18:04:27 +0100	Andreas	1	0
2019-03-06 16:18:48 +0100	bert	3	0
2019-03-06 14:49:01 +0100	Thomas	1	0
2019-03-06 14:47:13 +0100	Thomas	3	0
2019-03-06 11:53:52 +0100	Thomas	1	0
2019-03-06 09:17:39 +0100	guenther-hnm	1	0
2019-03-05 10:15:16 +0100	Thomas	2	0
2019-03-04 16:57:13 +0100	bert	2	0
2019-03-04 16:46:17 +0100	Thomas	2	0
2019-03-04 15:09:21 +0100	Thomas	4	0
2019-02-28 20:49:48 +0100	Andreas	1	0
2019-02-28 20:35:49 +0100	Andreas	1	0
2019-02-28 20:33:52 +0100	Andreas	4	0
2019-02-27 09:55:37 +0100	Thomas	2	0
2019-02-27 00:29:52 +0100	Andreas	1	0
2019-02-20 18:04:10 +0100	Andreas	4	0
2019-02-20 16:23:47 +0100	Thomas	1	0
2019-02-20 16:14:59 +0100	Thomas	1	0
2019-02-20 12:03:27 +0100	guenther-hnm	1	0
2019-02-20 12:02:31 +0100	Thomas	1	0
2019-01-25 13:05:37 +0100	Andreas	1	0
2019-01-22 22:01:23 +0100	Andreas	3	0
2019-01-18 01:04:08 +0100	Andreas	3	0
2019-01-17 14:57:57 +0100	Andreas	1	0
2019-01-17 14:30:24 +0100	Andreas	52	0
2019-01-16 02:19:25 +0100	Andreas	28	0
2019-01-10 21:34:36 +0100	Andreas	65	0
2019-01-10 17:02:45 +0100	Andreas	6	0
2019-01-08 18:58:00 +0100	Bert	1	0
2019-01-08 17:36:41 +0100	Bert	1	0
2019-01-08 16:00:53 +0100	Andreas	9	0
2019-01-08 14:57:09 +0100	Andreas	2	0
2019-01-08 13:01:53 +0100	tomekk	3	0
2019-01-08 12:38:28 +0100	Andreas	1	0
2019-01-08 12:37:39 +0100	Andreas	2	0
2019-01-07 20:37:48 +0100	Andreas	1	0
2019-01-07 20:32:13 +0100	Andreas	1	0
2019-01-07 20:21:21 +0100	Andreas	1	0
2019-01-07 20:15:09 +0100	Andreas	2	0
2019-01-07 14:20:31 +0100	Andreas	128	0
2019-01-03 15:36:04 +0100	Bert	4	0
2018-12-20 22:25:42 +0100	Andreas	3	0
2018-12-20 22:19:40 +0100	Andreas	7	0
2018-12-20 22:04:00 +0100	Andreas	7	0
2018-12-20 21:47:15 +0100	Andreas	46	0
2018-12-19 20:55:18 +0100	Andreas	12	0
2018-12-19 19:51:04 +0100	Andreas	6	0
2018-12-19 19:04:02 +0100	Andreas	7	0
2018-12-18 21:59:23 +0100	Andreas	85	0
2018-12-18 17:47:24 +0100	Andreas	1	0
2018-12-18 15:40:54 +0100	Andreas	1	0
2018-12-18 15:25:04 +0100	Andreas	1	0
2018-12-18 14:42:28 +0100	Andreas	1	0
2018-12-17 15:03:35 +0100	Andreas	1	0
2018-12-17 14:36:44 +0100	Andreas	1	0
2018-12-17 14:23:38 +0100	Andreas	1	0
2018-12-12 18:16:46 +0100	Andreas	1	0
2018-12-12 18:07:41 +0100	Andreas	1	0
2018-12-12 15:54:34 +0100	Andreas	1	0
2018-12-11 17:44:44 +0100	Andreas	2	0
2018-12-11 12:22:20 +0100	Andreas	4	0
2018-12-10 16:18:12 +0100	Andreas	1	0
2018-12-10 16:09:20 +0100	Andreas	1	0
2018-12-10 14:57:37 +0100	Andreas	2	0
2018-12-10 13:06:52 +0100	Andreas	1	0
2018-12-10 13:04:23 +0100	Andreas	1	0
2018-12-10 12:44:15 +0100	Andreas	1	0
2018-12-10 11:42:11 +0100	Andreas	1	0
2018-12-07 15:45:00 +0100	Andreas	1	0
2018-12-06 15:38:55 +0100	Andreas	1	0
2018-12-05 17:30:23 +0100	Andreas	1	0
2018-12-05 17:11:00 +0100	Andreas	1	0
2018-12-05 17:09:40 +0100	Andreas	1	0
2018-12-05 17:07:40 +0100	Andreas	1	0
2018-12-05 16:49:55 +0100	Andreas	2	0
2018-12-05 14:33:18 +0100	Andreas	1	0
2018-12-05 13:51:47 +0100	Andreas	9	0
2018-12-04 18:47:11 +0100	Andreas	1	0
2018-12-04 15:33:13 +0100	Andreas	5	0
2018-12-01 08:48:50 +0100	Thomas	1	0
2018-11-30 15:08:53 +0100	Andreas	1	0
2018-11-30 14:54:23 +0100	Andreas	7	0
2018-11-29 20:03:35 +0100	Andreas	4	0
2018-11-29 19:47:29 +0100	Andreas	1	0
2018-11-29 19:29:08 +0100	Andreas	1	0
2018-11-29 17:22:03 +0100	Andreas	2	0
2018-11-29 16:53:19 +0100	Andreas	6	0
2018-11-28 16:53:08 +0100	Andreas	6	0
2018-11-28 16:08:57 +0100	Andreas	1	0
2018-11-28 15:20:15 +0100	Andreas	8	0
2018-11-28 15:05:47 +0100	Andreas	1	0
2018-11-27 22:44:02 +0100	Andreas	7	0
