Date	Author	NumAffectedFiles	Contains .sql
2015-05-09 15:05:32 -0500	Ian	1	0
2015-05-09 13:46:26 -0500	Ian	1	0
2015-05-09 13:34:01 -0500	Ian	1	0
2015-05-09 13:30:27 -0500	Ian	1	0
2015-05-09 00:11:21 -0500	Ian	1	0
2015-05-09 00:06:13 -0500	Ian	1	0
2015-05-08 22:18:24 -0500	Ian	1	0
2015-05-08 22:01:16 -0500	Ian	1	0
2015-05-08 21:58:52 -0500	Ian	1	0
2015-05-08 21:51:06 -0500	Ian	1	0
2015-05-08 21:31:35 -0500	Ian	1	0
2015-05-08 19:59:24 -0500	Ian	1	0
2015-05-08 19:55:14 -0500	Ian	1	0
2015-05-08 19:44:44 -0500	Ian	1	0
2015-05-08 19:43:59 -0500	Ian	2	0
2015-05-08 19:33:59 -0500	Ian	1	0
2015-05-08 19:01:21 -0500	Ian	2	0
2015-05-08 18:51:58 -0500	Ian	1	0
2015-05-08 18:44:57 -0500	Ian	2	0
2015-05-08 18:19:52 -0500	Ian	38	0
2015-05-08 17:22:27 -0500	Ian	1	0
2015-05-08 17:08:59 -0500	Ian	1	0
2015-05-08 17:06:46 -0500	Ian	1	0
2015-05-08 17:01:58 -0500	Ian	1	0
2015-05-08 16:56:25 -0500	Ian	1	0
2015-05-08 16:55:52 -0500	Ian	1	0
2015-05-08 16:28:00 -0500	Ian	1	0
2015-05-08 16:01:17 -0500	ianweller	1	0
2015-05-04 21:24:49 -0500	Zane	1	0
2015-05-04 21:20:16 -0500	Zane	2	0
2015-05-04 20:57:48 -0500	Ian	3	0
2015-05-04 20:38:03 -0500	Ian	1	0
2015-05-04 17:24:45 -0500	Ian	2	0
2015-05-04 01:37:00 -0500	Ian	2	0
2015-05-04 00:44:03 -0500	Ian	1	0
2015-05-04 00:31:19 -0500	Ian	3	0
2015-05-04 00:04:21 -0500	Ian	1	0
2015-05-03 23:51:30 -0500	Ian	1	0
2015-05-03 23:36:22 -0500	Ian	1	0
2015-05-03 23:13:11 -0500	Ian	4	1
2015-05-03 23:11:14 -0500	Ian	1	0
2015-05-03 20:06:44 -0500	Ian	2	1
2015-05-03 21:09:50 -0500	Nick	11	0
2015-05-03 21:00:23 -0500	Ian	1	0
2015-05-03 18:12:42 -0500	Alex	2	0
2015-05-03 00:35:38 -0500	Ian	3	0
2015-05-02 23:25:17 -0500	Ian	1	0
