Date	Author	NumAffectedFiles	Contains .sql
2015-04	Andreas	1	0
2016-08	Andreas	3128	3
2016-09	Andreas,Bert,nikolai-schmid	243	0
2016-10	Andreas	195	1
2016-11	Andreas	32	0
2016-12	Andreas,nikolai-schmid	13	0
2017-01	Bert,Andreas	131	0
2017-02	Andreas,Bert	393	0
2017-03	Andreas	493	0
2017-04	Andreas,Bert	1949	0
2017-05	Andreas	117	0
2017-06	Andreas,Bert	117	0
2017-07	Andreas,guenther-hnm,Bert	148	0
2017-08	Andreas,Bert,tomekk-hnm,guenther-hnm	193	0
2017-09	Andreas,guenther-hnm,Bert	332	0
2017-10	Bert,Andreas,guenther-hnm	840	0
2017-11	Andreas,Bert,guenther-hnm	1639	0
2017-12	Bert,Andreas,nikolai-schmid,guenther-hnm	449	0
2018-01	guenther-hnm,Bert,Andreas,nikolai-schmid,tomekk-hnm	1882	1
2018-02	guenther-hnm,nikolai-schmid,Andreas,Bert	749	0
2018-03	Andreas,guenther-hnm,tomekk-hnm,Bert,nikolai-schmid	1569	1
2018-04	guenther-hnm,Andreas,Bert,tomekk-hnm,nikolai-schmid	118	0
2018-05	nikolai-schmid,Andreas,guenther-hnm,Bert	144	0
2018-06	guenther-hnm,nikolai-schmid,Bert,Andreas	32	0
2018-07	Bert,Andreas,guenther-hnm	111	0
2018-08	Andreas,Bert,guenther-hnm	430	0
2018-09	Andreas,guenther-hnm,Thomas,Bert	1059	1
2018-10	Andreas,Thomas,guenther-hnm	148	1
2018-11	Andreas,tomekk,Thomas,Bert	644	0
2018-12	Andreas,Thomas	222	0
2019-01	Andreas,Bert,tomekk	315	0
2019-02	Andreas,Thomas,guenther-hnm	17	0
2019-03	Andreas,Thomas,tomekk,Tomekk,bert,guenther-hnm	140	0
2019-04	guenther-hnm,Thomas,Bert,Andreas,tomekk	29	0
2019-05	Andreas	2	0
