Date	Author	NumAffectedFiles	Contains .sql
2019-01-29 21:38:14 +0100	Ronald	1	0
2019-01-29 21:29:52 +0100	Ronald	2	0
2019-01-29 21:27:10 +0100	Ronald	2	0
2019-01-29 20:54:50 +0100	Ronald	1	0
2018-08-09 13:50:21 +0200	Ronald	1	0
2018-08-02 12:50:33 +0200	Ronald	1	0
2018-08-02 12:46:46 +0200	Ronald	1	0
2018-08-02 12:12:28 +0200	Ronald	4	0
2018-08-02 11:57:54 +0200	Ronald	1	0
2018-08-02 11:42:40 +0200	Ronald	5	0
2018-07-16 16:49:19 +0200	Ronald	4	0
2018-07-16 16:34:44 +0200	Ronald	1	0
2018-07-16 14:10:59 +0200	Ronald	1	0
2018-07-16 13:58:49 +0200	Ronald	1	0
2018-07-16 13:56:05 +0200	Ronald	2	0
2018-06-21 15:45:56 +0200	Ronald	1	0
2018-06-21 15:45:28 +0200	Ronald	1	0
2018-06-21 15:38:49 +0200	Ronald	4	0
2018-03-19 16:59:02 +0100	Ronald	2	0
2018-03-19 16:51:26 +0100	Ronald	1	0
2018-03-19 16:12:08 +0100	Ronald	1	0
2018-03-19 15:18:30 +0100	Ronald	1	0
2018-03-19 14:44:48 +0100	Ronald	1	0
2018-03-19 14:40:05 +0100	Ronald	2	0
2018-03-19 14:05:12 +0100	Ronald	1	0
2018-03-19 14:04:23 +0100	Ronald	4	0
2018-03-19 13:13:42 +0100	Ronald	4	0
2018-03-19 13:06:21 +0100	Ronald	5	0
2018-03-19 12:34:15 +0100	Ronald	2	0
2018-03-14 14:06:36 +0100	Jurriaan	1	0
2018-03-07 16:14:33 +0100	Ronald	1	0
2018-03-01 17:09:23 +0100	Ronald	2	0
2018-03-01 16:38:49 +0100	Ronald	1	0
2018-03-01 16:10:43 +0100	Ronald	1	0
2018-03-01 16:01:43 +0100	Ronald	1	0
2018-03-01 15:47:43 +0100	Ronald	5	0
2018-03-01 15:11:34 +0100	Ronald	1	0
2018-03-01 15:00:50 +0100	Ronald	3	0
2018-03-01 15:00:15 +0100	Ronald	1	0
2018-03-01 14:13:27 +0100	Ronald	3	0
2017-11-16 14:55:06 +0100	Ronald	1	0
2017-11-16 14:52:12 +0100	Ronald	2	0
2017-11-16 13:55:05 +0100	Ronald	2	0
2017-11-16 12:09:32 +0100	Ronald	1	0
