Date	Author	NumAffectedFiles	Contains .sql
2018-11-22 23:42:56 +0200	Arnoldas	1	0
2018-11-22 23:26:35 +0200	Arnoldas	2	0
2018-11-22 22:48:59 +0200	Arnoldas	6	0
2018-10-11 10:22:13 +0300	arnoldas@zestmoney.in	2	0
2018-08-15 21:36:57 +0300	Arnoldas	1	1
2018-06-25 21:25:02 +0300	arnoldasgudas	1	0
2018-06-10 23:57:44 +0200	Morten	1	0
2018-05-10 21:57:24 +0300	Pavel	1	0
2018-03-05 17:37:49 +0800	Chaoyu	1	1
2018-03-05 17:32:00 +0800	Chaoyu	1	1
2018-03-05 17:03:39 +0800	Chaoyu	1	0
2018-03-05 17:01:17 +0800	Chaoyu	1	0
2018-03-05 16:57:32 +0800	Chaoyu	1	0
2018-03-05 16:32:37 +0800	kinshines	1	1
2018-03-02 16:03:29 +0800	kinshines	1	0
2018-03-02 10:44:43 +0800	kinshines	1	0
2017-12-23 23:32:36 +0100	Marius	1	0
2017-12-23 23:27:39 +0100	Marius	3	0
2017-12-23 23:09:57 +0100	Marius	2	0
2017-12-23 23:09:33 +0100	Marius	1	0
2017-12-23 23:08:53 +0100	Marius	1	0
2017-12-23 22:36:14 +0100	Marius	3	0
2017-10-11 15:20:47 +0300	Vladimir	3	1
2017-10-10 13:28:19 +0300	Vladimir	2	1
2017-10-09 20:13:45 +0300	Vladimir	2	1
2017-10-09 19:31:07 +0300	Vladimir	26	1
2017-06-23 01:04:03 +0300	arnoldas_zest	1	0
2017-06-23 00:45:18 +0300	arnoldas_zest	2	0
2017-06-07 11:56:23 +0300	arnoldasgudas	1	0
2017-06-07 00:32:48 +0300	arnoldasgudas	1	0
2017-06-07 00:28:24 +0300	arnoldas@zestmoney.in	6	0
2017-06-06 23:32:07 +0300	arnoldas@zestmoney.in	1	0
2017-04-20 19:35:57 +0300	Alexey	2	0
2017-03-13 20:25:55 +0100	Michael	1	0
2017-03-13 20:25:13 +0100	Michael	13	0
2017-03-13 20:14:33 +0100	Michael	2	0
2017-03-13 20:00:06 +0100	Michael	7	0
2016-11-01 15:12:16 +0200	arnoldasgudas	1	0
2016-10-28 00:35:09 +0300	Arnoldas	2	0
2016-10-27 03:19:15 +0300	nickolsky	2	0
2016-03-31 23:35:40 +0300	Oğuzhan	1	0
2016-03-31 23:25:19 +0300	arnoldasgudas	1	0
2016-03-31 00:58:43 +0300	Oğuzhan	1	0
2016-02-27 15:43:46 +0200	arnoldasgudas	1	0
2016-02-27 15:00:50 +0200	Arnoldas	3	0
2016-02-27 14:26:06 +0200	Arnoldas	2	0
2016-02-22 23:54:46 +0200	Arnoldas	11	0
2016-02-22 23:05:53 +0200	Arnoldas	1	0
2016-02-22 22:27:50 +0200	Arnoldas	2	0
2016-02-14 22:39:37 +0200	arnoldasgudas	1	0
2016-02-14 00:59:11 +0200	Arnoldas	2	0
2016-02-14 00:41:43 +0200	Arnoldas	16	1
2016-01-31 18:12:16 +0200	Arnoldas	3	0
2016-01-31 17:53:11 +0200	Arnoldas	4	0
2016-01-31 14:31:45 +0200	Arnoldas	7	0
2016-01-10 17:44:24 +0200	Arnoldas	1	0
2016-01-10 17:17:35 +0200	Arnoldas	1	0
2016-01-10 17:11:14 +0200	Arnoldas	1	0
2016-01-10 17:05:40 +0200	arnoldas_zest	5	0
2016-01-10 17:04:35 +0200	arnoldas_zest	4	0
2016-01-10 16:58:42 +0200	arnoldas_zest	1	0
2016-01-08 00:57:32 +0200	arnoldas_zest	2	0
2016-01-08 00:39:51 +0200	arnoldas_zest	1	0
2016-01-08 00:37:32 +0200	arnoldas_zest	6	0
2016-01-08 00:13:19 +0200	arnoldas_zest	5	0
2016-01-08 00:00:34 +0200	arnoldas_zest	2	0
2016-01-07 23:56:27 +0200	arnoldas_zest	5	1
2016-01-07 22:25:49 +0200	arnoldas_zest	1	1
2016-01-07 22:15:16 +0200	arnoldas_zest	5	0
2016-01-07 21:08:24 +0200	arnoldas_zest	1	0
2016-01-07 21:02:26 +0200	arnoldas_zest	6	1
2016-01-07 01:36:49 +0200	Arnoldas	10	1
2016-01-03 01:11:25 +0200	Arnoldas	9	0
2016-01-03 01:00:40 +0200	Arnoldas	1	1
2016-01-03 00:59:43 +0200	Arnoldas	6	1
2015-12-01 23:36:06 +0200	Arnoldas	2	0
2015-12-01 23:10:54 +0200	arnoldasgudas	1	0
2015-12-01 22:34:19 +0200	Arnoldas	2	1
2015-12-01 22:25:36 +0200	Arnoldas	22	0
