Date	Author	NumAffectedFiles	Contains .sql
2019-05-02 10:40:38 +0600	alekos	1	0
2019-05-02 15:27:35 +0600	alekos	1	0
2019-05-02 14:17:58 +0600	alekos	2	0
2019-05-02 10:40:38 +0600	alekos	1	0
2019-05-01 17:17:17 +0600	Vladimir	2	0
2019-05-01 14:25:24 +0600	alekos	4	1
2019-05-01 14:25:24 +0600	alekos	4	1
2019-05-01 14:17:44 +0600	Vladimir	1	0
2019-05-01 14:03:22 +0600	Vladimir	1	0
2019-05-01 13:57:20 +0600	Vladimir	2	0
2019-04-30 11:19:46 +0600	Vasily	2	0
2019-04-29 17:09:42 +0600	alekos	1	0
2019-04-29 17:03:23 +0600	alekos	1	0
2019-04-29 16:48:07 +0600	alekos	1	0
2019-04-29 14:41:33 +0600	alekos	1	0
2019-04-29 13:28:09 +0600	alekos	1	0
2019-04-29 12:27:41 +0600	alekos	1	0
2019-04-29 14:41:33 +0600	alekos	1	0
2019-04-29 13:28:09 +0600	alekos	1	0
2019-04-29 12:27:41 +0600	alekos	1	0
2019-04-29 10:08:56 +0600	alekos	1	0
2019-04-24 14:45:19 +0600	alekos	1	0
2019-04-24 11:58:19 +0600	alekos	1	0
2019-04-24 11:44:52 +0600	alekos	1	0
2019-04-24 10:55:28 +0600	alekos	2	0
2019-04-24 11:58:19 +0600	alekos	1	0
2019-04-24 11:44:52 +0600	alekos	1	0
2019-04-24 10:55:28 +0600	alekos	2	0
2019-04-23 10:42:30 +0600	alekos	1	1
2019-04-22 16:36:10 +0600	alekos	1	1
2019-04-22 15:56:46 +0600	alekos	1	1
2019-04-23 11:29:53 +0600	alekos	1	0
2019-04-22 14:48:48 +0600	Vasily	1	0
2019-04-22 11:18:53 +0600	alekos	2	0
2019-04-22 10:32:36 +0600	alekos	3	1
2019-04-08 10:27:55 +0600	alekos	3	1
2019-04-08 10:08:51 +0600	alekos	7	1
2019-04-10 13:48:46 +0600	Vladimir	1	0
2019-04-03 23:56:25 +0600	Vasily	1	0
2019-04-03 23:25:18 +0600	Vasily	2	0
2019-04-03 23:24:10 +0600	Vasily	1	0
2019-04-02 23:09:02 +0600	Vasily	214	0
2019-04-02 14:28:18 +0600	Vladimir	2	0
2019-04-02 14:28:18 +0600	Vladimir	2	0
2019-04-02 13:52:39 +0600	Vladimir	1	0
2019-03-29 12:43:15 +0600	Vasily	1	0
2019-03-29 12:02:40 +0600	Vasily	1	0
2019-03-29 11:18:34 +0600	Vasily	1	0
2019-03-25 11:05:36 +0600	Vladimir	3	0
2019-03-22 15:55:43 +0600	Vladimir	11	0
2018-08-17 13:59:28 +0600	Vladimir	1	0
2018-08-17 11:48:36 +0600	Vladimir	1	0
2018-08-16 14:38:18 +0600	Vladimir	1	0
2019-03-07 16:52:40 +0600	Vladimir	1	0
2019-03-07 16:52:40 +0600	Vladimir	1	0
2019-02-23 08:38:06 +0600	Vasily	1	0
2018-08-15 11:17:52 +0600	Vladimir	2	0
2018-08-01 17:17:17 +0600	Vladimir	12	0
2018-08-15 16:16:33 +0600	Vladimir	1	0
2018-08-15 10:25:00 +0600	Daiyrbek	3	0
2018-08-18 12:04:53 +0600	Daiyrbek	2	1
2019-02-11 10:58:59 +0600	Janur	1	1
2018-08-16 09:52:59 +0600	Andrew	1	0
2018-08-15 09:52:35 +0600	Daiyrbek	1	0
2018-08-13 12:06:34 +0600	Danil	3	0
2018-08-10 15:39:42 +0600	Daiyrbek	1	1
2018-08-10 14:51:01 +0600	Daiyrbek	1	1
2018-08-09 18:04:04 +0600	Daiyrbek	4	1
2018-08-01 14:00:38 +0600	Daiyrbek	1	0
2018-07-10 09:38:52 +0600	Vladimir	1	1
2018-07-09 16:16:37 +0600	Vladimir	2	1
2018-07-16 17:22:28 +0600	Daiyrbek	2	0
2018-07-16 17:13:07 +0600	Daiyrbek	2	0
2018-07-20 15:00:58 +0600	Daiyrbek	2	0
2018-07-11 12:12:19 +0600	Vladimir	2	1
2018-07-05 16:31:55 +0600	Vladimir	9	1
2018-07-09 16:56:22 +0600	Vladimir	4	0
2018-07-06 18:37:32 +0600	Daiyrbek	1	0
2018-07-03 12:34:36 +0600	Vladimir	2	0
2018-07-02 22:19:54 +0600	Daiyrbek	1	0
2018-07-03 10:18:12 +0600	Vladimir	1	0
2018-06-29 11:04:26 +0600	Vladimir	1	1
2018-06-29 10:59:13 +0600	Vladimir	2	1
2018-06-29 10:48:02 +0600	Vladimir	2	1
2018-07-02 17:56:24 +0600	Daiyrbek	1	0
2018-06-29 12:11:08 +0600	Alexander	1	0
2018-07-02 16:21:57 +0600	Daiyrbek	3	0
2018-06-28 16:26:33 +0600	Daiyrbek	1	0
2018-06-27 20:50:31 +0600	Daiyrbek	3	0
2018-06-28 17:31:09 +0600	Daiyrbek	2	0
2018-06-19 15:08:27 +0600	Vladimir	1	0
2018-06-18 13:25:03 +0600	Vladimir	1	0
2018-06-14 17:59:46 +0600	Vasily	3	0
2018-06-14 17:03:35 +0600	Daiyrbek	1	0
2018-06-14 16:19:47 +0600	Daiyrbek	3	0
2018-06-14 14:58:08 +0600	Daiyrbek	1	0
2018-06-14 13:15:32 +0600	Daiyrbek	1	0
2018-06-08 16:52:23 +0600	Daiyrbek	1	0
2018-06-11 14:33:48 +0600	Daiyrbek	1	0
2018-06-11 13:15:46 +0600	Daiyrbek	1	0
2018-06-08 16:26:39 +0600	Daiyrbek	1	0
2018-06-06 16:52:04 +0600	Daiyrbek	2	0
2018-06-06 16:49:37 +0600	Daiyrbek	1	0
2018-06-08 12:26:44 +0600	Daiyrbek	1	0
2018-05-31 15:26:02 +0600	Daiyrbek	1	0
2018-05-30 15:12:59 +0600	Daiyrbek	1	0
2018-05-22 16:51:15 +0600	Daiyrbek	1	0
2018-05-22 16:10:37 +0600	Daiyrbek	1	0
2018-05-18 17:47:34 +0600	Daiyrbek	1	0
2018-05-17 18:04:42 +0600	Daiyrbek	12	0
2018-05-16 17:28:47 +0600	Daiyrbek	1	0
2018-05-15 11:26:00 +0600	Daiyrbek	2	0
2018-05-09 16:35:27 +0600	Daiyrbek	1	0
2018-05-09 13:41:55 +0600	Daiyrbek	1	0
2018-05-03 16:30:20 +0600	Daiyrbek	1	0
2018-04-26 16:19:08 +0600	AlexandrV	2	0
2018-04-17 16:47:52 +0600	Janur	1	0
2018-04-05 16:02:39 +0600	Daiyrbek	1	0
2018-03-25 08:22:43 +0600	Vasily	1	0
2018-03-24 19:39:43 +0600	Vasily	1	0
2018-03-24 19:39:43 +0600	Vasily	1	0
2018-03-24 19:38:07 +0600	Vasily	2	0
2018-03-23 12:33:55 +0600	Vasily	1	0
2018-03-23 12:32:34 +0600	Vasily	1	0
