Date	Author	NumAffectedFiles	Contains .sql
2015-01	gtencate,System,Glenn	506	9
2015-02	gtencate,akaasjager,Riccardo,System	2073	1
2015-03	blabla1337,Riccardo,johnhaley,gtencate,Alexander	2678	8
2015-04	Riccardo,blabla1337,Scopestyle,Erik,gtencate,Daniel	229	11
2015-05	blabla1337,Riccardo,gtencate,System,Erik,Roderick	4401	0
2015-06	Bithin,Riccardo,Erik,Ricco,blabla1337,Martijn,gtencate	155	3
2015-07	blabla1337	1	0
2015-08	blabla1337,Ricco,Riccardo	27	1
2015-09	Pokutnik,blabla1337	3	0
2015-10	blabla1337,gtencate,Erik,Scott,Ricco	664	1
2015-11	blabla1337,gtencate	901	1
2015-12	Riccardo,blabla1337,gtencate	393	3
2016-01	Riccardo,blabla1337,Adam	13	0
2016-02	Riccardo,Adam	2	0
2016-03	Alexander,blabla1337	14	0
2016-04	lmanuelcb,Martin	2	0
2016-05	Ross	72	0
2016-06	Kakar0t0,Mathias	82	0
2016-10	Bob	5	0
2016-11	blabla1337	4	0
2017-01	Lab	40	0
2017-02	kingthorin,Ilguiz,MACBOOK	332	2
2017-03	blabla1337,Laurence,Mariano,Kakar0t0,MACBOOK	377	1
2017-04	Adam,Glenn,MACBOOK	1051	1
2017-05	Glenn,blabla1337,Kakar0t0,Mariano,Riccardo,Xenofon,Heeraj,Adam	1686	32
2017-06	blabla1337,Glenn,Riiecco,Riccardo,Pwner,alphkito	45467	18
2017-07	blabla1337,Glenn,Riccardo,Xenofon	45909	3
2017-08	Glenn,blabla1337,Heeraj,r3ggi	13	0
2017-09	Heeraj,blabla1337,Riccardo	361	0
2017-10	blabla1337,Glenn,Ross,Heeraj	196	0
2017-12	blabla1337,theoneneoxu,Mariano,Glenn	124	0
2018-01	Martin,Glenn,theodoorscholte,r3ggi,Riccardo	40	0
2018-02	Martin,Glenn,Riccardo	142	1
2018-03	Glenn,Foobar,Martin	8	0
2018-04	Riccardo,Glenn,blabla1337,Priyanka,Foobar	562	0
2018-05	Glenn	1	0
2018-06	Glenn,Riccardo,Eoin	101	0
2018-07	Priyanka,Glenn	200	0
2018-08	glenn.ten.cate@owasp.org,Glenn,Priyanka	1156	4
2018-09	blabla1337,Glenn,glenn.ten.cate@owasp.org	1300	2
2018-10	Riccardp,blabla1337	298	8
2018-11	Riccardp,Riccardo,blabla1337	77	2
2018-12	Riccardp,blabla1337,Glenn	206	3
2019-01	asurwade,blabla1337,ccb3b7,Peter,Mike,Riccardp,tdimbs,giuliocomi,Riccardo	621	2
2019-02	Glenn,blabla1337,Leena,asurwade	1039	3
2019-03	Glenn,Priyanka,Ross	7	0
2019-04	Ross,blabla1337	8	0
2019-05	blabla1337	2	0
