Date	Author	NumAffectedFiles	Contains .sql
2016-08	tony,tonyofbyteball	149	11
2016-09	tony,tonyofbyteball	96	4
2016-10	tony,kakysha	15	0
2016-11	kakysha,tony	73	6
2016-12	tony,xjenek,DevAlexey	86	5
2017-01	xJeneKx,tony	37	0
2017-02	tony,xJeneKx	51	1
2017-03	kakysha,tony,xJeneKx	120	18
2017-04	tony,portabella,kakysha,Evgeny,vakar8888,xJeneKx,saddam213	86	8
2017-05	kakysha,tony,Evgeny	100	9
2017-06	tony,xJeneKx	39	11
2017-07	tony,kakysha	57	1
2017-08	tony,Yary	35	0
2017-09	David,MF,tony,kakysha	33	0
2017-10	tony,Peter,David	38	0
2017-11	kakysha,tony,xjenek	105	20
2017-12	tony,Kakysha,kakysha,Yary	78	10
2018-01	Kakysha,tony,Erich	40	0
2018-02	tony,Kakysha,kakysha	15	1
2018-03	tony,kakysha,xjenek	23	9
2018-04	kakysha,tony,xjenek	28	0
2018-05	kakysha,tony,Tarmo	55	1
2018-06	tony,kakysha	65	0
2018-07	tony,kakysha,Tarmo,Fabien	108	5
2018-08	tony,Papabyte,kakysha,xjenek	28	0
2018-09	Papabyte,tony,Fabien,adcpm	42	0
2018-10	guantau,Papabyte,tony,punqtured	9	0
2018-11	tony,guantau,Papabyte	31	3
2018-12	Tarmo,tony	13	1
2019-01	Papabyte,tony,Fahmi,Tarmo,tonyofbyteball,Evgeny	57	13
2019-02	tony,kakysha,Papabyte	60	15
2019-03	Tarmo,tony,Papabyte,kakysha	36	10
2019-04	tony,Papabyte,kakysha,Tarmo	35	6
2019-05	tony,Tarmo,guantau,Papabyte	13	0
