Date	Author	NumAffectedFiles	Contains .sql
2014-04	Isaac,Matt	9	0
2014-05	dkaplan,Jesse,Dan,Shyam,Isaac,Scott,Erik	548	29
2014-06	dkaplan,Jesse,Grant	84	1
2014-07	Dan,dkaplan,Matt,Jesse	14	1
2014-08	Dan,dkaplan,Erik,Bud	50	1
2014-09	Jesse	11	0
2014-10	Travis,Jesse	11	0
2014-11	Dan,Erik,dkaplan	8	0
2014-12	rcowan,dkaplan,Jesse	52	2
2015-01	Travis,dkaplan,rcowan	22	1
2015-02	dkaplan,Dan,Juan	9	0
2015-03	dkaplan,Dan,Travis	5	0
2015-04	Matt,cmwesigwa,dkaplan,Grant,Jesse,Calvin	285	1
2015-05	Dan,cmwesigwa	4	0
2015-06	Sal,Shyam,avavita,Paul	54	4
2015-07	Paul,Sal,Dana	63	1
2015-08	Dustin,Paul,Sal,Dana	37	1
2015-09	Paul	6	0
2015-10	avavita	1	1
2016-02	Matt	1	0
2017-05	Matt,Alexey	134	0
2017-06	John,Alexey	4	0
