Date	Author	NumAffectedFiles	Contains .sql
2014-01	Doychin	228	3
2014-02	Doychin	62	0
2014-05	Doychin	8	0
2014-10	Doychin	4	0
2015-01	Mihail	1	0
2015-03	Doychin	2	0
2015-06	Doychin	4	0
2015-12	Doychin	21	0
2016-05	Doychin	5	0
2016-06	Doychin	1	0
2016-09	Doychin	9	0
2016-10	Doychin	47	0
2016-12	Doychin	5	1
2017-01	Doychin	36	0
2017-02	Doychin	61	0
2017-03	Doychin	45	0
2017-07	Doychin	11	0
2017-08	Doychin	14	0
2017-09	Doychin	25	0
2018-01	Doychin	10	0
2018-02	Doychin	3	0
2018-06	Doychin	20	0
2018-07	Doychin	255	2
2018-08	Doychin	17	0
2019-01	Doychin	42	0
2019-02	Doychin	6	0
2019-05	Doychin	3	0
