Date	Author	NumAffectedFiles	Contains .sql
2015-03	Mati,Johan	691	126
2015-05	Johan,Shayne	5904	135
2015-06	Johan,Ercan,Mathew	7187	176
2015-07	Johan,Steven	1882	51
2015-08	Steven,Johan	12	0
2015-09	Israel,Tom,Johan,Steven	62	0
2015-10	Steven,Johan,Arunas	116	0
2015-11	Steven,Johan,Tom	411	6
2015-12	Robin,Steven	47	0
2016-01	Robin,Tom	69	0
2016-02	Steven,Johan,Tom	421	2
2016-03	Robin,Johan,Steven,Allan	132	5
2017-01	Allan	1300	1
2017-02	Allan	149	1
2017-03	Allan	8	0
2017-04	Steven,Johan	2	0
2017-05	Robin,Tom,Steven	234	0
2017-06	Robin,Tom,Steven,Allan	153	1
2017-07	Robin,Allan	257	0
2017-08	Robin	24	0
2017-09	Steven,Allan	6	0
2017-11	Allan	1	0
2017-12	NickSdot	1	0
2018-02	Robin,Steven,Allan,Ercan	120	0
2018-03	Robin,Allan,Johan	90	1
2018-04	Allan,Robin	3	0
2018-10	Steven	2	0
