Date	Author	NumAffectedFiles	Contains .sql
2013-10	Maxwell	5	0
2013-12	Maxwell	1071	5
2014-01	Maxwell	705	1
2014-02	Maxwell,Chris,Graham	691	1
2014-03	Maxwell,Lars,Msjoinder,David,Matthew,Greg,Chris	2479	0
2014-04	Maxwell,Josiah,Chris,Frazer	423	0
2014-05	Maxwell,Chris	308	0
2014-06	Maxwell,Zack	996	0
2014-07	Maxwell	32	0
2014-08	Maxwell	519	0
2014-09	Maxwell,Philip,Kristján	624	0
2014-10	Maxwell	4	0
2014-11	Maxwell,Michael	18	0
2015-01	Maxwell	52	0
2015-02	Maxwell	74	0
2015-03	Maxwell,David	3	0
2015-04	Maxwell	1220	0
2015-05	Maxwell	9	0
2015-06	Jack,Maxwell	343	0
2015-07	Jack,Maxwell	1006	0
2015-08	Jack	48	0
2015-09	Jack,Maxwell,Sidney	121	0
2015-10	Jack	33	0
2015-11	Jack,Maxwell	57	0
2016-07	Maxwell	6	0
2016-09	Maxwell	4	0
