Date	Author	NumAffectedFiles	Contains .sql
2016-08	tablee	230	6
2016-09	tablee	13	0
2016-10	tablee	157	1
2016-11	tablee,hyunjae	35	1
2016-12	tablee,simonxu	12	0
2017-01	tablee,Hyunjae,Max	33	8
2017-02	tablee,kimown,lisong	111	5
2017-03	tablee	10	0
2017-06	lisong	1	0
2017-07	tablee,Snyk	11	0
2017-08	tablee,Rain	11	0
2017-09	tablee	2	0
2018-03	tablee,Ian	27	0
2018-05	薛�?翔,lisong	3	0
2018-08	tablee,lisong	111	12
2018-09	lisong,tablee,taichiyi	66	3
2018-10	tablee	2	0
2018-11	lisong	1	0
2018-12	tablee,lisong	6	0
2019-01	lisong	1	0
2019-03	Roc	2	0
2019-04	Roc	2	0
