Date	Author	NumAffectedFiles	Contains .sql
2011-05	Young,Konstantin	578	1
2011-06	Konstantin,Will,Tom	47	0
2011-07	Konstantin,Young,Will	39	0
2011-08	Will,Young	13	0
2011-09	Konstantin,Will	14	0
2011-10	Young,Tom,Will	8	0
2011-11	Dane,Young	16	0
2011-12	Dane	1	0
2012-01	Young,Dane	14	0
2012-02	Young,Ian	8	0
2012-03	Will,Young,Konstantin,Dane	15	0
2012-04	Young,Dane	11	0
2012-05	Young	1	0
2012-08	Will	3	0
2012-11	Young	2	0
2013-05	Dane	1	0
2013-07	Young	36	0
2013-11	Dane	2	0
2013-12	Young	11	2
2014-01	Young,Dane	6	0
2014-02	Dane	1	0
2014-05	Young	4	0
2014-07	Dane	2	0
2014-08	John,Young	4	0
2014-09	Young,Dane	31	0
2014-10	Young	9	0
2014-11	Will,Young,Tom	11	0
2014-12	Will,Young	7	0
2015-01	Young,Ryan	7	0
2015-03	Ryan	3	0
2015-04	Ryan	6	0
2015-05	Dane	0	0
2015-08	Dane	0	0
2015-10	Young,Dane	9	0
2016-02	Tom	2	0
2016-03	Andrew,Dane	3	0
2016-04	Andrew	11	0
2016-09	Hannes	3	0
2017-02	Kai	2	0
2017-04	Blake,Dane	3	0
2017-07	mapsam	2	0
2017-08	Dane	2	0
2018-01	Sam,mapsam	6	0
2018-03	Sam,jingsam	4	0
2018-06	Dane	6	0
2018-08	mapsam,jingsam	2	0
2019-03	jingsam	1	0
2019-05	jingsam	11	0
