Date	Author	NumAffectedFiles	Contains .sql
2017-02	Kmaschta,Florian,Francois	69	2
2017-03	Florian,Kmaschta	134	1
2017-04	Kmaschta,Florian,Francois,sedy-bot	109	0
2017-05	ThieryMichel,Kmaschta,gildas,demougin2u,Francois,sedy-bot	409	0
2017-06	ThieryMichel,Kmaschta,Francois	20	0
2017-07	Kmaschta	3	0
2017-08	Kmaschta	16	0
2017-09	Kmaschta,sedy-bot	67	0
2017-10	Kmaschta,Francois,arturparkhisenko	17	0
2017-11	Kmaschta,arturparkhisenko,greenkeeper[bot]	101	0
2018-01	Kmaschta	4	0
2018-03	Kmaschta	16	0
2018-10	Kmaschta	53	0
2018-11	Kmaschta	89	0
2019-02	Kmaschta	9	0
2019-04	JulienM,Kmaschta,fossabot	33	0
2019-05	Kmaschta	70	0
