Date	Author	NumAffectedFiles	Contains .sql
2015-07	Jeremiah,Jeremy	85	4
2015-08	Jeremy	2	0
2015-09	Jeremiah,Jeremy	57	0
2015-10	Jeremiah	59	0
2015-12	Jeremiah,Josh	29	3
2016-01	Jeremiah,Josh	6	0
2016-03	Matt,Jeremiah	107	0
2016-07	Rail,Jeremiah,Dave	22	1
2016-08	Jeremiah,Matt,Stephen	11	1
2016-09	Matt,Jeremiah,Stephen	22	0
2016-10	Jeremiah	3	0
2016-11	Jeremiah,Matt	18	2
2016-12	Jeremiah	1	0
2017-01	pyup.io,Stephen	5	0
2017-02	Dave,Stephen,Matt,pyup.io,Jeremiah	19	0
2017-03	Matt,pyup.io,Stephen,Rail	21	1
2017-04	Matt,pyup.io,Stephen	17	0
2017-05	Matt,pyup.io	6	0
2017-06	Matt,pyup.io	2	0
2017-07	pyup.io,Dave	3	0
2017-08	pyup.io,Stephen	5	0
2017-09	Stephen,pyup.io	2	0
2017-10	Dave,pyup.io,Jeremiah	78	0
2017-11	pyup.io,Jeremiah,Stephen,Dave	9	2
2017-12	pyup.io,Dave	4	0
2018-01	Dave,Jeremiah,Stephen,pyup.io	26	0
2018-02	pyup.io,Stephen,Jeremiah,Dave	24	1
2018-03	pyup.io,Stephen,Jannis	16	0
2018-04	pyup.io,Stephen	5	0
2018-05	pyup.io	2	0
2018-06	Stephen,pyup.io	5	0
2018-07	pyup.io,Stephen,Matt	6	0
2018-09	pyup.io,Matt	3	0
2018-10	pyup.io,Jeremiah	7	0
2018-11	pyup.io	2	0
2018-12	Jeremiah	3	0
2019-01	Stephen	9	0
2019-02	pyup.io	2	0
2019-03	Mozilla-GitHub-Standards	1	0
2019-04	Jeremiah,pyup.io	3	0
