Date	Author	NumAffectedFiles	Contains .sql
2010-10	Eric	22	1
2010-12	Eric	3	0
2011-01	Eric	5	1
2011-02	Eric	3	0
2011-03	Eric	2	0
2011-06	Eric	2	0
2011-07	Phil,Andrew	2	0
2011-09	Adam	2	0
2011-10	Alex	1	0
2011-12	Alex,Jose	3	0
2012-01	Eric,Luke	4	0
2012-09	Eric	1	0
2012-11	Tim,Jose	4	0
2012-12	Tim	1	0
2013-01	Lewis	1	0
2013-04	Justin	1	0
2013-05	João,Jose	8	0
2013-06	Ian,Eric	2	0
2013-08	James,Eric	3	0
2014-05	Szymon	1	0
2014-09	Mark,Zack	5	0
2015-06	Jose,Robert	5	0
2016-01	Andrew	1	0
2017-09	Anton	2	0
