Date	Author	NumAffectedFiles	Contains .sql
2013-03	polaris1119,studygolang	400	10
2013-04	studygolang	59	2
2013-05	studygolang	19	1
2013-12	polaris1119	5	0
2014-01	polaris1119	9	1
2014-07	studygolang	3	0
2014-08	polaris1119,ç¿?ç¾½è¡?	149	6
2014-09	polaris1119,lifeixiong	90	2
2014-10	polaris1119	411	16
2014-11	polaris1119,studygolang	256	5
2015-02	xuxinhua	26	1
2015-03	polaris1119,xuxinhua	63	0
2015-04	xuxinhua,polaris	40	1
2015-05	xuxinhua	16	1
2015-07	liugang	4	0
2015-08	xuxinhua	4	0
2015-09	polaris,xuxinhua	14	2
2015-10	polaris	28	0
2015-11	polaris	11	0
2016-02	polaris	284	0
2016-03	polaris	134	0
2016-04	polaris	75	0
2016-05	polaris	383	3
2016-06	polaris,polaris1119	482	2
2016-07	polaris,zhengbaoyang	6	0
2016-08	polaris	12	0
2016-09	polaris	6	0
2016-10	chenfashuai	2	0
2016-11	xuxinhua	1	0
2016-12	xuxinhua	1	0
2017-02	xuxinhua	104	1
2017-03	xuxinhua	40	0
2017-04	xuxinhua	36	2
2017-05	xuxinhua	234	7
2017-06	xuxinhua	487	8
2017-07	xuxinhua	95	3
2017-08	xuxinhua	155	5
2017-09	xuxinhua	112	6
2017-10	xuxinhua	96	4
2017-11	polaris1119,ganglin.song,xuxinhua,meission,jaylxu,å¾?æ–°å??	150	4
2017-12	polaris1119,15ho,tk103331	74	2
2018-01	meission,polaris1119,ganglin.song	306	1
2018-02	youxingzhi,ayou,polaris1119	53	2
2018-03	polaris1119,youxingzhi,dlyt,ayou	188	1
2018-04	polaris1119	34	0
2018-05	polaris1119	3	0
2018-06	polaris1119,15ho	18	0
2018-07	polaris1119	2	0
2018-08	polaris1119	11	1
2018-09	polaris1119	2	0
2018-10	polaris1119,Tom	44	1
2018-11	polaris1119,tk103331,zhangxh	23	0
2018-12	polaris1119	1	0
2019-02	polaris1119	6	1
2019-03	xuxinhua	10	0
2019-04	xuxinhua,taigacute	73	3
2019-05	xuxinhua	6	0
